location,name,user_id,username
london,🌸 theresa taylor 🌸,203868358,terri072
,Edimar Torres,223318897,EdimarCTorresU
,Danny Ainscough,1157980583395516416,DannyAinscough7
"Atlanta, GA",Isaac Suffren,3599495243,isaacsuffren
"Barcelona, España",Seny 🎗,304038187,tgt72
France,GuyLetyn,566585145,GuyLetyn
Alabama,luvcats13,294825539,luvcats13
,Bizarre_Tweeter,1352652532040912897,TweeterBizarre
,Tom Bean,869761165966155777,TomBean34583786
"London, UK",Xelphist,1416253406,Xelphist
NJ/ NY metro area ,Dancething,197050766,DanceThing
she/her   17,mara | mitski lovebot,923862303992434689,burntromancez
"School Board Meeting, probably",Domestic Terrorist aka Mom💙,54002715,MadLew
Stockholm,Rafael del Valle,118816769,rvallel
México,Felipe Pérez,1406378941028311040,FelipePPerez36
"Halifax, Nova Scotia",sportnovascotia,493324944,SportNovaScotia
,noodlebug,1327362209199087618,noodlebug11
National Capital Region,Devdiscourse,937962626222497793,dev_discourse
"Los Angeles, California",GoodLife Housing Partners,1290778093011890176,GoodLifeHP
San Cristóbal y Nieves,Concerned Citizens Movement,1333807017476186117,ccmnevis
"San Diego, CA",Emily Baker Levinson,18155390,emily_baker
,Susan Gross,504937560,pricklyeater
"Sacramento area, CA",Anoosh Supports Justice for Natives,1465584632,AnooshInTheSun
LN4 MV33 ,aretha³³,1431969839694893063,driverstappen
"PLS HELP W/GO FUND, IF ABLE",Jennifer Linn,1269663605529513984,JenniferLinn17
,lasthero,1376482163454050305,lasther10181443
"New York, USA",Hannah Klitsberg,1020437195855888385,HEKRocksNY
New York,Raul Zambrano,14995902,raulza
,jellenp,14924602,jellenp
East Coast,Carlo,4855029755,CarloTresero
"Orange County, California",Doris,32297991,Leontonina
"Washington, DC",The Hill,1917731,thehill
"מגידו, אירופה",Cassandra,1245244858391986177,shoutingcassy
,Daniieelaa,743271448014290944,Daniela71818899
louist91 reacted to ‘ur mom’ with 🔥,YEEHAW 🐇,1282546711211147270,willowsmilf
"Boulder, CO",Channel One Networks,314718961,C1Ntelevision
Here,Grace,3654226156,ItsonGrace
USA,webnow🌎,1052519189989269504,webnowcompany
"Barquisimeto, Venezuela",CMDTE2DACIAD121,1446887231873064960,cmdt2daciad121
,Only FranxXx,1371233326229458944,Slomosapien1
"Puebla, México",Newsweek Puebla,1088225834169757696,PueblaNewsweek
"Sydney, Australia",Gabriela 🇦🇺 #NoVaccinePassports,1211476701365932033,Gab_Lolla
London        ,Papa Sensei 💜,425353511,PaulSensei_
"Norwalk, OH",Vanessa Lovell,784529507948584961,VanessaLovell69
"Santiago, Chile",Emilio Lailhacar,1378240783,emiliojorge1918
SoCal beach town,A.Genova MD,570240117,amgenova
"Düsseldorf, Deutschland",P,1121277028299309058,primmzx
,I&C,1713007718,GruppoIeC
,Dr. J Cooper,846848187658850306,JeffifferFifths
"West Midlands, England",karen💙🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧☕🐱😼,750756688555307009,Kazhazdaz
Ireland,The Irish Times,15084853,IrishTimes
"ÜT: 7.699635,-72.361962",Carlos Cárdenas,65631308,gochitto
"Washington, DC",Kevin Frey,232250242,KevinFreyTV
"Hamburg, Germany",Ulrich Bahnsen,482916628,ulrichbahnsen
,Bebel,3241976266,GigaBebel
"Columbus, OH",Hasan Kwame Jeffries,3337726865,ProfJeffries
"Atlanta, GA",FOX 5 ATL Medical Team,2374127096,FOX5MedicalTeam
justice ☁️,dha,747125656794849280,bjzzIe
,Under One Ceiling,1261178257455579138,underoneceiling
,Eva Sand,997819870531141633,EvaSand97293971
,WorIdNomad,1384602403874344963,WORLDN0MAD
"Pocklington, England",West Wolds Radio,2447905616,westwoldsradio
"Edmonton, AB",Winspear Centre,88708143,winspearcentre
"Washington, DC",El Político,88537980,elpoliticonews
"Cambria, CA",All American Images,824051107966042112,BK_Morrow
Texas,Orion69x,1336410923024707585,Orion69x
,Southbound is Bound to Happen 🌴,1078396735,bs_tolerance_0
,LMM,884935477299728385,HowaynShite
Northridge CA,ZackAttack🎄🎄🎄,2853478806,ZGatelo93
,MedPage ID,1091036392921149440,MedPageID
"Long Beach, CA",J,1426405017037074439,j_phd2
"England, United Kingdom",Kirsty Schnickelfritz,1426220854300532743,KSchnickelfritz
,Brookings Metro,87711945,BrookingsMetro
,Your News City,1382649883383918596,YourNewsCity1
"Calgary, Alberta, Canada",Adam C. Sieracki,61976454,ACSial
"Rochester, NY",Christian Garzone,3123624826,ccjgarzone
,Really American 🇺🇸,767788995962998784,ReallyAmerican1
,El Hijo del Rayo,232662678,elhijodelrayo
,Bongino Report,1194770389634895873,BonginoReport
napghanistan,deej,1455530306228867083,GreyDeej
"Detroit, MI",Justin Simpson🤡🌎,3285126187,Simpevision
"Barcelona, Catalunya",Àngels Marti 🎗🎗🎗,1719227149,MartiAngels
"El Amparo De Apure, Venezuela",Aduana El Amparo de Apure,1038073330098679810,apeaelamparo
Ontario,🇨🇦🍁Canada's Freedom Radio🍁🇨🇦,1340025924687974401,listencanada
Wharton: postdoc corruption,"Alexander - BAD, AMADSS, DEcon",369408914,AIexander_DEcon
,Georganne Camilleri,1150839641643372545,GoerganneC
,Trading1313,1440428750793895941,Trading1313
,Janice Matchett,457513022,janmatch
Ecuador,Ministerio de Salud Pública,222231985,Salud_Ec
,Naomi-dz,1199864104338501632,Naomidz1
Annecy/Chambéry ,ledauphine 74/73/01,619291160,LeDL737401
Freiburg,ilias g. zontiros,19064637,ilias1
"Edmonton, Alberta, Canada",Edmonton Sun,23624320,Edmontonsun
,TheNEWS100,1460744266486063106,Worldnewsby100
,Medical Xpress,20512439,physorg_health
"California, USA",Jack Young,2844272841,jaxteryoung
"South Carolina, USA",Kev,1277420106973356039,KevOfWallstreet
United States,Sharon Moon Wilson,788790242216214529,sharondmoonwils
EARTH ONE,THEE Infrastructure Week,896532081903259648,ghost_of_roger
oposición ,antichairo. en contra de la 4º tranzación.,112327171,cashgo
"Omaha, NE",Amos1100,2158029632,Amos1100
,American Patriot,1348356484829245440,America50819936
"Pamplona, España",Navarra.com,2941520332,navarra_com
she/her - 18,bri ✩,1289185159900692485,vantaeren
"Edmonton, Alberta, Canada",Edmonton Journal,15769858,edmontonjournal
,Vasvale,963269832,vasvale
Don't Mess With Texas,CCFA,1326529630224965632,KoolKat4America
"Lexington, SC",Vicki Ringer,52949830,vickiringer
Stockholm,Anders Johansson,480801887,sir_anders
,Judy Van Buskirk,815945358761201665,buskirk_judy
,Carlapzo,1231234952,Crpzo
,Xuxa82 🇧🇷 🇬🇧🇮🇱🇺🇸,917811623259181056,lisoaresf
,Zacarias Goma,1465630284200779777,goma_zacarias
"Manchester, England",Off To The Races,917323292880535552,OTTR_Elliot
Villaluenga del Rosario,100% Villaluenga,902882289381777409,100Villaluenga
"Indianapolis, IN",Mr. H.,47360966,workhorseIndy
,Bleed Green 🍀🍀🍀,1372520336428793859,Celtics__Pats
Banjarmasin,Lia aja,52946208,lia_aja
Guernsey,KatieR,21233772,Katieci
Portugal,J.,42659820,abduljavardo
Palangka Raya,Kodim 1016/Palangka Raya,1223410788091580419,kodim1016plk
,Pauly,1430659220630769664,Pcambell75
"Sydney, Australia",True Blue 🇦🇺😷🐨🦘,2432830728,SPBMcKenna
,info-7.com,1321441747155779586,info7com1
,OK,577596891,Maero97
,Arepa,346291713,ArepaDig1tal
"Salamanca, Castilla y León",JUAN-ESTHER,133456648,slash813
,Ana Clara Parreiras,1380267047024754691,anac_parreiras
right behind you ,A Weekend in Vagus 🌈,1170977928508841985,AGildedEye
,Nobuddy,1290960608087683074,Nobuddy83807461
,Concerned #CANZUK 🇬🇧🇳🇿🇨🇦🇦🇺,59916705,READY2MIX
,RNGINTERVIEWS,96308150,RngInterviews
"London, UK",N A,1362177019,NahidAlaei
"Fultondale,AL",Justin L Sims,103890884,JustinLSims
Anywhere,Pamela,2495392808,harmonynjoy
Canadia,𝙣𝙖𝙥𝙤𝙡𝙚𝙤𝙣 𝙫𝙚𝙜𝙚𝙢𝙞𝙩𝙚,8705732,NapVeg
"Londres, Inglaterra",Rodrigo Bertotti 🇧🇷🇮🇹🇬🇧🇪🇸,123035529,RodrigoBertotti
"Miami, FL",Alicia,115845761,g4lbaby
,Joëlle B.,1320369775260946433,Jolle67632617
United States of America,Alex 🇺🇸,2419070657,A_L_E_X_V_E_G_A
,john barnes,1455862631710044161,johnbar05446723
,Rob Silva,985322610,xarope_bolado
New York,Pharmacy Practice News,271475993,PharmPracNews
"Somerset, UK",MonsterCatfish,1454872523611549702,catfishmonster1
Estados Unidos,made you look,1417339131177226241,ELK0215
,Waqas Naseer,314379278,waqasAnaseer
Michigan,Alan Sheidler,81027097,F125AXer
Johannesburg,Andre Hoffmann,52177058,vinexa
,Jakub,325567946,Jakub79
,Mārūsha,624791024,mattomattik
,truthbeknown,1290275195761065987,truthbe53409180
London,Vladimir Farage 🇪🇺 #RejoinEU #FBPA #FBPE 100%,2429410620,VladimirFarage
"Rio de Janeiro, Brasil",Thayná ✨,169574818,thaynagarccia
,Timothy Rossiter,85505218,ofchappee
,opentoridicule,1459599049502474245,opentoridicule
"Joliet, IL",Robert Satterwhite,1018684246129508354,Rob_0822
,አቢዮት,1365648061549207556,jP4yIGXqb9stXsv
,Tom Forbes,1444777705237528588,TomtheTaff999
,Shelzy#♥️Mx #Mexico21 #SOSMex #LaR #LDG #GNR,755624473,ShelzyMx
,Boom Pow Podcast with Nikki and Ozzy,1354919709880119298,ozzycorp1976
"Barquisimeto, Venezuela",PTOFERROCARRILD121,1446889023704911886,2DAFERROCARRIL
Terra di Mezzo,Francesco Campagna,160880868,ProfCampagna
Newton,GlobeNewton,2378655510,GlobeNewton
Coastal Connecticut,Linesides,28829012,MonomoyFlats
,Daniieelaa,743271448014290944,Daniela71818899
,Krasnov,2651368746,greennomad61
"Indiana, USA",sofie,548063635,Sophia36982957
,Krzysztof Piesiewicz,4287929679,k_piesiewicz
"São Paulo, Brazil",Pedro H. Rhormes,1371853709823598595,rhormes_
,Mark Anderson,1127406423602868224,MarkAnd80893965
,JOE’GIA IS BLUE,824323446524022784,angelahudson748
,K Baumgart,20760246,CaptainKdog
,Patty Pat 🇪🇦🇪🇦🇨🇺🇨🇺,1356999672129331200,PattyPa11175249
"Spokane, WA",Maddie,311644173,MaddieMarvolo
"Diksmuide, België",Andy Vermaut,283604227,AndyVermaut
,Shardith 🦎,25553212,Shardith
16 she/bun/puff/click,❁ ❆ sylvie is sleepy ✽ ❁,1335434714354692097,SylvieIsHealing
,Skyline Man 3,1408558044108238851,SkylineMan31
hertfordshire,carla nicholls 🌸,296188701,carlanicholls
"Santa Barbara, CA",Toni is Vaccinated She/Her/Ella,3012841381,MamaLoca5
,EiMei,984406319179247616,ruitomo91259
,Diego de Torres,1394346374,bechoch
,Mandita,748730940839518208,mandita_genx
she/her🏳️‍⚧️ 19,lucy,1120524818472939522,ttyllucy
,Más Vale Tarde,904210339,MVTARDE
,#tropdabus,1206543351878737921,baucoup
,Loucos pelo Borussia Dortmund,844484469637763072,loucospelobvb
,COVID-19 Vaccines,1442571824915574784,CovidVacciness
,Carolina Briza,1463153868435451908,BrizaCarolina
"A very warm place, indeed 🇨",The Devil's Confession,993066081509093381,TheDevilsConfes
Meer,7voices Reloaded,297517452,mydegradation
USA,Charlie...I salute the 🇺🇸 & stand for the Anthem,1267102110287572992,Charliegoldsta7
North Pole,Dr. Roy Schestowitz (罗伊),26603208,schestowitz
,Bloomberg New Economy,905822407654604800,BBGNewEconomy
,Marionnette),1375077302,Marionemmie
,pointofnews.it,755795809568952320,pointofnews
,abc,23757867,Whitsa
,Bökelberg,38396718,boekel_berg
,unhoodwinked,2955752909,unhoodwinked
Napoli,Francesco Morra,406948594,Francesco_Morra
"Mpumalanga, South Africa",Kenna,319629917,kenzoluv
"Pamplona, España",Mar,763053089016410113,MRuizIturralde
phoenix🌵,ana,4392918913,ana_falls
athens greece,U,1086757988,kinimatini
"Dublín, Irlanda",Margaret O'Gorman,1214460484881129472,MargaretOGorm12
,Cynthia Fusco,4476034097,cynherself
"San Andres de Tumaco, Colombia",Matteo Trujillo,1224526697757888517,IAM_MT5
,Matt,1436781793982787593,soccer7661
,Timothy Newman,1222256658082074627,Timothy07604143
,Jeremy Thompson,1427962015813885960,JeremyT02970278
Northern Ireland,Pogo,372270257,Pogopatterson42
Illawarra and Sydney Australia,"Lynda Henderson, born on unceded #Gadigal land.",2658912553,YODsupporter
,Jordan,1459225073877876740,Jordan30303
Cloud ☁️,Umair A. ,1643123766,akbarth3great
"Queens, NY - Worldwide",Radio TFI (Home of The Taxi Stand Hour),4725957312,TheRadioTFI
"Toronto, Ontario",Ontario Public Health Association,280658133,OPHA_Ontario
,DAVIE McDAVEFACE 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇵🇸💙,93238757,MacLeftie
,Gazzamatazz,1219265811212394497,garethr93290475
Washington,Siobhan Hughes,105925025,siobhanehughes
,Utd Tickets*,849625753,UtdTickets
,Mehfoos Yacoob,117156768,mehfoos
France,Alain Fortune #JeNeMeVaccineraiPas #jesuisa67,1330856063629987848,AlainFortune4
Namibia,OMG its Kt🔞,974017826699833344,DamnitsKt
Singapore,CNA,38400130,ChannelNewsAsia
,Nfanwlfbbba,1256134333762543616,CChondol
,Princesse Craft 🧵,1133455537289531393,souriredefer
florida,build back better,35729673,rleas
" deaf, afrolatina.",veah!,883220149368696832,veahmelara
Italia,Medical Science and Technology #earlytreatments,1164527955399401472,MedicalScitech
Gourev,گرامی,14638577,kargadan
"San Jose, CA",haruhi,364035871,luusayyyless
"London, UK",N A,1362177019,NahidAlaei
"Madison/Dane County, WI",@publichealthmdc,1710787225,PublicHealthMDC
U.S.A.,Crooks and Liars,14513611,crooksandliars
,Chris laxy,345624188,Laxy79
United States,NurseRita,32638146,RitaJune69
"Balıkesir, Türkiye",Büşra ama 1.80,1326308379820744707,Clarimondaaa
,Carina Soave,2960448106,SoaveCarina
,DUCHÊNE CHARLY,1318833899330560000,charly_duchene
,Jon Sussman,28019001,jonsussman
"Gouveia, Portugal 📍",𝕱𝖗𝖆𝖓𝖈𝖎𝖘𝖈𝖆,1177342936696217600,kikasss15
,stephsab,1639739342,StephsabVdvs59
Finger Lakes News Radio,FL News Radio,543661875,FLNewsRadio
Ontario,Colette McLean,42894434,RuralGrubby
"Barberton, Mpumalanga",Paul Harris,181131110,_PaulH_
San Joaquin Valley,Russell,2729655626,jeeves1942
,SearchBeat.com,725484710235795456,travelerapps
"Denver, Colorado",Denver7 News,8731312,DenverChannel
Lima,Diario Trome,125737181,tromepe
ROMA,Alessandro,2466339133,Alfa_Phi
,Sue P,407040598,sueplick
"CABA, Argentina ",Monica C ✨,1372979126450200585,MonicaC_arg
"Alberta, Canada",Alberta411,2792624479,Alberta411
Italy,Parliamo di…,27007409,ParliamoDiNews
United States,Nunca Trumpismo,711058058932170753,NeverTrumpTexan
"(17, any pronouns) ",hen bat 🎄 | BRITNEY IS FREE,1373279268021678086,henniebat
Da Universe ,"OK NOW, Buy BLK, Bank BLK!! ✊🏾",1477518174,UpwardMike
"Brown Deer, WI",North Shore HD,731130599000309764,NSHealthDept
Naked Blue Planet,ROBERT,20482617,BLKROCKET
"Saratoga, CA",West Valley Art,920731858240806912,WestValleyArt
NYC,Mr Producer,38644883,RichSementa
,"Heroes vaccinate, all the rest are Cowards!",808752085,mickystu101
Witch's labyrinth,A 林,300186333,ComradeLin_
Boon wurrung land,🕯 sandii beach 🕯fully AZ vaccinated,1213608436186767361,BeachSandii
"Paris, France",Legally Brune,4110985161,BruneLegally
"Cleveland, Ohio",Paul Giglia,193310908,paul4laffs
"Miami, FL",Dan Collins,496000129,DanCollins2011
Living in your head,The Archangel Michael,1282727281522286595,Mike55029284
she/her | 21 | bi | white,liv | hawkeye spoilers,1264364949494738946,grimeskywalkers
Dsu,BrazyMario,446124792,TrapHouseMario
"Sao Paulo, Brasil",Mago Merlino,1312123014255906817,MagoMer34040736
The Globe,The Believer ™,17434245,maxvaldes
,EmeraldGreenWolf,54429640,greenenvylust
"Austin, TX",Cate Eland,984250480569266177,RomancingNope
,Chuck Ross,119837703,ChuckRossDC
"somewhere in, CO",Brother George Middleton 🥴,158802626,GEEKTech2010
,Ivan Delgado,1344661049597976576,IvanDel42916818
"Los Angeles, CA",Charles Stewart,717466226453118976,StewartTVNews
"Boston, MA",bostonmeg,36875361,bostongal1641
Nashville TN,CFC,27973894,travelinlight09
,CompendioQuintanarroense,1321343764791808000,CompendioQ
Bellevue iowa,Ronni Mcdevitt,1042605750751768577,RonniThefam
,Arelys Shaw,2242746554,ArelysShaw
"Moncton, NB, Canada",John Gunn,727483,johnsgunn
Doge,covidcrypto,1329344400997175296,covidcrypt
she/her,glitch in the matrix,1339054115033374721,arrowclaw
"Katowice, Polska",Portal Samorządowy,1160046098,PSamorzadowy
Seattle via Boston,JosD,363112601,Jduham
,roberto jimenez,1455246866074021899,ProwlerJimenez
Richie McPeak,Richie McPeak,260767639,McpeakRichie
,Leon Maalouf 🏴󠁧󠁢󠁳󠁣󠁴󠁿,1511501238,juanjoph_73
,Cynthia Fusco,4476034097,cynherself
"Ohio, USA",imrqtuts,1430853682824876033,imrizq81
Los Angeles,Joel Delman,456116670,Joel_Delman
,killaCam,827775090,CamNobert
"Las Vegas, NV",Chargé d’Affaires,61867439,BrandiAtkinson
,JanineATurner,1278495005615755264,JanineATurner1
,Francesca,357374970,francesca759293
,Guaridadeltiburon,1110931492014866433,Guaridadeltibu1
Casa de la Familia Ceviche,Alfoxapampa,4496330435,Alfoxap
"Pickerington, OH",The Logical Libertarian™,1000716252,LgclLibertarian
Molvania,Taro Yamada 🧽 27,983609851,TaroYamada80
,allkindschaya,1263314158306471936,allkindschaya
Rosario,Ngando 🏋️‍♀️🚴‍♂️🏊‍♂️,263015655,krusanga
"Southampton, England",Kieran Matthews,1010982641015934976,Kieros9
Chicago,Vent Records #WeVent,85856245,VENTMUSICENT
"Guadalajara, Jalisco",Abraham Valle,3026582442,abrahamvanaya
"Goiânia, Goiás",Rádio Sagres 730,53248052,sagres730
,A Big Dumb Idiot Man,1287585025,BigDumbIdiotMan
,UNCANADIAN AND PROUD ALBERTAN,1082376043720192002,TRUECANADIAN14
,Chase Evans,368258307,widdaldemma
,Bence Kiss 🔋 $NIO,724893936175714305,1benkiss
,Tim the Enchanter 🧙‍♂️🍻,3086719313,tpd2245
,jfiose44,1371427281189564420,jfiose44
"Saint-Avold, Francia",Dominique Lang,38634848,dlang57500
"British Columbia, Canada",realitybased1,926679270,realitybased111
São Paulo-Capital ,ı s α η т σ 🚩,3419434029,IsmaelToledo04
,Tom Butyrady,1453843909067649030,TomButyrady
,Rugido de Leão 🧍🏼‍♂️🦁,1140323641999204353,TheUnderUrban10
On FLORIDA beaches since 1984,JoJo Mineo,1345569600759590913,JoJoMineo69
,The Man in the Black Pyjamas,1327009693,pyjamas_black
"Nashville, TN",David Bailey🌋 #FreeRoss,30597171,DavidFBailey
,Stevieb,70034742,steviebfortwayn
,Jamel,1400118928118931456,halfsyrianguy
Etiopía,Tekle Ayal,1031153117835001856,tekle99821369
,Rachel Fully Prozaccinated,14127277,rachelz
,caggy hilliard,1148973518425600000,CaggyHilliard
,Spoonz,928447018544050176,Spoonz_
"Barquisimeto, Venezuela",ZonaPrimariaD-121,1449691313016819716,zonaprimaria2d
,EastCoast,1427768559824998409,EastCoa92763165
,skywalkr,1163288550,skyw4Ik3r
,RY ✨🥀,1203928313665687552,Damnnryy
