name,username,user_id,location
Coloredjesus95,TheColoredJesus,1390004321769693188,
Angelo,Angelo33391,972059193275551744,
Hand At The Back (Immune to Bullshit),colsworld55,728321864209141761,UK
Smokie,SmokieMokie111,825852430529261568,"Pensilvania, USA"
Arno Wünsche,arnowuensche,729652825848975360,Deutschland
kassett,KathyBassett1,624883194,BC Canada  thanks 📷: @c_losc
Graelwyn 💙💙💙#FBPE,Graelwyn,52257328,England
Eva,EVA_CUENTATWEET,1174792401396862976,
Ray Latronica,raylatronica,1153566133938556932,"California, USA"
Wildkatphoto (back),ksuwildkat,28484437,
Recite Social,ReciteSocial,3069279631,
meg,synnths,1075126349621284864,
cmkenny,cmkenny3,4446309432,"Portland, OR"
Raoul Kübler,RaVoKue,497883917,"Münster, Deutschland"
Shaka Zulu aka le guerrier noir,shakazulu322,441377907,paris
TMJ-PHX Pharm. Jobs,tmj_phx_pharm,25757617,"Phoenix, AZ"
Winson Lobo,sircacofonix,1350108681552105473,"San Francisco, CA"
MARCWITHAC,MARCWITHAC1112,1435582928059256842,"Pittsburgh, PA"
Y'all hurry up🏳️‍🌈🇺🇲,catfishyak,889291121146421250,GA Creek Indian land
The LiBROtarian 🖊🔔,NotTheBro,1324859061364535297,The City
deplorablehombrini,dplorablehombre,1423494967,
Jack Rybak (Let's Go Brandon),HermesTrading1,1395506118634397704,Mexico/USA
La República,La_Republica,50475393,"San José, Costa Rica"
The Mosaic Theory LLC,mosaictheories,46332577,Private Citizen
Awatha 😷,mudjokivis,19343211,"Oxfordshire, Europe"
Eric Bellman,EricBellmanWSJ,114981133,San Francisco
💁‍♀️A~Vapor~In~The~Wind🙋‍♀️,JoanneLuvsGod,1420895302622531586,🌴World Golf Village Florida🌴
Megan Lavengood,meganlavengood,2464957008,Northern Virginia
Maru Ortiz,MaruOrtizTw,350388464,"Trelew, Argentina"
tomirivero🇦🇷🇾🇪,tomisebastian_,1098342678557876224,Zona Norte Paradais
The Rican,Davis58L,2453923563,
Sylvana in Lot,SylvanaLot,1399827950934102019,"Lot, Midi-Pyrénées"
Max Connell🦫,Max_Connell_,1117501850666848257,
Torres Tan,sobing,25833570,
bart meijman,tussenmeer,427569836,
Cledoux,Cledoux4,189258276,
kk350,kk3507,1270429712263847936,
VIX,VIX38083085,1247294828146307080,Schutzstaffel Dungeon_CA 94103
Amc,amc2412,95980170,España
Freedom Patriot of America,Free_American21,2403936994,
lavenir.net,lavenir_net,7204752,"Namur, Belgium"
ngc346c8,ngc346c8,895046179125440512,
Time2Act,jlhatty,704504741573726209,United States
CIDRAP,CIDRAP,36406830,"Minneapolis, MN"
Get On Trade,GetOnTrade,1460765851808714755,
Mark Ambler of Cain,VeteranGamerUK,982694101,"Manchester, England"
MFS: Dr. Bastuba,MaleFertilityMD,166690660,"San Diego & Orange County, CA"
Etwienana Yaw Amaniampong Nkwantabisa II,theakyemmafia,2958192832,Tranquility Base/Diego Garcia
Ottis,Ottisb,29176276,United Kingdom
Non-official feed for «Axios Top Stories»,axiostopstories,1108035253212454912,
Sinful,moonbeam696,521521849,Ireland
🇨🇦 centre left progressive #cdnpoli,timethief,14837621,Snuneymuxw territory
Lisa 🌟,Lisacpc1,767393187128303616,
SEOBAY,SEOBAY1,1072835502733062144,Estados Unidos
Anaiah | ATL,anaiahdevereux,1139830323385180160,Atlanta+ FMTY
Chris Hayes,chrislhayes,4207961,Brooklyn
Maia,angeliquedeberg,64702445,Ireland
"🚩😍eletricista ,socialista ,fora fascista🌈🌶️🚩",marcelo40926167,2170823844,rio de janeiro
Hershey,Hershey3963296,1455669147451396099,
TCS Noticias,tcsnoticias,182181105,El Salvador
Georges Abitbol,mondedemerde6,1343243253148233728,
wobblemouth,wobblemouth2,728751455730073602,
Jimmie Redbeard,JimmieRedbeard,1229648530270113792,
Eren EVYAPAN 🇹🇷,EVYAPANN,968164856,Adana
nikokyraios,c_tsio,1215029620250152962,
Colton Adams,coltrain8224,3150783732,
Manuel Alcaraz,malcaraz_54,255851755,"Mexico,  D.F."
Gabriel Green,HiyaGabriel,70449282,"London, England"
DocJuanUbaldo,DocUbaldo,1256662108525096960,"Tampico, Tamaulipas"
Qudach Ireland,QudachIE,1432523702676037638,"Dublin, Ireland"
AGREBI QUEEN LIFESTYLE🥕🥕🥕,Agrebiqueen,1362083049157107716,"Paris, France"
Jay,camel_toejockey,4169424379,"Denver, CO"
Kpex,kepera,74911283,
😵‍💫,choccolatebunny,1341414459223535623,United States
Deplorable Chief (Ret),paultara9,756505708389163008,Virginia
Lana Del Rola,limmathi,4867743233,"Salvador, Brasil"
...,dancintweety,20291076,"Toronto, Ontario"
𝓛𝓸𝓽𝓾𝓼 𝓑𝓵𝓸𝓼𝓼𝓸𝓶 🇺🇲,LotusBlossom44,245206668,
Safe Leigh 💉💉🦺,Safe_Leigh,975622073690218497,"Avenel, Victoria"
El Camino College,elcaminocollege,33648352,"Torrance, CA"
Alan99,Alan985600,752062901410684928,Estados Unidos
LMCipolletti,LMCipolletti,807007790,"Cipolletti, Argentina"
CM - Zero Covidista,xuchuanmei,121945622,Western Australia (ON HOLIDAY)
Jeremy Pauze,JeremyPauze,1439239139728052225,"Quebec, Canada"
Tony Smith OWE 🍃💚🍃,tony_smith37,2198529116,Wakefield & Exmouth 🇪🇺
Brian Brian,bellboy905,86962412,
De Nobis Fabula Narratur,DoofenschmirzDr,1428262564668928006,
David_Crayford 🇬🇧,David_Crayford,14910295,"Inglaterra, Reino Unido"
ARLENE J PETERS,PETERSARLENE,1073085144,
Canal7Ibarreta,Canal7Ibarreta,738702723323994112,"Ibarreta, Formosa"
indaiatubapref,indaiatubapref,1315815743347458048,"Indaiatuba, Brasil"
Case in point,BobBertrandPHD,1267525130109976577, ILLinois
J_Miller_SLP,miller_slp,1292681753040060416,"Tucson, Az"
Vermont Public Radio,vprnet,21492467,Vermont
Noticias Venezuela,NxVenezuela,78851624,"Caracas, Venezuela"
Adam Learn and Fun Channel,ToyerToys,941633647656034304,United Arab Emirates
Matome Maake,Matome8,1136694696850481157,"Centurion, South Africa"
Arjun,Arhoon1,3155000217,"Omaha, NE"
MekareMadness⭐🐷🔪,MekareMadness,80287837,Hungary
LUIS LÓPEZ,LUISLOPEZM98,109742703,Venezuela
Winson Tang,winsontang,38374100,"Vancouver, BC"
Berkley Bear,BerkleyBearNews,787546010,Doghouse
Jane 🇺🇸 Lee (Jackson4),Jane_4_Liberty,1433606749978824710,
Jade Adamowicz Marsden,j_l_marsden,860919516234219520,Liverpool
TriCityHerald,TriCityHerald,12763982,"Tri-Cities, Wash."
Kate - #LetsGoBrandon,IrishTexan2009,26340571,scuba diving somewhere!
MI6 ROGUE,mi6rogue,1229752606714728454,
Christine Holloway,Christi77411315,1248188113970761730,"West Midlands, England"
NBC Sports EDGE Football,NBCSEdgeFB,20950232,"Stamford, CT"
Últimas Noticias,UNoticias,76931020,"Caracas, Venezuela"
Take Back Rhode Island 🇺🇸,AmericaFirstRI,1422384320052973568,"Rhode Island, USA"
SafetyPin-Daily,SafetyPinDaily,449600949,
Janette🏴‍☠️ (she/her),JanetteKirchner,296064957,Thedas
Veronica ✊ LEFTIES UNITE ✊,inquisitiveleft,1306400023278768129,
𝓩𝓸𝓲𝓴𝓪 🇵🇱🇪🇺🦉⚡️,sagapl,242350763,Warsaw
BMS SALES,bms_bmc,2774357125,"P.O. Box 8330 Griffin GA,30224"
Rafael Grullón,RafaelGrullon9,371984767,República Dominicana
ForbesRussia,ForbesRussia,84840297,"Moscow, Russia"
PajakManna,pajakmanna,3437837953,Jl. Pangeran Duayu No.31 Manna
Diario Gestión,Gestionpe,110822488,Lima
mari,xmariajpx,2316367646,Venezuela
David Marinelli,EarthOurHome,3419087405,Malta
The Wilson Center,TheWilsonCenter,382129509,"Washington, D.C."
yourfavvvv🥰,_deeniseeee_,189666550,"Los Angeles, CA"
claudio peru,claudioperu,75137406,"Inglaterra, Reino Unido"
A Camacho,alexcamacho1826,94595324,
jamie crismali,jamz143,38687512,
pagliaccio,Pagliacci8,782680290,qui
Cara Smart,CaraSmart3,1051467009215655941,
Atsáhąą Dootł’izh,47_S80,22854107,Rio Grande Pueblo territory 
C-SPAN Radio,cspanradio,32007346,"Washington, DC"
REFORMA,Reforma,27708897,Av. México Coyoacán 40
Jeune Afrique,jeune_afrique,88708920,Afrique
Healthcare-Global😷,HealthcareGlob1,1091857187935264769,USA
Resist and Persist and Get Vaccinated 🌊 🌊 🌊,danslaterre,132708233,
.,folkever_,1426995766799880194,Folklore 
Phuck Jack,JackPhuck,1345828664726990849,
cosmic jester,cosmicjester,28302647,"Brisbane, Australia "
a prednisone hate account,vvictorman_uel,924842503869730817,"NYC, Lenapehoking"
yas 🐍,taldayaas,1242134378559537153,caxias city 🚩
Heather,HGanshorn,1250177689,"Calgary, Alberta"
Guru Charlatan (Pronouns: (Trump/Lost/LOL!),GuruCharlatan,261371560,"Phoenix, AZ"
Victor #AlboforPm,Chutzpahx,1427387278045810706,Federal
etmoides,drclrdEtm,319922770,
Paula Bolívar,paulabolivar,110839000,Bogotá- Colombia
Governo de Pernambuco,governope,34371407,"Pernambuco, Brasil"
Covidfatalityrateinunder70s is0.05percent,C05percent,1427753676333064194,"West Midlands, UK"
TeaAmo ☕️🔥🐝🌋🖖,TeaAmo15,1453196899096440835,
Freedom Fighter,Free5domFighter,1205261792802414594,
DeAndre Alexander,GiftedDre,122259671,"Illinois, Chicago"
Kamatron,KamChan08,836279972713091072,
David Schoettmer,davidschoettmer,45846608,"Ohio, USA"
Hawko,Hawko1878,2324401689,
Dannyboyo1955,Dannyboyo1955,2986699278,"Brisbane, Queensland"
Isaiah Wakeen,MoOnWaKeEn,2328767660,"Denver, CO"
Mike Giardi,MikeGiardi,105147367,"Boston, MA"
Jose' Sammut 🦉,JoseSammut,555023480,Malta
Charles Eichholz,CharlesEichholz,1167401869,
Bloc House,cryptoblochouse,1466154978591092742,
PamelaH,53pamela_h,338633208,Australia
CurrentJimmy,CurrentJimmy_,1367093491717853186,
Queer-Coded 🌐 🥑 🏳️‍🌈,CleverSubtle,4885461481,United States
Armand Delon,DelonArmand,1234609776794963968,
Kevin Gross,BatmanNz20,1373106134391791618,"Los Angeles, CA"
OLMEG,olmeg100,1419613450460930048,
"Sredni Vashtar, Ph.D.",drsrednivashtar,884678738,The hutch behind the shed 
Leandro Rabelo🤴🏽,pqp_leandrinho,947294329151918081,Esconderijo do Altíssimo📖🙌🏽
UV TELEVISIÓN.,UVtelevision,322282195,Loja-Ecuador
"Miami Beach Elevator DR, MD, TEA, SBA, ESA. 🌐🏄",elevatormiami,1463867811428716545,"Natal, RN."
Muséepoupéesnounours,1000histoires,3107999327,France
العافور نيوز,AlaafourNews_,992070789695524864,info@alaafournews.com
Arvind Kaushik,ArvindKaushik3,416763006,
Stock Snob,SnobStock,1415583319404601346,
BronzeRecurrence,BRecurrence,1452782156309164035,"Aryan, Iran"
Steve Woodhouse,SteveWoodhouse9,747084653362765824,"Iowa, USA"
Jade Prescott,JadePrescott13,1466149936458878976,
Dave Millington,twitno1,24149639,
Anastasia LaGuardia,AnastasiaLaGuar,1457345514,"East Tennessee, Babylon"
Byron Hamilton,byronrhamilton,1466002755953344518,"Houston, TX"
Bob,BobEHS1,1439577033999364098,"Escocia, Reino Unido"
icey 💯🇺🇸 ✊🏾,icebergslim1047,14811111,somewhere out here
Leegacy Fan,BornInRednWhite,210875107,"Inglaterra, Reino Unido"
news in,newsgang2,1223569742364938240,
Jaxon Brow,JaxonBrow,35701107,"Middleton, WI"
StockMarketUnit,StockUnit,1359547699121430530,
Leo Tolstoy's WAP,seccotines,1214019440548798464,Hodgson Island
Angela,Angela14874253,1425574961767399431,
Can KARGIN,cankarqin,982330039579660289,"Çorum, Türkiye"
Miles Teg,WildAtreides,1300817914480615424,
nita parcel hodgson,NitaParcel,3029151891,
The Dane Cook of Case Managing,TellesRSP,1389219240608034816,
Joan Fabra,FabraPicas,918551615212281857,Vall del Ges
Alejandro Cañete,alejandrocanhet,733248144,Asuncion - Paraguay
Gina,Gigi_MCal,758114313768927232,"Pittsburgh PA, USA"
Kevin Lucas,KevinLucas26,459591479,
Patriotas,nepatriotas,3029126356,Brasil
Bendeira,BendeiraNewsQ8,1450994419,
Kalel Bens ⚜️,kalelbens,1397339657168433155,Nations Unies 
KARIN SIMON,48Rieck,2725063516,"Paderborn, Alemania"
Julia,Julia_bhhb,1462485160239194120,
Patrick deHahn,patrickdehahn,133315811,Brooklyn
City of San Bruno,CityofSanBruno,274629639,"San Bruno, CA"
oceana,OceanadeSilva,143593029,
Christine B.,Astrancia7370,1254414272601473024,
IL TEMPO,tempoweb,78567974,Rome
Dr.SteelMagnolia,TenoverDenise,918980555789631489,Tennessee
Angelo Medel,vngelomedel,92450504,"San Francisco, CA"
Terry Pal,terry_pali,2561999732,
Lagartija Nix 🌎🤔,Lagartija_Nix,4855687055,
Randy Parke,Parlingparling,990362034897219586,
T Mc,WhoDatBlue1,560513957,"London, UK"
Theotime,theotime_,716211995071086592,"Marie Galante en Guadeloupe, F"
Eric Orlando,EricOrlando99,304461020,USA
Mafer,_Maferzinhaa,1219469394964877312,De Baile em Baile 
Boo Conley #VetsSquadron🇺🇸,BooConley,375669485,
♏ati ♏uñoz (del 17%),MatiMuo38733156,1337489565150564355,Make man manly again.
Michael Jameson,MikeJofLondon,1397065526363529223,
liz,lsween14,255283993,"Chicago, IL"
🎗Slow News Day⌛,SlowNewsDayShow,1045393576513794048,Humboldt County 
ef,eflynn06,886439004,california
Mark ayre,oxym1988,1432545631164420097,
Gérard - חריט קורנליוס,Grard05542415,1110986629177634816,
Shawn Wiley,HealthNut712347,253740768,TN
DedolapoTwitts,DedolapoTwitts,1319384608002158593,
Auré,Au_re26,245578620,
Peace FM Online,peacefmonline,66927021,Ghana
But Her Emails!!!!🌊🌊#TheResistance,trw8511,726815771406520320,
Vitamin D is a lifesaver. Winter is coming.,40isFair,2553146912,Trantor
Laird Lynch,LairdLynch,1418127085,
Stephan,cryptocoat,1384870749501075456,"Holanda Meridional, Holanda"
WaldoKnows,KnowsWaldo,1349917765243719681,
n,kleurklank,260123797,midden Nederland
Laleh,LalehAmeri,73925475,France
وكالة النوخذة للأنباء,AlNokhazaQ8,245052110,info@alnokhzaq8.com
Pedro,Pedro73419753,2485052352,Santander 
Wrevo,wrevoint,94980062,Pakistan
Margaret Baker,Margare19954289,1204912495795699713,
hannah,hvnnvh___,1083852529358782471,soufside
TimeTraveller,TimeTravllr,1360315484642672651,
Heidi Morris. 🇺🇸,akfishgal,345236505,
Lori,Lori74458665,1071136421539405824,
Afición Central,Aficion_Central,158732968,"Guayaquil, Ecuador"
Earthly Delight,BDBQREBORN,460027665,❄️🌪️United States🌪️❄️
Oshun,Oshun05979483,1191743730665033728,"Savannah, GA "
plow,plow_42,1347349162904453123,"Baltimore, MD"
GHH,GHH81641569,1322008440361963521,
Richard Summerbell,Akiliense,2353185104,Toronto
CS Totana Sur,CS_TotanaSur,1141709451377991680,Totana
sophie 2.0,auto_sphwbb,818137459083137025,
felix,Petrichorphic,1456293572769193986,he/it + neos ✧ white ✧ 15
Radio Sucre 700 AM,radio_sucre700,86374475,Guayaquil - Ecuador
صحيفة الصدى,AlSadaKW,1646663792,دولة الكويت
Dr. Tara C. Smith,aetiology,35315865,"Kent, Ohio"
Trap | GCG,TrapMoneyAli,1454819640161472519,
Self-Owner,Ivoteformyself,593987558,"Utah, USA"
Me,SatinderC,151836936,"London, England"
libre...,nofakesnews92,1404422911792910339,
Ak Creation,mrakcreation,754301851407880192,"Punyab, India"
ChazBoyle,boylechaz1888,1460648084938047492,
Digital Public Affairs GmbH,DPublicAffairs,4632140295,"Potsdam, Deutschland"
Victor Asal,Victor_Asal,1296010872,UAlbany
David Bunyard,David_Bunyard,2565725311,Europe
Anastasia LaGuardia,AnastasiaLaGuar,1457345514,"East Tennessee, Babylon"
Before it's too late,nevertoolat8,1258481829830680579,
Aloneunderholder,matz_peter,994601895783288832,
Struggling Meteorologist,StrugglingMete2,1454151217374969861,Canada
Roy Poses et al.,HealthCareRenew,39318996,
22H MAX,22hMax,1286302445329682432,
Patrick deHahn,patrickdehahn,133315811,Brooklyn
Deep State,strangertangent,1044192039582101504,
BFMTV,BFMTV,133663801,France
The News Yard,thenewsyard,440228159,United States
moleek,moleek22,125768596,
Devil Pup Rodgers #12 🏈🐶🇺🇸,DevilPup74,1052683985896263680,"Illinois, USA"
City of Dover NH,CityofDoverNH,372225061,"Dover, New Hampshire"
Galla Go,galla_go,1283765688616628233,Estados Unidos
バレン 🦋,gratisfxction,148099226,Uruguay
Ak Creation,mrakcreation,754301851407880192,"Punyab, India"
Radio TFI (Home of The Taxi Stand Hour),TheRadioTFI,4725957312,"Queens, NY - Worldwide"
Karen 💬,CaNative,3590038872,"Orange County, CA"
grifter,grifter_1,15107215,
DaGecko,DaGecko2,1281305133779783680,
Larry,Larry29423660,1365397190080745477,
Sharon Lanteri,LanteriSharon,1064816719246483457,
FL News Radio,FLNewsRadio,543661875,Finger Lakes News Radio
as,sksanglia,786905782268944384,"East, England"
"Gerald R. Businaro, RPh",grbusinaro,244775645,
Jornal ES HOJE,eshoje,52396205,"Vitória, Brasil"
Miss Robles,MissRobles88,921922976,
Lolitagd,lolitagd,145296817,
Best Hindi Tech,BestHindiTech1,1413847110718423046,India
The Butterfly Queen,nichelle_renee,67156940,In My Skin
Adrianche,svmx_lestat,1291608002,CDMX
Governo de Pernambuco,governope,34371407,"Pernambuco, Brasil"
Walgreens,Walgreens,46177695,"Chicago, IL"
il mattino di Padova,mattinodipadova,95913190,Padova
philip mcwilliams,philipmcwilli11,1432373446747512835,
radiosiete,radio7ibarreta,738577028018896896,"Ibarreta, Formosa, Argentina"
Paloma L.,Paloma4691,372449842,
Natan_Ua,natan_ua,1463509006304133130,
News Bht,newsbht1,1269612893529444354,United States
Red de Estudios para el Desarrollo,redesarrollope,1207752784960991240,"Lima, Peru"
Untung,Untung51440057,1282317290797625344,
"⚡️⚡️Julius Branson, Systemic Racist 🎄",JuliusBranson,1303527238718173186,
Lynz,Supalynz,252807023,Yorkshire 
Aileen Mac Henry,AileenHenry,65079523,west of scotland
Sam Peppin,mrfinsterious,247521895,
Kastoras,XT_Kastoras,1208845521919643648,
Matthew Jaramillo,mrjaramillo79,371551906,
Courthouse News,CourthouseNews,34740650,United States
Kelly mcnamara,Kellycure11,1456395447325499392,
Alexis 🗯,AlexisByStorm,1101940380378062848,
Tardbark,tardbark,1460355900770713602,
Graham Falk,GrahamFalk,897942349,SCO/SUN
Beatriz,Beatriz43875433,1146098929362231298,
marcio lins 😷 É PRA COBRIR BOCA E NARIZ 😷,thatsaesir,8544852,hmmmmmm
News Account,Vandaluste,2168607242,
CC,c0nsrvchristian,1460813766719905794,
Palm Beach Ankle Bracelet Sales & Service,barnelvo,1346904085341999104,
Bill Beers,bbeers4,2188657231,
el Nuevo Herald,elnuevoherald,34641036,"Miami, Florida"
Kingdom of Bullshit © ™ 😜,Zombiekinghouse,181836777,Alemania
Buletin FM🇲🇾,buletinfm,4252358719,"Petaling Jaya, Selangor"
Miguel Eizaguirre,MiguelEizagirre,271124165,San Sebastian - España
Sun Valley Library,SunValleyBranch,69134353,"Sun Valley, CA"
Terry Kalb 🔥,teka21bat,2179089168,"New York, USA"
✖️,xavier1of1,564113221,Off The Grid 
867-5309,jennystitzel,455869077, Chicago 🌆/ Nashville ❤️
David Mills,BoomerBaby54,363321854,"Walnut Creek, California"
جريدة السادسة,6NewsKw,4422603207,دولة الكويت
Landlord Stan Account,greedy_lawyer,1412868846512398336,
Caoimhín McGlás,News_Magpie,871065900446875648,Scotland
REED RICHARDS,MRFANTASTIC4444,2558436714,
Eliza Jane,NoToAltFacts1,828058389846511616,Washington State
Shagrath: Rura Penthe Variant.,MarkLessard8,1389951116515831810,
my name don’t matter,ToddJohnson1965,1409498082853769222,"Colorado, USA"
Clip Salud,clip_salud,1163965647992381440,
AgreesiveProgressive604,AgreesiveP,1346273658541469696,
Giulianna,GiulianaMaria34,1389304078132469765,"Asuncion, Paraguay"
wayne broad,waynebroad12,991765731430862849,
Clive,ClivetheFirst,187721822,Essex
Richard Goldspink 🧡,SilentRefusal,166227333,Englandshire
Annette Molesworth💙,ACM_digger,1108710850251108352,Westcliff on Sea 
Amanda McClelland,AmandaMcClella2,534236549,New York City
BCNT,BCNThomson,2541937783,
Bill Bush,ReporterBush,2656799995,"Columbus, Ohio"
⚜️Ř.Ǥ. ŞĆØŦŦ⚜️(5-5),icewater2578,1647523634,"Houston, TX"
Miss R,MissROutdoors,3424213877,"England, United Kingdom"
Rogerramjet,Rogerramjet64,1216477135285604352,"Arizona, USA"
Nigel Bennett,top1percentile,239996081,England
William Ludeña Arias,williamludena,274670735,"Guayaquil, Ecuador"
Carmen “💬📢💉😷” Gonzalez,crgonzalez,11763132,"Glendale, California, USA"
WollyCGN,WollyCGN,1446219576577036292,
George Dorunda 🇺🇸,Dorunda,30849514,SC - Southern Freedom Zone
nim 𖤐 mdni,stalkedhome,1434642173941612549,mari’s kiddo
🅁🅅🄽 Mark,msapian1,1483716404,Warren MI
igor barbosa ferreira,igorbarbosafer5,1254268360252100609,
Ed Huyer,Arcanum3000,31549839,
Bo Anderson,boanderson57,1074417901,
Luis!!!,protocolse7en,1457617628176994311,
Dr. Sam Hall,UrbanOdysseus,262725120,R'lyeh
DRONCITO TRAVIESO!,_Diez15,3804443773,
Giddy Bunny,giddy_bunny,1267593994017681409,
Jason Thiele,JasonThiele3,1362983302009737217,
Jerri Andreasen,lythande924,17418566,"Seattle, WA"
KranTrain,KrainTrain,1222606957988610048,Corrupt VANCOUVER/BC
Dr. Walter Bishop,Rasennae,721452511198982144,USA
Roxana,portella57,1592614735,"Los Angeles, CA"
Bill Badey,10903,234922535,
Francesca🌸,Francisella13,1188413780239290368,
felidae,felidaeny,1222945528704589824,"New York, NY "
iWeller.com,iWeller_health,728894570,
Jukebox Radio UK,jukebox_radiouk,1398206208272707586,Yorkshire
