username,name,location,user_id
smh,The Sydney Morning Herald,"Sydney, Australia",16675569
UfaTime,UfaTime.ru,Ufa,357468982
JMC31337,JMC31337 🔞 🍀 #CloversForAssange,DarkNet,2235253365
Astr0ox,Malik Al Mawt,,3353494978
piojemos,𝙋𝙄𝙊𝙅𝙀𝙈𝙊𝙎 〄,"Caracas, Venezuela",1050834850872262658
faisawho,multifaceted woman,,1357762353568358402
forkthvote,KTH VOTE,3 admins | esp/eng 🔔 ,1400919008271024128
anne_twain,🇦🇺✳✳🐀🐓 AppaRatChook,"Warriparinga, Kaurna Country",624742206
Nataraj57027538,Natarajan Krishna,,1248870021205393410
pembroke1128,John marshal,,1371878572269432838
Wendyleblog,Wendy,France,475877287
JasperChu05,Jasper Chu,District of North Vancouver,1465769285788205057
Roy_L_Helio,Roy Helio,COLFAX,1254585033563623426
Furado_101,Fernando Abelho,South Africa,214166678
VaxDodger,Dr Vax Dodger PhD emeritus,,1373201574340796421
KruQ33,Adrian,,1389963575121297413
LZinaslv,Latvijas Ziņas,"Rīga, Latvija",1273290650654511106
i0n1ca,ionica,"Timisoara, Romania",450611024
Christa0003,Christa H.,"Tennessee, USA",830665696535252992
Wolfwalk47,Ray Hawkins🌊🏳️‍🌈,"Kansas City, MO",631533912
illlyanas,laurel,she/her 23 ,2330534329
nosleinad7,Philosophysical,"Christchurch, New Zealand",20230439
eeiispain,"Dr. Ramon Reyes, MD","Madrid, España",2718046643
crownmanuman,crownmanuman,,1406499904621531136
Dis_Naija,DisNaija,,893133403
BenMalloy11,Ben Malloy,NC,1436858879745445888
NewsHawksLive,TheNewsHawks,,1304061401548361728
hoanhiem666610,Minh Vũ Nghi,Việt Nam,1427859450044436482
iamRainOver,Ojo Lasisi,,1370457694155513863
NotiDesayuno,Desayuno Noticioso,Zamora Michoacan,2306588287
laila17459378,laila,,930328482
toconnor6325,toconnor6325,"Los Angeles, CA",3622556539
ajinomoto_crim,Criminal company,,2227457233
arab_saifuddin,Saif,,1458818064955236362
FrancescaLupo15,Francesca Lupo,Siracusa,1185037188855148545
ElisabethHoehne,immernoch.da,,2717533537
Stevehastweeted,"Steve, LMHC, LPC","Queens, NY",234041599
Stevehastweeted,"Steve, LMHC, LPC","Queens, NY",234041599
David99781895,NFT WANNA BE,,1381694449533689857
NadiaJDalby,Nadia Dalbuono,,2792569303
desertgemdesign,customgems,Okanagan-Similkameen D,2292135222
DeanBoylan4,Dean Boylan,,1455484909376655363
ThaiEnquirer,Thai Enquirer,Thailand,1201730863035142144
Alex_on_A14,A14 Alex ...... check out @IvorMectin1's new book!,The centre A14 J60 of course.,22395793
SuperKamiGuru87,L. Put O🇲🇽,Texas,822989751741517824
briggsy_259,Jeffrey Briggs,"Newcastle, New South Wales",1275389490555572224
P_P_Parulekar,Patricia Parulekar,,133018411
Martuuxxi,Marta,,2449898936
czflash,Robo,,32329224
merdekadotcom,Merdeka.com,Indonesia,456426648
Toobydoo,𝔗𝔬𝔟𝔦𝔞𝔰 𝔙𝔢𝔪𝔪𝔢𝔫𝔟𝔶,Wherever Carmen is...,8112562
BenMalloy11,Ben Malloy,NC,1436858879745445888
pastorskatze,for Future 💚,,107771100
IcyJump,Icy,"Montréal, Canada",1237547401298280448
ArjenPolku,Paul Jonker-Hoffrén,"Turku, Finland",1076025756
ijournal,Insurance Journal,"San Diego, CA",15300677
alineanoona,.,"Jawa Timur, Indonesia",1416537737658736640
_pallavighosh,pallavi ghosh,NOIDA,42043572
AFPFactCheck,AFP Fact Check 🔎,Worldwide,1002203254065950720
NgCrawler,Crawler NG,Nigeria,1348657639643881473
PanchayatTimes,Panchayat Times,India,860156580536262657
carlaindriana,Carla Indriana,,573249131
TorontoPearson,Toronto Pearson,"Toronto, Canada",48062810
RainSMedia,RainSMediaRadio.com,Lagos.,272894400
TV7Benevento,TV7,"Benevento, Campania",1130806238
epmediterraneo,El Periódico Mediterráneo,"Castellón, España",230803697
ayberkyagiz,Ayberk Yağız,Bursa-Ankara-İzmir-Miami,18865523
cuatro,Cuatro,Mediaset España,106397073
nazmulmarketer1,Md Nazmul Hossain,Bangladesh,1392751646979940354
Budge4Steve,Steve Budge,,1458557204064346119
WritersGuildKE,Writers Guild-Kenya,Nairobi,2656507681
manilabulletin,Manila Bulletin News,"Manila, Philippines",15375209
NucleoNoticias,Núcleo Noticias,Venezuela ,3002981775
NewsContinuous,news continuous,"Mumbai,Maharashtra",1034373199213912064
OK_Magazine,OK! Magazine,London,20449691
ABSCBNNews,ABS-CBN News,"Manila, Philippines",15872418
akuratco,Akuratco,Jakarta Capital Region,786549338818224128
TeleSaltillo,Tele Saltillo,"Saltillo, Coahuila de Zaragoza",898329999421435908
LaJornadaMaya,La Jornada Maya,"Camp, Yuc, QRoo",2749764192
JagranNews,Dainik Jagran,India,64639742
PeriodicoZocalo,Periódico Zócalo,Coahuila de Zaragoza,18461620
Ronnie_XXIII,Ron,Proud 7th Gen Californian,119675335
StacyFort,S҉tacy F҉ort,Paypal: StacyFo,138236371
amcelha3,Ashley phillips,"Georgia, USA",2976745901
ProfLugaw,👁‍🗨🅰️🅿️(AlterProf),Republic of the Philippines,1434066551041257474
mediaindonesia,Media Indonesia,Jakarta - Indonesia,68930552
apocalypseRSA,🧟‍♂️,,1396323276809441280
LicantropoYUC,Licántropo Digital,,1294048824370106368
polsek_miri,Polsek Miri,,1350994719749402626
mihretu1,mihretu yizengaw,ETHIOPIA ,1159362678
thaipost,Thaipost,Thailand,19141546
IExpressSouth,Express South 😷,South India,938716136882847744
DaisyMayCat5,DaisyMay,"South East, England",1339836637942083585
JaimeCa06061333,Jaime Castillo,,1445865632986112002
Orvo_,Orvo ✦,Hevn ✲ Yumz ✲ Arashii,1206293277017812992
janakbhagat,janakbhagat,"Mumbai,India",17732402
Noahpinion,Noah Smith 🐇,"San Francisco, CA",281877818
SpadeA__,Aldo,,3252314952
DumayWarga,warga dumay,,1378724729071136770
PankajKaprwan2,Pankaj Singh Kaprwan,"Rudraprayag, India",1254408979280691205
D4vite,Dave,Over there...,85461577
martybeetsphoto,Marty,"Auckland, New Zealand",124412467
jacquierlacour,Michel Jacquier,,2606895827
IndiaNews_itv,India News,Delhi,1242418325319233536
adityak03150167,बेरोजगार aditya,,1255434379519832067
flashbrosales,Flashbrosales,"London, England",1380232702197137408
taschr33,Tasos Christidis,"Athens, Greece",273865554
njoyflyfishing,Nathan Joyner,"Los Angeles, CA",3219670842
malaga_ee,EL ESPAÑOL de Málaga,Málaga,1400007779277066241
7NewsAustralia,7NEWS Australia,Australia,63362429
PaulMauser1898,Paul Mauser,,1382172076212047874
eatmeetswest,Bri,Whadjuk Land,19706833
TOICitiesNews,TOI Cities,,30846824
OBirPatan,Süprüz Yaparım🎁,,2942780332
mambo_andrew,Andrew Heinrich,Gt Chesterford | Essex | UK,19933649
BenMalloy11,Ben Malloy,NC,1436858879745445888
IsabelL31336536,Isabel Leite,,1425039082846146560
LARRECHI,CAYO GARCIA LARRECHI,VITORIA-GASTEIZ,550937538
shonaghNiR,Shónagh 🅾️🇮🇪 🇵🇸,Cill Dara,21770020
agirencitoyen,Galley,FRANCE ,1428341962235596802
hornbilltv,HornbillTV,"Dimapur, Nagaland",1348881673044307968
AnnaTrojnar2,Anna Trojnar,Rzeszów,1282410024699154442
ajinomoto_crim,Criminal company,,2227457233
IaintNOmuggleHO,she suck dick dick,Platform 9 and three quarters,1419681169138929673
YCFlores,kamala in the streets AOC in the sheets,New York City,16136382
UNTVNewsRescue,UNTV News and Rescue,"Quezon City, Philippines",32726264
alykhansatchu,Aly-Khan Satchu,Nairobi,21303464
SayNoToLDP,安倍を逮捕し売国竹中・日本会議Dappi爺民党電痛強盗団をお取り潰しに! 野党連立政権の誕生を！,,705539979175264256
WendyAg1409,Wendy Amairani 🌻,,793920126529605632
JorwalVicky,Vicky jorwal,"Dausa, India",2911969801
RealyAmerica,Really America,🇨🇭,787634339727147008
icmrnirrh,ICMR-NIRRH,Mumbai,984284969114787840
sgoundi,Said Goundiamy,,480233217
_brks_k,sha,"Evry, France",921484675247431681
t3tragrammat0n,tetragrammaton,,766855264867725312
Tv9_Bangla,TV9 Bangla,"MEDIASITI, SECTOR-V, KOLKATA",1331224968407891970
FreeDom78911619,Free Dom,,1211858305510821893
Megresistor,Meg,United States,55472950
wfymd,Jesse Hightower,,19977123
EnergySource2,Energy Source,,1360298293780168712
bex6385,Rebecca,,1431162589262893061
KimTamm11,Aerospace Girl,"Vancouver, British Columbia",2548553022
karyawan_tuhan,iblizz katon,"Pedurungan, Indonesia",921772718978088961
cr_angeli,Raphael Angeli,Paris,487556107
GrettaHarley,Grettahmettle,"Seattle, WA",2225798347
7NewsCanberra,7NEWS Canberra,Canberra,1098451166306824193
GillesKLEIN,Gilles Klein,Paris,5698002
Shivam_29_,$hivam 🚶‍♂️,Idk ,1305511099131813896
DailyPostNGR,Daily Post Nigeria,Nigeria,413428207
HitItWithARock,HitItWithARock,Earth,890287849190428672
r3dw3bm4st3r,r3dw3bm4st3r 🕉 #LaChuteDeRome,Dans Ton Cul !,1234024231
JustJud41946395,JustJudy,,1240735025038938112
DanGurneyH,Daniel Gurney Halleck,Bavaria,1233033184847286272
DenvH1978,DenvH,,966654579218767872
lynn1219,Lynn Beckman,"New Jersey, USA",41109486
7NewsSydney,7NEWS Sydney,Sydney,156464691
CinnamintPatti,Cinnamint Patti,Idaho,874831106
Headbetter33,🪙 BARBER BTC 🪙,North pole,2496012380
realJacobAirey,Jacob Airey,"Los Angeles, CA",2332477405
BenMalloy11,Ben Malloy,NC,1436858879745445888
JWMFischer,JWM Fischer,West Coast,5652692
simultane4,depression mosfet,"Patras, Grecia",1265216184863113216
LaTribunahn,Diario La Tribuna,Honduras,53519151
fredvell,Fred Vellekoop *2 meter afstand*,Rotterdam -  IJsselmonde,1025428544
Brad27072,Dermot Bradley,"Wexford, Ireland",1205914942236434432
ELSABRO16717122,ELSABROSO,,1242394825439264770
MarkC0011,Mark,Devon,1594102442
LaDonnaThorne,LaDonna Thorne,"Arlington, TX",439377017
WKolov,Whiskey Sierra Kilo,Deutschland,1126437637236109312
Lars_Kruse_1973,Lars Kruse,"Würzburg & Charlotte, NC",1042079214416080896
sluip_wesp,humblebee,"Pambansang Punong Rehiyon, Rep",1397901110732640258
BenMalloy11,Ben Malloy,NC,1436858879745445888
Vdailyl,V updates ♛,turn on 🔔,1396505404167925760
_Kris__UK,wake_up,UK,375916645
luisotobajas,Luis Tobajas Belvís 🇪🇺 🇪🇦,España,211808465
CamuuruumaC,Camuur,Unterwelt,373533213
Bwp4444,Bradley Pool," Victoria, Australia ",752670773421027328
AAragurn,Aragorn,Gondor,3812402725
alanwinde,Premier Alan Winde,Western Cape - South Africa,104482992
gtrkrb,ГТРК «Башкортостан»,"Уфа, Башкортостан республика",2589203766
AtaraxyLeaves,Name,Unknow,1052228298711998464
DeChouza,Traductor de Cosas,Cuarentina.,1266212657272696832
fnoble20,வசந்த் വസന്ത് פרידריך 🇮🇱🇮🇱🇮🇱,"Chennai, India",2848152482
yejitaed,lia⁷ BTS 2X GRAMMY NOMINEES,fan account; 21,1003799334775746560
TgrRaiMolise,Tgr Rai Molise,"Campobasso, Molise.",4844931544
asiannews_in,Asian News,Pune,1368244618404397060
mcutimes,MCU Times,USA,1388527425001189376
IndiaNewsCart1,India News Cart,,1373133439361245185
ajinomoto_crim,Criminal company,,2227457233
DesinaGennaro,gennaro desina,,1372430163716284417
Spectateuropeen,L'urgence c'est de suite,Europe ,1416365577032151047
nezzukov,dep,24/7 Twitter's Society,882948037210812416
strick976,Chris Strickland,,1128855476689670144
jeguru1,abhay kumar,,713523037560111105
LeonardMasilela,"Leonard Masilela, Esquire.","Rustenburg, South Africa",135802133
realmintvibez,Mintvibez,,1389214443029110785
chrysoils1,chrys,"Calgary, Alberta",750534866203123712
CwmDeriBoy2,𝕲𝖑𝖞𝖓𝖉ŵ𝖗,Gloucestershire,20841159
proc_holiday,Shady Minister,"Bellevue, NE",1275799517598810117
SportsCenter_nt,Sportscenter en español,https://www.facebook.com/SportsCenterESPN.mexico,52585854
BlairWilliams26,Dr Blair Williams🏳️‍🌈♀️💉💉,Ngunnawal Country,3306424254
nearing_1,Nearing One ©,earth,4905324517
grayvsearth,Gray Vs The Earth,A study. Full of junk. Heeelp!,718205832341676033
Raghava99992,RRRaghava krishna😎,"Hyderabad, India",1030527297806368769
Dinesh_Thite,Dinesh Thite,Mumbai,378050185
totallyfearless,Michael J. Cox,"Kansas City, MO",1584352400
SpiritWinds7,Spirit Winds,,1442106477284528138
shehzadyounis,Shehzad Younis,Thinkstan,30701862
WonderinWhatDFW,"DFW Autobots, Lets Roll","DFW, Texas",1305611326174236673
JohnnyBeeDawg,JohnnyBeeDawg,Land of Nodding Off,186343604
shahril_izzuan,ARRAY 🇲🇾,"Terengganu, Malaysia",805956300601368577
_Owen_10_,El Chapo💥,FNB ATM ,980705089
REVOLUSYNAPSE,R-SYNAPSEニュース,,1296053429417041928
Monicalouisexx,Monica louise,United Kingdom,782175373421346816
laotian90,Mu Dan,,904112236108623872
Woutrman,Wouter🎉🎯,"Utrecht, Nederland",186742045
MadConsole,MadConsole,,1087742959326359552
PaulProsise,Paul Prosise,"Colorado, USA",17412394
Jimlg1,Jimlg,,1014017037792784386
chkaki,Chkaki,,96353890
nandorosa8,TruthMatters,,1391606042010791936
COVIDAnimalBot,UnQuarentinedAnimalBot,Earth,1304858547201736712
SaiyanBio,Bio_Saiyan,,1340955430269448192
RainSegzy,iamRainOver 1 Billionaire,Lagos,2862361952
Romizzledizzle,It's about finding a balance.🧘🏽‍♀️,,1416815186271420417
JulieBe98732237,Julie Berg,,1462792941873758209
RTARF_PR,กองบัญชาการกองทัพไทย,"กรุงเทพมหานคร, ประเทศไทย",1173516169145307137
schmid_silvio,Silvio Schmid,"Luzern, Schweiz",964209889127141376
gdelussigny,Guy de Lussigny,"Paris, France",84291352
JorwalVicky,Vicky jorwal,"Dausa, India",2911969801
skz5k2,Francesco SkZ Mauro,"Antofagasta, Chile",397034400
All_4Given,All4Given Ministries,USA,157509237
ultimatepocket1,ultimatepocket,"Isla de Francia, Francia",1080091599198191617
ConnectByFaith,ConnectionsbyFaith,"Ashland City, Tennessee",218003821
tumblingkitty,An Gelic,,267439629
AskASwiss,AskASwiss 🌻,,620313058
nurse_gracie_pi,Nurse Gracie,"San Francisco, CA",1204996323625144320
BenMalloy11,Ben Malloy,NC,1436858879745445888
BSkipley,Bo Skipley,,1413216414010388481
RonnieYstrom,Ronnie Yström,,2838380470
sunbox001,SA,Singapore,54782651
NFLBeast2,NFL Beast,USA,1404883937617494017
thanda_ndlovu,Thembi,Capetown,308089167
RachMurph,🌈 Rachel Murphy FBCS 🌈,London,33979523
iam_mahanthesh,Vinu Mahanthesh G,"Kolar, India",1329291340715159554
Tsutsu8960,안단테,,868118381366345728
teemothy,nothing but trouble,"Bayswater, Melbourne",20410322
nermton,Nermton,,994624753603366913
titarm2019,titarm2019,Cuba,1090637247148425218
markmcdougall13,mark mcdougall,,1042515776832335872
IaintNOmuggleHO,she suck dick dick,Platform 9 and three quarters,1419681169138929673
Apahihotlen,APHTL,"Nairobi, Kenya",2824117044
RTMCRiau,RTMC Polda Riau,"Pekanbaru, Riau",293826401
abrk,Amar Babu,"Mumbai, India",34905665
DTPORGE,Georgeanne Matranga,"Brightwaters, NY",792651643
GinaGelato33,333,West$ide,4403999834
LaAndre7,LaAndre,Cremona - BigCream,1008601714419695616
yildizim2000,Bitcoin-peer-to-peer,Nederland,2604414594
JMC31337,JMC31337 🔞 🍀 #CloversForAssange,DarkNet,2235253365
JosLuisMadrig14,José Luis Madrigal,,1276252223618441216
leblogdinfo,Le Blog D'Info,,1310928022959280128
kitbatman53,KITBATMAN53,,1421997344908713984
LatinoLens,LatinoLens,"California, USA",1212985288324026368
EnbyKaiju,"Kaiju, Film Noir Monster 🏳️‍⚧️🦖",Melbourne,190418680
lykabetos62,Marcos Gutiérrez,"Madrid, Comunidad de Madrid",4170588095
iseeuliars,🌙biomimic🐾,Calusa Territory,135694624
caljjmarshall27,Callum Marshall,"Broken Hill, New South Wales",1734361994
Alfaenshe,𝔸𝕝-𝕙𝕒𝕛𝕚 𝕀𝕤𝕞𝕒𝕚𝕝,"Leicester, United Kingdom",59207754
Gerwyn247,Gerwyn Williams,Wales,23520267
JlMorell,jlMorell,"Madrid, España",1014089425
MdNazru36122216,Md.Nazrul Islam,,1357638497092345856
BreezyScroll,BreezyScroll,United States,1396012419143507970
Grand_handsomer,Cancel Christmas Freb,Where ever i feel like being ,959708089342676992
MsCuppyKate,Kait,,60948330
AZ_Turned_BLUE,KEEP AZ BLUE! 🌵💙,,1351963171972501504
RealPureCraig,💎Crey69💎,,1373426526683680773
JackieO1967,Jackie O,,1437812604324384774
jyostna59883008,jyostna,,1376181195013201922
ngc346c8,ngc346c8,,895046179125440512
DanGurneyH,Daniel Gurney Halleck,Bavaria,1233033184847286272
Romagialloross4,Romagiallorossa.it,Roma,1417417027690680333
Sweet_ivy_Cakes,Calabar Cake plug(Sweet_Ivy),Abeg tag: sweet_ivy,1132290486704775168
SLBCTexas,SLBC Texas,Red State,81651824
ramacabici,RAMACABICI,Parets del Vallès,495174396
LilasNdong,Ndong 🇫🇷 RN85,"Vendée, Pays de la Loire",1357062729756999684
heroyoukey12,heroyoukey,Japan,203084219
TPM_NEWS,Top Most Popular News,"Bombay, India",383589707
DianaDee16,Diana Dee Light ☮♥️🌮,SacTown,382964535
NikosNoulezas,Nikos Noulezas,,410191217
LCHF_Matt,LCHF Matt,"Sydney, New South Wales",949807493487632384
stopthatgirl7,Embrace your inner trash panda,"Osaka, y'all.",47052792
n_berozgaar,Nitin Kumar Berozgaar,,1464599701089570816
maxvaldes,The Believer ™,The Globe,17434245
Pervanche71,Pervanche 🟢🍀🌱💚,Deutschland,910924062020554752
JustSkipMe2,JustSkipMe,,1465923679796219906
Freedomrockrad1,"Freedom Rock Radio - Live Free, Rock Hard!",USA,1341846631650648064
nsntrmj,Nusantara Maju,,1146373427239899136
asaabmd,Ahmad Saab MD MPH,"Las Vegas, NV",865626625
Jimlg1,Jimlg,,1014017037792784386
LiliAnny2021,Lili Anny Leebou,,1443340530197229570
Wlsluna,𝓵𝓾𝓷𝓪,,1009713465030856704
thefireofOla,Olashile Abayomi-Wealth,Where Empathy and Love Dwells ,1179495100965146624
BarbaraHartGri1,The Griffin's,"Nevada, USA",997205477048991744
1070Bir,Mehmet Tanrıkut,"Istanbul, TURKEY",1359059978
ecodaren,rbodpr,ecoda TOKYO JAPAN,120375508
ChelaTxmex,Chela #NoBorderWall,,1367254534351896578
ryansdoherty,"Ryan Doherty, PhD ( 🏥 , 🏥 )",,22331702
DigUniSys,Digital Unit System,,3718890982
BantengnyaPDIP,BantengnyaPDIPerjuangan,,1305708261883015168
joan3377,joan🌺🌞🌈,Belgique,2594942762
Ihw_tv,IHW.tv,India,1322818633446338560
mikelotus,Mike Confoy 🇺🇸 ≠ 🇷🇺,"Burke, VA",52965562
BantengnyaPDIP,BantengnyaPDIPerjuangan,,1305708261883015168
Jessica85822961,Jessica Grant,,1462793902860103685
DelusionsMass,MassDelusions,United States,1346914969359671298
adivawoman,Crone with Crohns,"Carolina del Norte, USA",895971572393156608
SARugbymag,SA Rugby magazine,,114982982
Phiwokuchle,Phiwokuhle,South Africa,897518670238371840
jmp9999jmp,I Think I’d DO Both 😂😂J,,746473869293330432
linds_dreamer,Lin Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺#NHS #YesCymru #peace,The World,1161582060357767169
NewYorker,The New Yorker,"New York, NY",14677919
ogal_c,hnm19,Pluto ,1019817809478483968
Niklas_back,Niklas 🏴‍☠️,Regnum Aragonum ,1463562269661425667
MikkoKorhonen12,Mikko Korhonen,Helsinki,994865627901947905
wischhusen1,Stuart Wischhusen,UK,179500812
DonaldRex,Donald Eke,"Lagos, Nigeria.",268755758
mothwoman2112,Mothwoman2112,,1331302072667541504
Megresistor,Meg,United States,55472950
SvenOliverLinz,Sven-Oliver Linz,"Westerwald, Kreis AK",952562376
JorwalVicky,Vicky jorwal,"Dausa, India",2911969801
RealEvidence3,Real Evidence,"Cape Town, South Africa",1390761518904512516
latimeralder,Latimer Alder,UK,98583506
JodesiJo,JDS 💙,,768322974
ShoNuf77,TPS Report 🇺🇸,New York,1518476738
ragini_512,Mounika Ragini 512,"Andhra Pradesh, India",825954567942606848
SpiritWinds7,Spirit Winds,,1442106477284528138
Dang57404287,Dang,,1264187899509170176
UrvogelGallus,Unimpressed_Pixy,Solnhofen Limestone Beds,983767480886812672
rarebreedsaeed,$$$,,1348148304375267330
ElwiraRosiak,Elwira Rosiak,Tk’emlúps ~Kamloops BC ,1239564608941113347
manoj07860,manoj,,969681044
SportsCenter_nt,Sportscenter en español,https://www.facebook.com/SportsCenterESPN.mexico,52585854
HunterW19577722,Hunter Woods,,1334268904760291332
tricksimpson,Patrick 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🏳️‍🌈 Simpson,"Scotland, United Kingdom",853646642679074817
WildBilly58,Doesn't Matter,,1432933915413598215
Hillionaire23,Kyle,Jurgens Reds,829736325939073024
diaridtarragona,Diari de Tarragona,Tarragona,248584600
VCCEJN,SYPITHO,,829195227311329280
rameneses1,SETI I,spain,81932175
xBjx,Ben Beath,"Sydney, Australia",23936191
Radio_Zocalo,Radio Zócalo Noticias,México,219342782
SydWalker,💧Syd Walker,"Queensland, Australia",24617059
alfaquatre,kamms,,531708304
somedumbname410,Barb Fortin,,2200670311
the_skrat,Chantal Bolle,,1311967900618625025
thazou,thazou,,68939622
jrubiomart,Juan Rubio Martín,,211883050
D_Nkitseng,PETROL HEAD🇿🇦,,1363105211900960768
JoshMerrJ3ckyl,J3ckyl,"Dallas, TX",1430510587725983746
ihnoot,IHNOOT 🇺🇸,,386722554
LovelessHart,LovelessHart,,1165750742700789761
Robwaycar,Rob Carlisle,,1453229319875174408
BrendonMiszka,Brendon Miszka,,721171638
BrendaC23551849,Brenda Crosby,"Georgia, USA",1364796400429629440
radionz,RNZ,,42985637
LWHawksby,Author L.W. Hawksby The Narcissist Hunter,Scotland,821316098482208768
wipk71,Pecnik William,"París, Francia",1443475276038606849
PhilipM58079799,Philip Matthew,Highgate London,1426912708146962440
corbucorbu,Corbu,"Brooklyn, NY",16280688
MirageNewsCom,Mirage News,Australia,3149729430
counsellour,James Do Hung LEE 🏳️‍🌈,"Seattle, WA",44867825
B1U3SKULL,Jared Brown,"Cleveland, OH",1345204855
MaydayMaze,Theo Daure φ🔻 #RègleBleue💧 #RègleVerte 🌎,,1183228996382842880
wfymd,Jesse Hightower,,19977123
lananova6,lana nova,,1303409952057438209
insightfull101,Jdm,USA,249956576
arvaki,C Data,,51137573
SuperChannel_12,Super Channel 12,Piedras Negras,3254924130
MOTION_OF_MERCY,bobbie jean,MICHIGAN,574809930
Can_Approve,CanApprove,India,4255306873
wakeywakeypeeps,flabergasted,"Hickory, NC",750382597646217216
tbcollins1014,Patriot Collins,,839014454
vishnu_suresh_2,Suresh Vishnu,"San Francisco, CA",3381885914
garbage_citizen,𝑮𝒓𝒂𝒏𝒅 𝑱𝒆𝒅𝒊 𝑴𝒂𝒔𝒕𝒆𝒓 𝑭𝒓𝒊𝒌 😷💉💉👍,,4821787624
MasyarakatJela3,Masyarakat Jelata,,1379729900215525381
Sir_Mlu,Mlungisi,,151363758
BarbaraKnotts,Barbara Knotts,"Corbett, OR",32765824
aracelioc3,araceli.o_c,,1409003728670179329
emmanuelleHaile,Emmanuelle Haile,,787288995139096577
Teekatown,Teekatown,Toronto,1144260812
RyanNotCallie,RyanSomething (working title),The darkest depths of hell,929050944909623296
Gazzettino,Gazzettino,Italy,6831142
tonylaraandorra,tonylaraandorra,Andorra,310367611
raindog212,Blue Dot in a Red State,"Montana, USA",28608677
kate_edmiston,Kate Edmiston,inverness,2738070051
Ivaaan69,Aditama,Indonesia,758271270
cafepedagogique,Café pédagogique,,154611570
Worldsmessedup1,Worldsmessedup,,1384619633634779137
TirtsasKram,Tirza 🔴🔴🔴 💉 💉 💉😷 #NotbremseJETZT,Germany,1061389111523729408
Becs,Becs,Aotearoa,6043922
aprosopos_,Φ,,1429150398020034561
Dannyjayy1,Danny Johnson,"Maryland, USA",1465688997439627274
OfByOpportunity,State of Opportunity,Estados Unidos,934776683659280387
yavorivinfo,Яворів Інфо,,800789167185661954
SebastianHolst,Sebastian Holst,,376367816
ASnilloc,A. Snilloc,,303562681
ranioush212,le riz le riz,"Lyon, France",1259906680332132353
AWiggwah,Azael N. Wiggwah,,1110091225359626240
EdwinRodham,Edwin Rodham,"Wellington, New Zealand",1423205411243446277
HuntingtonLiz,Liz Huntington,,1319723600392474626
ladh,DH les Sports +,Brussels,14715075
Actunas00,Actunas,,1463544894358757379
Parmana91741812,Parmanand singh Rajpoot,,1441279319238602760
thraxalicious,marble chinchilla,,1289953848
amcelha3,Ashley phillips,"Georgia, USA",2976745901
Bill_Bendel,W.R. Bendel,"Bloomsburg, PA",28381733
luisotobajas,Luis Tobajas Belvís 🇪🇺 🇪🇦,España,211808465
patticakeski,Patti,,3013055124
MarnoASMRFan,♜ Kali Baucom ▴ playing BOTW,Massachusetts/Grobania,922286882368708609
