possibly_sensitive,created_at,lang,text,tweet_id,type
False,2021-11-29T04:05:14.000Z,es,perdón pero mi único propósito en la vida era tener la película de black widow y verla en el cine y una vez q pude cumplirlo medio (bastante) q me chupa un huevo si no tengo la guita para ver una de marvel en el cine a menos q aparezca wanda ahi tome mi dinero querido hoyts,1465169957805826049,
False,2021-11-29T04:04:58.000Z,en,@rosessinn LIKE????? they had they ready to go for black widow and shang chi what is this 😭,1465169890919202816,replied_to
False,2021-11-29T04:04:35.000Z,en,Watched Black Widow with Zurako on Disney+ last night. It’s all right. https://t.co/Ly6RUJ5cNS,1465169794634711041,
False,2021-11-29T04:04:23.000Z,en,"RT @BROKENHAWKEYE: ~ 𝑪𝑳𝑰𝑵𝑻 𝑩𝑨𝑹𝑻𝑶𝑵 / 𝑯𝑨𝑾𝑲𝑬𝒀𝑬 

Marvel Alternative Universe, Comics Based, Former SHIELD Agent And Avenger, Master Marksman,…",1465169745301450760,retweeted
False,2021-11-29T04:03:36.000Z,en,"#NOWPLAYING Iggy Azalea - Black Widow 

CLICK HERE TO LISTEN 
➡️ https://t.co/vOgEUK2yXd  

#freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40 Follow us @freqnetwork",1465169547787481088,
False,2021-11-29T04:03:00.000Z,pt,"RT @GNGeekNation: #Dune atingiu a marca de 102.2 na bilheteria doméstica.

Mundialmente o filme chegou a marca de 374.2 Milhões de Dólares.…",1465169398533173249,retweeted
False,2021-11-29T04:01:20.000Z,en,@RebelliousCheez she's been Black Widow since the Avengers movie. so they thought she should have been Asian before that?,1465168978893021189,replied_to
False,2021-11-29T04:01:06.000Z,en,who wants to buy me yelena’s lesbian vest from black widow? i deserve it,1465168917534543881,
False,2021-11-29T03:59:52.000Z,en,@PGIRPod @DipDeity @Hugh_Henne @iHeartRadio Get a GMC SIERRA Black widow.,1465168607852351495,replied_to
False,2021-11-29T03:57:10.000Z,en,"RT @leaderyeons: 211128 everline offline #Sangyeon #상연

Q. (to sangyeon) if the boyz were marvel heroes

iron man: sangyeon
captain america…",1465167927317987336,retweeted
False,2021-11-29T03:56:41.000Z,en,i think a black widow needed a rewatch anyways,1465167809516752897,
True,2021-11-29T03:56:33.000Z,en,RT @missveronikab: Lots of super hot Black Widow content on my Only Fans so you should join :) https://t.co/O6uy9Ehsrb,1465167774158884869,retweeted
False,2021-11-29T03:56:29.000Z,es,"@mommyshark_l No ves que esta ensayando como la ""Black Widow"" de Anvengers ?👍 https://t.co/wGElFDkuz9",1465167757519904772,replied_to
False,2021-11-29T03:56:06.000Z,en,RT @lady_perse: We decided to get some fun and use this slave as our anal and oral slut. We did in in our villa neer the pool! @MistressMav…,1465167661852246025,retweeted
False,2021-11-29T03:55:50.000Z,en,RT @miss_LulaMae: Chris Evans and Scarlett Johansson with little fans of captain America and the black widow https://t.co/zOX1jrZgYT,1465167594663542790,retweeted
False,2021-11-29T03:55:41.000Z,en,"catching up on Marvel films. 
Black Widow : fine. didn’t do a lot for me personally. Florence Pugh a gem though.
Shang-Chi : A+ superhero movie content. Very sick. Caught me off guard with the dragons.",1465167555828477952,
False,2021-11-29T03:55:35.000Z,en,RT @natashasmygem: black widow and shang-chi added to the iconic marvel introduction scene so true https://t.co/Nnc64QDhf3,1465167531946168321,retweeted
True,2021-11-29T03:54:12.000Z,en,RT @missveronikab: Lots of super hot Black Widow content on my Only Fans so you should join :) https://t.co/O6uy9Ehsrb,1465167182694961155,retweeted
False,2021-11-29T03:53:25.000Z,in,@fucias kan di post credit black widow dia kayak ada dendam sama hawkeye,1465166986678128650,replied_to
False,2021-11-29T03:53:19.000Z,en,Twinnym50MC BLACK=WIDOW=MARK LEE MCCORMICK CONNELL RAFTBONE HOSPITABLE CAUGHT PRAY I MAKE IT TO GIVE TO PRO https://t.co/SseAMoH72B,1465166959188840449,
False,2021-11-29T03:52:14.000Z,es,"@camilin_pelukin @DarechiZ @TheSpeedster05 Black widow debió ser una película de origen, que es eso de un villano que es poderoso por sus hormonas masculinas XDDD Y NI HABLAR DE WANDAVISION, honestamente casi me quedo dormido los primeros caps, los chistes en su mayoría son malisimos como el de visión con la papaya",1465166687213395975,replied_to
False,2021-11-29T03:50:16.000Z,en,RT @lady_perse: We decided to get some fun and use this slave as our anal and oral slut. We did in in our villa neer the pool! @MistressMav…,1465166193778728964,retweeted
False,2021-11-29T03:49:54.000Z,en,@ClumpyPro razor black widow v2 tournament edition,1465166102246395908,replied_to
False,2021-11-29T03:49:00.000Z,en,"RT @sawakatecos: Some of you like my Black Widow cosplay so maybe you'll also like my Patre0n page 

https://t.co/KwjV0Jesvs https://t.co/K…",1465165873069522945,retweeted
False,2021-11-29T03:48:31.000Z,en,Need to pee but there’s a giant black widow living behind the toilet considering the bushes out back v strongly,1465165752688791558,
True,2021-11-29T03:48:17.000Z,en,RT @TSPIC12: Scarlett Johansson in ' Black Widow ' (2021) https://t.co/rCbVZ5v6wS,1465165693947625472,retweeted
False,2021-11-29T03:47:37.000Z,es,"Me cagó en todoOoO no tengo entradas para Spiderman. 

Me wa ver black widow pa pasar la pEna",1465165526213218308,
False,2021-11-29T03:46:42.000Z,en,"RT @Bisleri_maymer: No One 

MCU to Toni Stark and Black Widow before Endgame : https://t.co/enA4ch24uK",1465165297246097408,retweeted
False,2021-11-29T03:45:58.000Z,es,"@Its_Infinait @DarechiZ @TheSpeedster05 Jajajajaj literal les gustó mas WandaVision por el romance y toda esa huevada, cuando fue muy mala, te puede gustar, si, pero despreciar a las otras y alabar a esa naaaa. Black Widow literal fue muy innecesaria, lo único útil fue introducir a Yelena",1465165110234820612,replied_to
False,2021-11-29T03:44:28.000Z,es,Cada que veo infinity war me da tristeza por Nat y lo que paso en Black Widow y siempre pienso que Steve se sintió culpable de que indirectamente separó al equipo y no reaccionaron a tiempo. https://t.co/BqbaDbU9FY,1465164733351436292,
False,2021-11-29T03:44:15.000Z,es,En infinity war por un momento nos presentan a black widow más capaz que scarlet witch. Ya que la primera pudo hacerle frente y hasta herir a corvus y la segunda no podía contra proxima midnight,1465164680721321987,
False,2021-11-29T03:44:12.000Z,en,@BlacXicanGaymer I still haven't watch Black Widow. https://t.co/vIHFnPG4EG,1465164664967368713,replied_to
False,2021-11-29T03:44:05.000Z,en,"THE AVENGERS RECAST: Robert Redford as Iron Man, Woody Harrelson as Captain America, Harrison Ford as Thor, Chris Pratt as the Hulk, Evangeline Lilly as Black Widow, Bryan Cranston as Hawkeye and Christopher Walken as Nick Fury",1465164635632390158,
False,2021-11-29T03:43:56.000Z,en,"RT @MauLer93: Black Widow: An Unbridled Catastrophe

https://t.co/ltNAGZ9Aw9",1465164597636206595,retweeted
False,2021-11-29T03:43:41.000Z,en,"RT @leaderyeons: 211128 everline offline #Sangyeon #상연

Q. (to sangyeon) if the boyz were marvel heroes

iron man: sangyeon
captain america…",1465164535220695042,retweeted
False,2021-11-29T03:42:58.000Z,es,"Todas las películas de 2021 de Disney están en tendencia en #DisneyPlus Raya, Cruella, Luca, Black Widow, Jungle Cruise y Shang-Chi 😳",1465164356535132167,
False,2021-11-29T03:42:06.000Z,en,"@Jonnschocos Whereas Marvel has Iron Man, Spider-Man, Wolverine, Black Widow, Deadpool, Dr. Doom, Black Panther, Phoenix, Thanos, Captain America, Storm, Hulk, the Fantastic Four, Thor, and Doctor Strange who I'd say are all iconic.",1465164138204782600,replied_to
False,2021-11-29T03:42:03.000Z,en,RT @aidanthereup: black widow when the rest of the avengers are flying https://t.co/m4ZNGAEijc,1465164126737424385,retweeted
False,2021-11-29T03:41:15.000Z,en,RT @TSPIC12: Scarlett Johansson in ' Black Widow ' (2021) https://t.co/rCbVZ5v6wS,1465163921745055753,retweeted
False,2021-11-29T03:40:50.000Z,en,"wandavision, black widow, eternals https://t.co/BXVCDiQX6o",1465163820364566532,quoted
False,2021-11-29T03:40:04.000Z,es,"Me vi Black Widow y Shang-Chi y ambas me parecieron buenas peeeero nunca entendí las referencias, bueno, pocas. Me abruma el MCU. 😵‍💫😵‍💫",1465163627225305089,
False,2021-11-29T03:39:57.000Z,en,"@RealBrianCutter Meanwhile, Captain America and Black Widow exposed every undercover agent, every resource, every person in witness protection, addresses for all SHIELD's contacts and current/former employees, AND all of the secrets of a US intelligence agency. And killed people w/o jurisdiction.",1465163598007787527,replied_to
False,2021-11-29T03:39:50.000Z,pt,"Que sonho a @IGGYAZALEA regravando Black Widow com a Katy, moraria no 1#",1465163566160527364,
False,2021-11-29T03:39:41.000Z,es,"@MarceloOpen Por cierto - alguien tendria que contar como ""quedaron"" los hijos de Nequi Galotti y la hija Mora Furtado luego que la Gold Digger / Black Widow de Ana Soriana los dejo casi homeless. Ahora tiene un nuevo ""pretendiente"" de unos casi 70 anos.",1465163530265636874,replied_to
False,2021-11-29T03:38:52.000Z,en,BRUH i was illegally streaming malignant and watched like half way through and realized this shit was black widow lmfao,1465163325881339911,
True,2021-11-29T03:38:43.000Z,en,"RT @lure_lady: -50% OFF 🙀 ALL VIDEOS❗️
👉https://t.co/amZIHZwlVf https://t.co/OagfrkciVx",1465163284798001152,retweeted
False,2021-11-29T03:38:32.000Z,en,@starforcebinary I can see them put Kate in BLACK WIDOW 2 tho,1465163237985427460,replied_to
False,2021-11-29T03:37:52.000Z,en,RT @harIeyverse: the little girl after black widow blow up the building https://t.co/WAbUcK2Exf,1465163071039545346,retweeted
False,2021-11-29T03:37:02.000Z,es,"@camilin_pelukin @DarechiZ @TheSpeedster05 Spiderman nwh y Loki: *revolucionan la industria y la mitología de marvel hasta donde la conocemos*

La gente: WV besto serie, a Shang Chi es la mejor de la fase 4 junto a Black widow 🤪🤪🤪🙄😳🤩😍",1465162864239464453,replied_to
False,2021-11-29T03:37:00.000Z,en,She got me watching black widow with her and now i gotta hide my giant florence pugh crush https://t.co/azUrUcJR4O,1465162853321781248,
False,2021-11-29T03:36:06.000Z,en,@_FireMonkey Hopper from Stranger things vs Og Black Widow,1465162627798163460,replied_to
False,2021-11-29T03:35:16.000Z,en,@Thecomicsking what are you talking about? you think iron man was more popular 15 years ago??? or star lord?? you sound insane. and calling me slurs isn’t helping ur case. and now he would not have known hawkeye or star lord or black widow by name 10 or 15 years ago. please shut up,1465162419701960704,replied_to
False,2021-11-29T03:34:17.000Z,en,"@_FireMonkey @iFireMonkey Special Forces, Sash Sargeant, and Black Widow.",1465162169373405191,replied_to
False,2021-11-29T03:34:08.000Z,en,Lmao black widow left behind a side nigga https://t.co/QTW4Y7W6PC,1465162131616276483,quoted
False,2021-11-29T03:34:00.000Z,en,RT @MensHealthMag: It's not because of what happened to Black Widow. https://t.co/SxzGzJe7Bl,1465162099353690116,retweeted
False,2021-11-29T03:33:33.000Z,en,Now playing: Black Widow Spider by Parquet Courts,1465161984127770628,
False,2021-11-29T03:33:24.000Z,en,"RT @ari_amaru: ‘ Black widow ‘

With @iam_DemonKing 
Couture @ritenutobytac 
Model &amp; Mua @ari_amaru https://t.co/CPPueCPi12",1465161949218414593,retweeted
False,2021-11-29T03:32:57.000Z,in,"RT @Marvfess: Marv! Spoiler shang chi, eternals, black widow

Yang love languagenya physical touch lebih suka pegangan tangan atau dielus-e…",1465161833325551623,retweeted
False,2021-11-29T03:32:32.000Z,en,"RT @criminalplaza: marvel symbols:

⍟ captain america 
⎊ iron nan
⧗ / ⴵ black widow 
✇ hulk
✵ captain marvel 
۞ doctor strange
४ loki 
𖤍 va…",1465161731198627843,retweeted
False,2021-11-29T03:32:30.000Z,en,It's not because of what happened to Black Widow. https://t.co/SxzGzJe7Bl,1465161723736956931,
False,2021-11-29T03:32:13.000Z,en,C$28.48 - #FreeShipping #BlackFriday | Time is Running Out  Black Widow Colored Pencils For Adults - 24 #BlackWidow                  👉. https://t.co/GudaRKu4CZ,1465161648918904840,
False,2021-11-29T03:31:13.000Z,en,"RT @Classic36Talks: @_FireMonkey Regular Item Shop Items:
- Reflex
- Sledge
- Black Widow

or if it were items that were never supposed to…",1465161398414049282,retweeted
False,2021-11-29T03:31:10.000Z,en,RT @clintashabot: is that fear i sense in the famed black widow? or perhaps concern for that archer of yours? i suppose love truly changes…,1465161388150734849,retweeted
False,2021-11-29T03:30:15.000Z,en,"RT @Bisleri_maymer: No One 

MCU to Toni Stark and Black Widow before Endgame : https://t.co/enA4ch24uK",1465161156465553412,retweeted
False,2021-11-29T03:30:00.000Z,en,Take a closer look at the incredible Black Widow Black &amp; White Suit 1/4 Scale Statues https://t.co/U8JAfzGtY1 via @YouTube,1465161092297109504,
False,2021-11-29T03:29:18.000Z,ja,"【私の名盤】Black Widow- Sacrifice
「集まれ魔女よ！」ってこの名盤の邦題だったかな？
 https://t.co/0ThlLPAwxF",1465160915146637312,
False,2021-11-29T03:26:45.000Z,en,"Me: Arresting Kyle

Also me: Crying about Hawkeye and Black widow in endgame",1465160274214797317,
False,2021-11-29T03:25:21.000Z,en,"@FPWellman She flipped on Cheney, too, in true cowardice form.

First she defended her, but when the politics fallout was too great, she turned on her like a black widow to its partner.",1465159920257544192,replied_to
False,2021-11-29T03:23:16.000Z,in,"Ingat dah taknak layan marvel lepas endgame tahu2
 
WandaVision ✅
Falcon and Winter Soldier ✅
Black Widow ✅
Loki ✅
Shang Chi ✅

Tinggal What if, Hawkeye, Venom, Spiderman pastu jumpa tahun depan hehehe",1465159397676511235,
False,2021-11-29T03:22:33.000Z,en,Check out BLACK WIDOW 005 - DIGITAL CODE ONLY https://t.co/io13m3ABYu @eBay #BlackWidow #NatashaRomanoff #Hawkeye #ClintBarton #Avengers #WinterSoldier #BuckyBarnes #RedGuardian #Arcade #ARCadenski #Hydra #MARVEL #MarvelComics #MakeMineMarvel #StanLee #Comics #ComicBooks,1465159217573240842,
False,2021-11-29T03:21:46.000Z,en,@K7Eli This give me MALE BLACK WIDOW vibes🥵🥵,1465159018796650496,replied_to
False,2021-11-29T03:20:39.000Z,en,MCU Captain America is literally just a super powered version of Black Widow with Shield and he’s one of the weakest Avengers. Glad he retired cause how the hell he’s gonna fight MCU Phase 4 level threat like Celestials and shit? https://t.co/h72SX0g7ak,1465158739552395266,quoted
False,2021-11-29T03:20:35.000Z,en,@Megatronnexus Black Widow is the worst movie. By far.,1465158720992722946,replied_to
False,2021-11-29T03:20:05.000Z,en,Check out BLACK WIDOW 004 - DIGITAL CODE ONLY https://t.co/iO5HRiGFUP @eBay #BlackWidow #NatashaRomanoff #Hawkeye #ClintBarton #Avengers #WinterSoldier #BuckyBarnes #RedGuardian #Arcade #ARCadenski #Hydra #MARVEL #MarvelComics #MakeMineMarvel #StanLee #Comics #ComicBooks,1465158598821044224,
False,2021-11-29T03:20:01.000Z,en,"@mattyglesias I really enjoyed Black Widow, but Dune was on another level entirely.",1465158581120946178,replied_to
False,2021-11-29T03:19:23.000Z,en,Check out BLACK WIDOW 003 - DIGITAL CODE ONLY https://t.co/nj0YIhSAAz @eBay #BlackWidow #NatashaRomanoff #Hawkeye #ClintBarton #Avengers #WinterSoldier #BuckyBarnes #RedGuardian #Arcade #ARCadenski #Hydra #MARVEL #MarvelComics #MakeMineMarvel #StanLee #Comics #ComicBooks,1465158419959238660,
False,2021-11-29T03:19:18.000Z,en,My dad finally watched black widow tonight then watched the part where nat dies in endgame so he could get a refresher on how she died bc of the end credits scene in bw…but he kept the movie playing til the end so I had to experience nat AND tony’s deaths all over again🙃🙃🙃,1465158397750296576,
False,2021-11-29T03:17:53.000Z,en,Black Widow &gt; Eternals &gt; Shang Chi,1465158043000360966,
False,2021-11-29T03:16:54.000Z,en,"https://t.co/VQbEXoDKsQ The Best TV Shows and Movies to Watch This Week: Gossip Girl, Virgin River, Black Widow https://t.co/fou92CiiZf",1465157795536273408,
False,2021-11-29T03:15:17.000Z,es,seguro que cinemacenter va a sacar funciones solo en castellano como hicieron con black widow y desde ya me tirita el ojo,1465157388110123012,
False,2021-11-29T03:13:39.000Z,es,maldita mierda como black widow va a terminar así,1465156976787308545,
False,2021-11-29T03:13:35.000Z,en,@pringlesandmilk yeah there’s some dialogue during the Fade to Black when you Black Widow him… https://t.co/Zr9ow0RyPA,1465156962115624961,replied_to
False,2021-11-29T03:12:35.000Z,en,Black Widow should be unvaulted!,1465156709387681806,
False,2021-11-29T03:11:58.000Z,en,"It's been 3 years since Endgame, please tell me how I just watched it with someone who didn't know Black Widow died #LivingUnderARock",1465156556119543815,
False,2021-11-29T03:11:00.000Z,in,"@letjjn Padahal action lebih seru, powernya mereka lebih masuk akal buat lawan musuh monster dari pada captain sama black widow yg kayak gaada senjatanya 😥 cuma ya mungkin juga faktor yg main ga seterkenal yg lain jd gitu deh",1465156311612477441,replied_to
False,2021-11-29T03:07:01.000Z,en,Past Present Future gluing site: Black widow spiders kill males after #mating Why? To stop #snoring before it starts https://t.co/HkBKF5Nleu,1465155308381249540,
False,2021-11-29T03:03:02.000Z,en,Watched Black Widow today. I very much enjoyed it. Kept imagining @choochoobear in Red Guardian cosplay. Amazing climatic fight/escape/explosions. I am entertained.,1465154307095990276,
False,2021-11-29T03:01:53.000Z,en,"Congrats Disney+, it's been 40 minutes since I started trying to watch Black Widow in English and I'm just giving up.

I can change the audio and captions to any language *except* English (which it says is unavailable)",1465154017248649226,
False,2021-11-29T02:59:42.000Z,en,Black Widow https://t.co/wgYSr89WQW #BlackWidow,1465153465290797059,
False,2021-11-29T02:58:46.000Z,es,"black widow, alicia en el país de las maravillas y a través del espejo. https://t.co/jPncQiXpLI",1465153230661292038,quoted
False,2021-11-29T02:57:52.000Z,en,@newsmax Pelosi looks like a Black Widow coaxing her next mate.,1465153004370288641,replied_to
False,2021-11-29T02:54:08.000Z,en,"So today I finally watched the Black Widow movie, the first ep of Falcon and the Winter Soldier, and both eps of Hawkeye. I had put my Marvel impulses away for a while but was in the mood today, I guess.",1465152064737193988,
False,2021-11-29T02:54:04.000Z,en,"That would be so cool. Here in Best Buy (I'm in Canada if that matters), I saw these Black Widow Blu-Rays with red cases so hopefully that can happen again with The Batman. https://t.co/Cu9OjCHZQs https://t.co/QRQ85AM6Ax",1465152048714985477,quoted
False,2021-11-29T02:52:25.000Z,en,@AjepArts @March4th2022 I went to Best Buy once last month and they had these Black Widow Blu-Rays with red cases so they could do red cases for The Batman too. https://t.co/vd44mijX7m,1465151634519085059,replied_to
False,2021-11-29T02:50:22.000Z,en,Still bitter one of my colleagues spoiled me for Endgame. Rilek2 je dia cakap : Man....tony stark mati...black widow pun mati....,1465151119219249153,
False,2021-11-29T02:50:21.000Z,en,"I rated Black Widow (2021) 7/10  #IMDb https://t.co/CaJbKDHvm4 ‘wasn’t bad, lot of action. I’m biased because I’m just not a fan of the minor heroes. Lot of butts in this one. Lot of long choreographed fight scenes. They are getting old. MAJOR spoilers at the end credits ugh’",1465151113880031235,
False,2021-11-29T02:49:01.000Z,en,"#KindleDeal! For you #comics lovers, there are tons of @Marvel Epic collections on sale for just $3.99 each. Tons to choose from! #ad #amreading https://t.co/C1M8qLqjNR https://t.co/OvOgH97oOn",1465150777949831168,
False,2021-11-29T02:47:28.000Z,en,watching black widow for the first time,1465150389850759169,
False,2021-11-29T02:46:58.000Z,en,@hyukafloo te metiste con black widow,1465150264713695234,replied_to
False,2021-11-29T02:45:28.000Z,en,@27Zawag That sounds so fun!!! I usually just take my dad but starting with black widow I started inviting some friends and I decided to invite a bunch of friends who arent even that into marvel to come see NWH and they all agreed so that’s fun lol,1465149886115065860,replied_to
False,2021-11-29T02:45:14.000Z,es,"@srtalee A mi mientras no me maten a Black Widow en los comics, todo bien. Como que las películas son un chicle noma, jejejeje…
Aún no perdono a la DC por haber matado al gran Ted Kord (Blue Beetle). Y si hay alguien a quien realmente odio con todo mi ser, es a Maxwell Lord.",1465149825276530690,replied_to
False,2021-11-29T02:44:25.000Z,en,"""I- why-""

Confused black widow squeaks https://t.co/BW4TrmW5J3",1465149621731303439,quoted
False,2021-11-29T02:44:03.000Z,en,"@JimmyBallgme420 Touched 240 with the real monster and steadily was at 210 with the Black Widow ghost

they both feel solid",1465149526868733957,replied_to
False,2021-11-29T02:43:06.000Z,en,Black Widow Part 2 l 20/20 https://t.co/TQOM5pSTnM,1465149288590323722,
False,2021-11-29T02:42:25.000Z,en,"K and I started watching through the MCU timeline. 

So far she’s a fan of Black Widow and Iron Man. Don’t anybody tell her about Civil War.",1465149118427369472,
False,2021-11-29T02:41:34.000Z,en,Parquet Courts - Black Widow Spider [13:40],1465148905612472322,
False,2021-11-29T02:41:08.000Z,en,Watching Black Widow and stockinf up on GIFs for the next 3 weeks of Illinois basketball https://t.co/1vycMLYnyx,1465148794631340036,
False,2021-11-29T02:40:21.000Z,en,"So, I watched #Shangchi and #blackwidow finally. Here are my thoughts. 

Shang-Chi is the beginning of a new franchise. 8/10

Black Widow was out of step. The jokes fell flat (cause we saw them in the trailers) and it wasn't much of a spy film. 3/10 

Black Widow &lt; Thor 2",1465148598815965186,
False,2021-11-29T02:40:20.000Z,en,Throwback to when I sent my alarm clock in ten minute increments the morning black widow’s tickets went on presale because I don’t think I ever bought movie tickets faster OR got out of bed faster in my entire life,1465148592952426500,
False,2021-11-29T02:40:06.000Z,en,I cry actual tears every time (every time) I realise I’ll have no more Black widow.,1465148532730601474,
