lang,tweet_id,possibly_sensitive,created_at,text,type,withheld.copyright,withheld.country_codes
en,1465837396210159616,False,2021-12-01T00:17:23.000Z,"@dermott_ferry @Rendy_Jones Black Widow &amp; Halloween were fine. Ghostbusters wasn’t good, by far from the worst. Venom 2, Monster Hunter, Malignant &amp; Thunder Force were particularly terrible.",replied_to,,
en,1465836774085779459,False,2021-12-01T00:14:55.000Z,I just remembered that Black Widow had a cover of Smells Like Teen Spirt over its opening credits https://t.co/JgrfUwsF8z,,,
en,1465836044725669888,False,2021-12-01T00:12:01.000Z,"@blxzingend //Lucina, Black Widow and, if I had to say, Tifa Lockhart",replied_to,,
en,1465835669515812866,False,2021-12-01T00:10:32.000Z,@PlayAvengers I have a question it says complete a villain sector with black widow and ms marvel yet the only villain sector forces you to use both Hawkeyes so I’m literally soft locked from continuing the Spider-Man dlc can’t y’all go 5 minutes without disappointing your players,replied_to,,
en,1465835520043409412,False,2021-12-01T00:09:56.000Z,"Even the movies are not that good anymore (except for Shang-Chi and Black Widow). I guess the MCU era truly is reaching up to it's end. I said this once and i'll say it again , it's not just about what type of characters you include , it's pretty much about the plot.#TheEndOfMCU https://t.co/XeH9AO22uN",quoted,,
en,1465835045164224513,False,2021-12-01T00:08:03.000Z,There's a Little Black Widow Easter Egg in the Teaser Trailer for Marvel's What If...? https://t.co/g51fOCkB1U,,,
en,1465835033520971785,False,2021-12-01T00:08:00.000Z,this version of “smells like teen spirit” goes CRAZY hard  https://t.co/eY7tgUmKfB,,,
en,1465835012893335552,False,2021-12-01T00:07:55.000Z,"Leon Day was the last Negro Leaguer alive to know he was being inducted into the @baseballhall in 1995. He died 6 days later! I chat w/his widow, Geraldine, about her memory of the long-awaited call in a special HOF edition of BLACK DIAMONDS available now: https://t.co/wtHbpNSeqc https://t.co/OjPXS3SwWh",,,
tl,1465835009756266496,False,2021-12-01T00:07:54.000Z,"hmmmm ala pa kong nagustuhan na films na ginawa ng marvel ngayon. shang chi is okay, but ehhhh could've been better. we don't talk about black widow. i was rooting for eternals pero daming nagsasabi ang lalabo ng mga characters. i'll still watch it in theaters tho.",,,
en,1465834856781332486,False,2021-12-01T00:07:18.000Z,@DrewsDoggo @ecksoh @ImPeQu @xFrezzii Then Black Widow destroys Taskmaster,replied_to,,
en,1465834702590418950,False,2021-12-01T00:06:41.000Z,"i need more opening credit scenes in the mcu, i think there are only four (the incredible, iron man 2, guardians of the galaxy vol. 2 and black widow) but they all go super hard 

you can tell so much story in such a short time, i love them",replied_to,,
en,1465834654230093829,False,2021-12-01T00:06:30.000Z,one wrong move and black widow AND iron man would have died in civil war,replied_to,,
en,1465834298175537155,False,2021-12-01T00:05:05.000Z,"@TheTorontoSun You mean Patrizia Reggiani? ""Italian socialite who was convicted in a highly publicized trial of hiring a hitman to kill her ex-husband Maurizio Gucci. She was dubbed ""The Black Widow"" by the Italian press for plotting the murder of her husband.""",replied_to,,
en,1465834292198748163,False,2021-12-01T00:05:03.000Z,"Just finished Black Widow and you know what…they should’ve paid her because it was NOT bad at all.  I expect to see the widows pop up again though.  It’d be a huge missed opportunity,",,,
en,1465833309242642439,False,2021-12-01T00:01:09.000Z,"after saying i wouldn't time and time again, i watched black widow",,,
en,1465833159510089734,False,2021-12-01T00:00:33.000Z,@PeteMoxon @RobertF58844721 @prodnose Black Widow,replied_to,,
en,1465833110633959426,False,2021-12-01T00:00:22.000Z,"Two different looks for one adorable little Black Widow!

https://t.co/ZMPrPIUDB7

@GoodSmile_US #Sideshow #BlackWidow #Marvel https://t.co/O4vjFR4etn",,,
en,1465833073522606083,False,2021-12-01T00:00:13.000Z,When someone says I give them black widow 🕷 vibes with this fit lol https://t.co/Tfba7wPP6c,,,
en,1465833028043911170,False,2021-12-01T00:00:02.000Z,@bussybajablast @smariano_ai they haven't done it since Scarlett Johansson sued them for the black widow premiere,replied_to,,
en,1465833007370031106,False,2021-11-30T23:59:57.000Z,@lady_perse @MistressMavka @Evil__Woman_ @Widow_Black_ @joanna_bujoli So hot!!!!!,replied_to,,
en,1465832448894373891,False,2021-11-30T23:57:44.000Z,I DONT SHIP BLACK WIDOW AND BUCK IM SORRY I SEE THEM MORE AS REALLY REALLY CLOSE FRIENDS THAT ARE TRAUMA BONDED,,,
en,1465832290391572483,False,2021-11-30T23:57:06.000Z,the opening scene in 1995 and the opening credits scene for black widow are *chef’s kiss*,,,
en,1465831657546653698,False,2021-11-30T23:54:35.000Z,the final battle in black widow is by far its biggest weakness https://t.co/66UHMkO6F9,quoted,,
ca,1465831653679448067,False,2021-11-30T23:54:34.000Z,"Producciones de marvel que me chupan un huevo:
Shang chi
Eternals
Black Widow

Fin del comunicado.",,,
es,1465831267769925637,False,2021-11-30T23:53:02.000Z,Voy a rezar para no quedarme dormida viendo black widow.,,,
ko,1465831149763186693,False,2021-11-30T23:52:34.000Z,"Last weekend, 살아있다 + Black Widow + Death Note...

#TimeToMovies #Cinephile #Films #Movies #Vivo #살아있다 #BlackWidow #DeathNote #Twitterland https://t.co/W5PiThoNPk",,,
en,1465830707046105093,False,2021-11-30T23:50:49.000Z,"@TheHey @KRADeC Wait, it's worse. They stole #BlackWidow's bike.

https://t.co/dQMOaQ9obn",replied_to,,
en,1465830579631497218,False,2021-11-30T23:50:18.000Z,"[On Hawkeye]

“Working on Hawkeye with Elektra has been great! Filming for Hawkeye started just around the time we ended for Black Widow, and seeing her throughout filming has been fantastic! It’s always nice to be seeing familiar faces as your costars.” https://t.co/DtA0lsVtbF",replied_to,,
en,1465830564234149892,False,2021-11-30T23:50:14.000Z,"[On Black Widow]

“It was so surreal. It couldn’t have been planned better, it was in line with everything else I have going on in my career, so I was really happy to be apart of the film!” https://t.co/a3lB9xRgk1",replied_to,,
en,1465830269743632384,False,2021-11-30T23:49:04.000Z,"It’ll make a good story, if all else fails; the infamous Black Widow holed up in the craphole apartment in Lviv, dodging his questions as easily as if they were real knives he was throwing at her.",,,
en,1465830258809131008,False,2021-11-30T23:49:02.000Z,"Black widow: Great movie
Shang-Chi: God movie
Eternals: Great movie 👍🏻

Spider-man soon 👀",,,
en,1465829378785366016,False,2021-11-30T23:45:32.000Z,"@nehan_wacha Razer black widow or Huntsman

https://t.co/2HF3simxB6",replied_to,,
en,1465829263320494091,False,2021-11-30T23:45:04.000Z,@petertapes black widow e eternals,replied_to,,
en,1465829207385255937,False,2021-11-30T23:44:51.000Z,@lotteworldep yesss the avengers that didnt die in the snap were able to defeat thanos and bring everybody back but iron man loki and black widow died for real so they cant come back,replied_to,,
en,1465829021883768840,False,2021-11-30T23:44:07.000Z,I know black widow is dead and all but she can still get it https://t.co/kIPdBmmfdr,quoted,,
en,1465828849946607617,False,2021-11-30T23:43:26.000Z,Black Widow: 7/10,,,
en,1465828718094569481,False,2021-11-30T23:42:54.000Z,"@NickAdamsinUSA I'll take @derekcarrqb over @PatrickMahomes and @JoshAllenQB. As Yelena Belova said in Black Widow, they're posers! https://t.co/15DAwk25rz",replied_to,,
en,1465828581733552132,False,2021-11-30T23:42:22.000Z,4 of 5 stars to The Black Widow by Daniel Silva https://t.co/8rx48115Qs,,,
en,1465828033454039040,False,2021-11-30T23:40:11.000Z,@icuddIeIhh AH black widow or coz ur badass rocket coz ur fun and gamora coz idk,replied_to,,
en,1465828022964178949,True,2021-11-30T23:40:09.000Z,@florencepughou1 @HaizIvrr I loved her since Black Widow 😍😍😍😍🔥🔥🔥🔥❤️❤️❤️❤️💜💜💜💜🖤🖤🖤🖤 https://t.co/VrcAvmIr4B,replied_to,,
en,1465827917397700611,False,2021-11-30T23:39:43.000Z,i want another black widow movie!! Scarlett deserves so much more for that role.,,,
es,1465827497845698568,False,2021-11-30T23:38:03.000Z,@lqrelai creia q ll del jueves era el preestreno osea xomo con black widow,replied_to,,
en,1465827356011020293,False,2021-11-30T23:37:30.000Z,"@Kezza101064 Fuck, no. I did loads of sport outside of school but our PE teachers had, I firmly believe, been trained on some godforsaken gulag where they raised the Black Widow from the Avengers.",replied_to,,
en,1465827171746791429,False,2021-11-30T23:36:46.000Z,"DAREDEVIL/BLACK WIDOW: ABATTOIR, ONE SHOT https://t.co/hk5JFQ5Shz",,,
en,1465826991966404610,False,2021-11-30T23:36:03.000Z,"@SirIanBlair Magic beans? Jack and the beanstalk?!! Har har feckin’ bloody har, black widow wanky! 😎",replied_to,,
en,1465826916313837572,False,2021-11-30T23:35:45.000Z,She was singlehandedly beating thanos black widow is a smear on the windshield after like 5 seconds https://t.co/5se0l9Sgwl https://t.co/mjZwjHpKIt,quoted,,
en,1465826911767121925,False,2021-11-30T23:35:44.000Z,black widow is dead so probably harley https://t.co/SPzly0LwSh,quoted,,
en,1465826899620294656,False,2021-11-30T23:35:41.000Z,"Wow, this movie kinda sucks. #BlackWidow 

BLACK WIDOW - A Marvelous Disaster https://t.co/fKhV0xf59n via @YouTube",,,
en,1465826781903179782,False,2021-11-30T23:35:13.000Z,"watched eternals, liked it more than black widow probably worse than shang-chi but i fell asleep watching shang-chi so idk",,,
en,1465826614952923137,False,2021-11-30T23:34:33.000Z,Marvel Legends Endgame Black Widow International Exclusive Thanos BAF NEW! RARE! https://t.co/jqHdxhApY0 eBay,,,
en,1465826463823716358,False,2021-11-30T23:33:57.000Z,"Ok movie list for today is Jungle Cuise (done), now Black Widow, Jumanji 1+2, and if time Hobbs and Shaw.",,,
es,1465826444010004484,False,2021-11-30T23:33:52.000Z,"A prácticamente un mes de su estreno todavía no logra pasar los $400 millones y a lo mucho le quedan un par de semanas de recaudación decente. Antes de que llegue Spider-Man a acapararlo todo. 

Apenitas superará a Black Widow, mientras que se ve difícil que alcancé a Shang-Chi.",replied_to,,
en,1465825251145748484,False,2021-11-30T23:29:08.000Z,@KenFromChicago @KRADeC Perlmutter also blocked the production  of Black Widow merchandise for apron Man 2 and the first Avengers film because god forbid a girl would want an action figure.,replied_to,,
en,1465825230224433158,False,2021-11-30T23:29:03.000Z,"BLACK WIDOW 2020, ISSUE 11 https://t.co/uXW0IhnRat",,,
en,1465824894310965248,False,2021-11-30T23:27:43.000Z,Black Widow https://t.co/UasBnaKVhi,quoted,,
en,1465824859565473792,False,2021-11-30T23:27:34.000Z,"Top 10 movies this year thus far:

1. Old
2. In The Heights
3. F9: The Fast Saga
4. Shang Chi: Legend of the Ten Rings
5. 12 Mighty Orphans
6. The Nighthouse
7. Black Widow
8. Copshop
9. Reminiscence
10. Don't Breathe 2 https://t.co/gwhBzO9cJM",,,
en,1465824802766311430,False,2021-11-30T23:27:21.000Z,During Thanksgiving week caught up on the last seasons of @ExpanseOnPrime and @HandmaidsOnHulu which were both great. But also watched the Black Widow movie and that was awful,,,
en,1465824459907125250,False,2021-11-30T23:25:59.000Z,"Watched Black Widow tonight. It was an Marvel film. 

Unsurprisingly Florence Pugh stole the show. The gag about Natasha being a ‘poseur’ was so good.",,,
en,1465824105182076928,False,2021-11-30T23:24:35.000Z,"@michael51437214 Green Lantern
Black Panther
Black Widow
Aquaman (Bit of a stretch I know)",replied_to,,
en,1465823299129290761,False,2021-11-30T23:21:22.000Z,"@mischiefsmobius Is black widow really dead?

She was like the hottest avenger?

Also what's the deal with her sister we seeing more of her?",replied_to,,
pt,1465823278145183755,False,2021-11-30T23:21:17.000Z,"@dojamaluca Acho uma querida, só acho meio 🥴 que ela faz malabarismo pra defender todos os erros de black widow",replied_to,,
en,1465823188911329280,False,2021-11-30T23:20:56.000Z,she clearing black widow https://t.co/QzgBOr1MDD,quoted,,
en,1465822967183679489,False,2021-11-30T23:20:03.000Z,"Before anyone says why does this matter?

Black widow movie never had this moment or just logic due to all of their injuries",replied_to,,
en,1465822684189802498,False,2021-11-30T23:18:56.000Z,I'm not even close. I've seen the first two episodes of Hawkeye and Black Widow. But that's it.,replied_to,,
en,1465822512466599947,False,2021-11-30T23:18:15.000Z,"Why doesn't Black Widow wear sensible leather gloves when she is constantly punching people, knife fighting, and pressing her hands into broken glass shards?

C'mon, miss, you don't need total tactile feel in every situation, matter of fact you DON'T want it sometimes.",,,
en,1465822364730593288,False,2021-11-30T23:17:40.000Z,Black Widow https://t.co/UuEXchkHlE,quoted,,
en,1465822309990780928,False,2021-11-30T23:17:27.000Z,@rowsveee U look like black widow i hope i can get free pictures🤗🤗,replied_to,,
es,1465822176133722114,False,2021-11-30T23:16:55.000Z,@scarjorose Me da rabia que a Spiderman ahora le den otra trilogía 😒 a Black Widow le dieron una sola película y después de matarla 😭,replied_to,,
en,1465822072148578313,False,2021-11-30T23:16:30.000Z,Don cheadle was born on the same day as me and got to be in the same movie as black widow when is my turn as a fellow November 29er,,,
en,1465821980909838338,False,2021-11-30T23:16:08.000Z,"I found a black widow spider inside my home today, I’m mad.",,,
en,1465821835375820801,False,2021-11-30T23:15:33.000Z,Finally watching the black widow and I’m already crying five mins in,,,
en,1465821760478085129,False,2021-11-30T23:15:16.000Z,Eternals &gt; Black widow,,,
en,1465820954001653761,False,2021-11-30T23:12:03.000Z,"I have alway said @elonmusk is the real life Tony Stark
And @BulletValentina is the real Black Widow https://t.co/HCSlaYzqDF",quoted,,
en,1465820753719398407,False,2021-11-30T23:11:15.000Z,@bpetz47 Black Widow,replied_to,,
en,1465820719594545162,False,2021-11-30T23:11:07.000Z,Black Widow Spider,,,
es,1465820711000309760,False,2021-11-30T23:11:05.000Z,Estoy obligando a Maxi a ver Black Widow porque esta casa es una dictadura Marvelita,,,
es,1465820657770549250,False,2021-11-30T23:10:53.000Z,black widow una canción que escribieron dos personas que ni siquiera sé por qué se hicieron famosas,,,
en,1465820641689489416,False,2021-11-30T23:10:49.000Z,"@Mr_Ceyram Ah so those dem use the black widow I hope u complained? I think once you have fans, n they see u as celeb, it's not surprising if they decorate personal items with your image.",replied_to,,
en,1465820606499373058,False,2021-11-30T23:10:40.000Z,rudy as johnny will happen just TRUST! he’s a marvel fan and was at the black widow premiere 🙏 https://t.co/HqJ8Z1tVND,,,
en,1465820580440117257,False,2021-11-30T23:10:34.000Z,@anchorsawaysam Stock to stock you probably take Black Widow by a car length 😭😕,replied_to,,
en,1465820484293980165,False,2021-11-30T23:10:11.000Z,"Guardianes de la galaxia vol 1 Disney + 8️⃣
Guardianes de la galaxia vol 2 Disney + 9️⃣
Ant-man Disney + 7️⃣
Capitan America civil war Disney + 9️⃣
Black widow Disney + 9️⃣
Pantera Negra Disney + 8️⃣",replied_to,,
it,1465820161236160518,False,2021-11-30T23:08:54.000Z,mi buzo d black widow ajsjsjsjsjs y si https://t.co/vqRFgoU2PV,quoted,,
en,1465820065572560902,False,2021-11-30T23:08:31.000Z,ok but disney plus release also fucked black widow over so https://t.co/OUOpDr8Tz3,quoted,,
en,1465819840749477889,False,2021-11-30T23:07:38.000Z,"@MitchNoFear I really wish Tony Stark got to fight his own battles smh

Iron Man 1, Pepper saved him
Iron Man 2, Black Widow saved him
Iron Man 3, that kid and Rodey saved him",replied_to,,
en,1465819773422518273,False,2021-11-30T23:07:22.000Z,"@hartofloki yeah i’d steer clear of tik tok, they’re all (at least the ones from countries where it comes out earlier) planning on spoiling it for americans to get back at them for spoiling venom, black widow, eternals, shang chi etc. it’s gonna be chaos.",replied_to,,
en,1465819637300535306,False,2021-11-30T23:06:49.000Z,Rip black widow. We love you🥰 https://t.co/envLcaBv3V,,,
en,1465818815225282564,False,2021-11-30T23:03:33.000Z,@reuz_sa @refiloepityi @ThubalethuMabi2 @TheTitanBaddie It was Black Widow for me,replied_to,,
fr,1465818744719036417,False,2021-11-30T23:03:16.000Z,Depuis la sortie de Black widow en juillet j'arrête pas d'écouter smells like teen spirit mis genre la reprise c'est trop j'arrive pas a move on,,,
es,1465818726016634888,False,2021-11-30T23:03:12.000Z,Black widow y juro que no he hecho trampa 🥺💜 https://t.co/urFtGVdGCQ,quoted,,
en,1465818624527118351,False,2021-11-30T23:02:48.000Z,@GaniusZild @ChrisRGun @ElvisTheAlienTV yeah he can't appreciate fine art like Black Widow.,replied_to,,
en,1465818332842676230,False,2021-11-30T23:01:38.000Z,@MarvelSpain Black widow,replied_to,,
es,1465818168308355077,False,2021-11-30T23:00:59.000Z,espero que después de todo el fraude que le hicieron a black widow ellas sepan que los fans siempre estuvimos al pie del cañón apoyandolas tanto a ellas como a la película,,,
en,1465818149488627714,False,2021-11-30T23:00:55.000Z,"The avengers should have a fanchant 

STEVE ROGERS, TONY STARK, BLACK WIDOW, BRUCE BANNER, CLINT BARTON, THOR ODINSON AVENGERS ASSEMBLE",,,
es,1465817654665658381,False,2021-11-30T22:58:57.000Z,"@theoldpaulino SÍ... AHÍ VEO A LA SPIDER WOMAN,LA BLACK WIDOW Y A LA MARY JANE,VA A ESTAR CON TODO...😜",replied_to,,
en,1465817545068498945,False,2021-11-30T22:58:30.000Z,"@prodnose Way back in the day, by mistake I bought an album by Black Widow a Welsh heavy metal band. They were so heavy they shook the Earth's iron core. Worth a listen to.",replied_to,,
en,1465817519961387013,False,2021-11-30T22:58:24.000Z,@tohruluvs black widow! violet evergardenn,replied_to,,
pt,1465817471265517575,False,2021-11-30T22:58:13.000Z,@genuino_alex tem essa pegada sim mas o gaviao arqueiro é um cara importante dps de ultimato ne e ainda mais dps de black widow pq vao atrás dele etc poderiam investir mais nesse desfecho tbm igual rolou na primeira temporada de loki.. mas enfim só lançaram 2 ep vamo ve,replied_to,,
es,1465817430551187462,False,2021-11-30T22:58:03.000Z,"@ihaeviI uuu Avengers: Age of Ultron, black widow y casi todas las de Sipider-man, a ti cuales te gustan?",replied_to,,
en,1465817387161341956,False,2021-11-30T22:57:53.000Z,Hot Queens: Black Widow💋🍈 https://t.co/34mgM0ZpCv,,,
en,1465817010382774274,False,2021-11-30T22:56:23.000Z,@ftdt_m little woman o black widow,replied_to,,
en,1465816751883489286,False,2021-11-30T22:55:21.000Z,@farpyy Black widow,replied_to,,
en,1465816476150079497,False,2021-11-30T22:54:16.000Z,@AdamMen76537533 @pradaslvt @lizziecuties Wanda came after black widow and got more popular. The same can happen with storm,replied_to,,
en,1465816468591763464,False,2021-11-30T22:54:14.000Z,"The problem I face w/ the MCU is I love RDJ but dislike Iron Man. &amp; I like Black Widow but dislike ScarJo. Finally, I love Christ Evans &amp; Captain America but I don’t like the storyline of Captain America. DO YOU SEE THE CONFLICT I AM FACED w/?! https://t.co/wRXTAicvNW",,,
en,1465816198294097923,False,2021-11-30T22:53:09.000Z,@IAmProfessorX @PlayAvengers There’s some glitching when I try to upgrade my equipment with black widow. Then it just froze. Series x.,replied_to,,
