lang,tweet_id,created_at,text,possibly_sensitive,type
nl,1466151295618801673,2021-11-26 21:04:43+00:00,"@MaartenHijink Geen covid19 probleem, maar een beleidsprobleem.

Griep 2017/2018 : duur 18 weken, 16.000 ziekenhuisopnames, 9.500 overledenen
https://t.co/jhcO46J0Zh

Covid 19 2020/2021: duur 92 weken, 35.517 ziekenhuisopnames, 19.414 overledenen,zie p5
https://t.co/9vWVbkObd4",False,replied_to
en,1466151295354556419,2021-11-26 21:04:43+00:00,"@optionsmafia1 What’s crazy is that they already know that the vaccine worked as expected for the case in California - he was vaccinated with MRNA vaccine (not boosted) got omicron covid, got mild disease (same as with delta cases in vaccinated people) and he’s already all better. SMH 🤦‍♂️",False,replied_to
en,1466151295224619018,2021-11-26 21:04:43+00:00,"@InRodWeTrustMTL Beats, Bears and Battlefield Galactica for Dwight, and Congress, Covid Courtrooms Drama for the US",False,replied_to
en,1466151294909906957,2021-11-26 21:04:43+00:00,"@TomiLahren Regressive Republican Covid playbook: 

C-onspiracy
O-bfuscation
V-ilify
I-nveigle
D-emonic personification*

*Deploy only if the first four don’t work 

#UselessAmericaFirst #UselessRepublicans #DoNothing #AntiScience #AntiVaxx #StupidKills #WakeUp",False,replied_to
pl,1466151294729658369,2021-11-26 21:04:43+00:00,"@profMarekBelka Karmił akurat kota w drugim pokoju, kiedy w Wiadomościach mówili: „Rzesze zmarłych na covid. IV fala nie odpuszcza w Europie.” Fakt, że to był już koniec wydania, a nie było jeszcze nic o Niemczech, utwierdził go w przekonaniu, że dobrze słyszał…chodziło o IV Rzeszę, pomyślał.",False,replied_to
en,1466151294352121860,2021-11-26 21:04:43+00:00,"Turns out while @ChrisChristie was prepping the dotard in close quarters for his first debate and coaching him to keep interrupting Joe Biden while he was talking because you can throw people with stutter off track by interrupting them, he was catching Covid from 🍊🤡.
#Karma",False,
en,1466151293576093702,2021-11-26 21:04:42+00:00,"The Guardian: Trump tested positive for Covid-19 ahead of 2020 debate with Biden

https://t.co/0pKxyEoyhs",False,
it,1466151293349765123,2021-11-26 21:04:42+00:00,"STANNO FACENDO IMPAZZIRE GLI ITALIANI. 
SU TUTTE LE RETI TV E 
A TUTTE LE ORE SOLO DIBATTITI SUL COVID E 
TUTTI CATASTROFISTICI.",False,
en,1466151293286760464,2021-11-26 21:04:42+00:00,"@Markafc87 Them, because they might get covid or pass on covid. They will definitely die of cancer if they don’t have treatment, but the NHS say no, because you might catch covid. It’s insane?!",False,replied_to
en,1466151293177798666,2021-11-26 21:04:42+00:00,"@ScottMonty @FPWellman Amy Covid Barrett, the positive test result, and the PA rally all occurred on 9/26, in that order.",False,replied_to
en,1466151293093912580,2021-11-26 21:04:42+00:00,"❗ ❗ ATTENTION! #BarnstableCounty's upcoming COVID-19 vaccine clinics scheduled for 12/2 and 12/9 are now FULL. Walk-in appts. are not guaranteed. The next available clinic date is Thursday, 12/16. https://t.co/aME8V4AnhC. Thank you for your patience and understanding! https://t.co/6uHz2c8kJn",False,
it,1466151292888305665,2021-11-26 21:04:42+00:00,In effetti è vero: poveri giovani con sto Covid!  #chilhavisto,False,
es,1466151291953061890,2021-11-26 21:04:42+00:00,"@Europarl_ES Y para las vacunas covid, qué estándares tenéis establecidos? Respetan tiempos mínimos de seguridad antes de salir al mercado? Contrastan investigaciones y datos de científicos que cuestionan su seguridad? Cómo? Hacéis públicas todas las contraindicaciones de vacunas?",False,replied_to
en,1466151291130843144,2021-11-26 21:04:42+00:00,"@AveryB64 Well, it's all anecdotes at this point. 

https://t.co/W6zZSAzqCK",False,replied_to
es,1466151290208202761,2021-11-26 21:04:42+00:00,"Sarreaus, San Xoan de Río, Trabada, Lourenzá, Cariño, Zas y Santiso pasan 0 casos a ""entre 1 y 9""; Trasmirás, O Irixio, O Vicedo, Pol, Lancara, Xermade, Trazo, Touro y Melida hacen el camino contrario #Galicia #Sanidad #SERGAS #Coronavirus #COVID19 https://t.co/tSm6v87H3o",False,
de,1466151289960767496,2021-11-26 21:04:41+00:00,"@WahnSager @turkishmaid @bblfish @SHomburg @OurWorldInData Und das sind nur die Vergleiche der schwerwiegenderen Fälle. Aber wie schon geschrieben: Das ist in meiner Wirklichkeit.
Und um nicht nur einseitig zu berichten:
Ich kenne über 20 Leute mit Nebenwirkungen geringer Schwere nach Impfung. Ich kenne aber nur 10 mit leichten Covid.",False,replied_to
en,1466151289641914374,2021-11-26 21:04:41+00:00,@sisufos1 @ProfessorPongo @RubinReport @benshapiro You’ve got it all wrong. Trump was the one who wanted you to shove a light up your ass to cure COVID.,False,replied_to
es,1466151288475901966,2021-11-26 21:04:41+00:00,"""El Viento de la Muerte"", documental COVID-19. Clínica Universidad de Na... https://t.co/v2YqArK1KR vía @YouTube",False,
en,1466151287964246032,2021-11-26 21:04:41+00:00,"Ok. So, this is good news ⬇️
https://t.co/L3NqM7RTvQ",False,
pt,1466151287863623687,2021-11-26 21:04:41+00:00,"📝Anota aí:

🚎As atividades do Busão do Mais Saúde seguem nesta quinta-feira, 02, no Parque dos Povos Indígenas, das 16 às 19h. Neste segundo dia de ação as equipes de saúde da @semuspalmas irão administrar doses contra a gripe e Covid-19 .

📌Saiba+: https://t.co/FCTSOz8xlp https://t.co/LW7hYEfARa",False,
pt,1466151285489606658,2021-11-26 21:04:40+00:00,Ai gente qu sdd dessa epoca de calma 0 covid 0 boletos apenas indo pra Praça do geisel tomar sorvete ruim e paquerar gente feia https://t.co/Zyu9CA6SZO,False,quoted
en,1466151285296668681,2021-11-26 21:04:40+00:00,"Not sure what to make of this so seeing as it’s local we thought we’d ask you.  Who do you support in this ?

https://t.co/tkxWmTrnl1",False,
en,1466151285158199312,2021-11-26 21:04:40+00:00,@DamnitsKt Of course I would recommend for everyone to get tested to make sure. But what I dont like is everyone assuming its Covid without the test confirmation. I understand its a pandemic but we should still be able to ask question like this .,False,replied_to
en,1466151284638195712,2021-11-26 21:04:40+00:00,"@Eyeswideopen69 I reeled in Mrs H just before COVID with my charm and personality.
Only kidding. I think she felt sorry for me, or took me under her wing as a sort of pro-bono therapy case. 😊",False,replied_to
es,1466151284436873216,2021-11-26 21:04:40+00:00,"Baño de sangre hoy en Wall Street

Se confirma Covid Omicron en California, todo se fue hoy al carajo

De entrada, esto era inminente, a esperar que digieran la noticia y estaremos bien...

Creo https://t.co/4GBPjVsYma",False,
en,1466151284273254410,2021-11-26 21:04:40+00:00,@Jack10Gooner @thearsenalhelen @jazz_sian So why are deaths and collapses rocketing this year (during the vaccine rollout) and not last year when everyone was getting covid first?,False,replied_to
en,1466151283677671436,2021-11-26 21:04:40+00:00,i mean no it is the actual covid https://t.co/5h4P8oZP5O,False,quoted
en,1466151282993991703,2021-11-26 21:04:40+00:00,"@RealSaltySlim Just in time for the rumored tighter Covid restrictions to be announced by the White House tomorrow, 12/2/21.",False,replied_to
en,1466151281089818626,2021-11-26 21:04:39+00:00,@d0nkeydr0p Then surely it's irresponsible for a bloke with such a huge platform to be mentioning the vaccine/covid without any proof or confirmation it has anything to do with it?,False,replied_to
en,1466151280372559874,2021-11-26 21:04:39+00:00,@chisolifts You know what I did a block of sessions before covid but then stopped. my hair growth has changed a lot but your girl is like a hairy dog lmaooo,False,replied_to
en,1466151279667802112,2021-11-26 21:04:39+00:00,"@cnni The doctor who made an early discovery of the omicron variant says ""the hype"" that's been created over the variant is unwarranted. 
https://t.co/tQTLu89aNI",True,replied_to
en,1466151279537770499,2021-11-26 21:04:39+00:00,"@Cryptotech_Ann @JadeProtocol COVID 19 has slowed down many economies around the world but as a crypto business, does it affect you negatively or positively? Are you still on track to achieve your goals or are you planning a new development?",False,replied_to
en,1466151278946439171,2021-11-26 21:04:39+00:00,"@StateDept 'Gayle Smith’s Service as the Coordinator for Global COVID-19 Response and Health Security' The wrong person for a critical role the US must play! Gayle is Mama TPLF, and Africans do not trust her! #UnityForEthiopia #NoMore #TPLFSURRENDERNOW #EthiopiaPrevails",False,
en,1466151278216728579,2021-11-26 21:04:39+00:00,Girl we don't give af if all your racist ass hoes get covid anyway https://t.co/e1VJb9mopy,False,
en,1466151277117657091,2021-11-26 21:04:38+00:00,"EU - POSSIBLE MANDATORY JABS.
Covid Omicron: Time to consider mandatory jabs, EU chief says
https://t.co/QS4Kfmc8Px",False,
en,1466151275024707585,2021-11-26 21:04:38+00:00,@snorman1776 @ianmSC Sure Jan… https://t.co/IvqkVnBuQL https://t.co/t4cb6oVwFu,False,replied_to
nl,1466151274563440648,2021-11-26 21:04:38+00:00,"Ik hield het niet voor mogelijk, maar inmiddels lijken de geesten rijp te worden gemaakt voor een vaccinatieplicht"", zegt Andre den Exter, universitair hoofddocent gezondheidsrecht aan de Rotterdamse Erasmus Universiteit.
https://t.co/meGZUxUSU8",False,
en,1466151274169184261,2021-11-26 21:04:38+00:00,"See the latest COVID data for Woodbury County.

As we've stayed fairly stable lately, don't forget that many serious cases of COVID are preventable with vaccine or early treatment. It's not too late to get vaccine and talk to your doctor about early treatment if you do get COVID. https://t.co/p1kEB4Cxm2",False,
pl,1466151271921029127,2021-11-26 21:04:37+00:00,@andrzej_mariusz @czesio_sl @PiotrWitczak_ I nie jeden pod tą maską tlenową będzie jeszcze leżał...czy to z powodu covid czy innego ...takie życie...wieczne nie jest....obostrzenia i szczepienia temu nie zaradzą. Czego wy nie rozumiecie pajace!!!!!,False,replied_to
it,1466151271732285445,2021-11-26 21:04:37+00:00,"@zona_bianca @il_Parods Ma durante la prima e la seconda guerra mondiale, perché chi non faceva il proprio dovere era un disertore mentre in questa guerra al covid chi non si vuole vaccinare è una minoranza da capire e tutelare?",False,replied_to
en,1466151270893469701,2021-11-26 21:04:37+00:00,@BitBitCrypto Why would the market be surprised by covid spreading,False,replied_to
en,1466151270780125186,2021-11-26 21:04:37+00:00,"Africa accounts for the least cases and deaths from  the China Virus, behind Europe, North America, South America and Asia. Africa should not accept to be victimised as it did not manufacture Covid, neither is it its superspreader",False,
en,1466151268053930003,2021-11-26 21:04:36+00:00,@TheDannyCage @zmanbrianzane 70 percent of people who have died of covid in Brittian were vaccinated,False,replied_to
en,1466151266896199686,2021-11-26 21:04:36+00:00,"At what % decline in the markets does Powell walk back tapering and rate hikes, arguing the market decline is a sign of future economic weakness rather b/c the economy can’t absorb higher rates due to all the debt accumulated since Covid? @PeterSchiff @APompliano #btc @WSJ",False,
en,1466151266774618118,2021-11-26 21:04:36+00:00,"What the heck has happened to you, Dr. Oz? A health care advocate is not one who believes that it's okay if ""only"" 2 or 3 percent of students get Covid. And you're against mandated masks? As a ""world-class surgeon"", do YOU make that decision during surgery? 
Disappointed in you! https://t.co/S2mSUCgozw",False,quoted
en,1466151266585911307,2021-11-26 21:04:36+00:00,@ChrisFreeman531 I saw a notification an hour ago saying Cooper will be back Thursday from his Covid. A few days ago I heard Lawrence and Gregory should be back for Washington game,False,replied_to
en,1466151266216783873,2021-11-26 21:04:36+00:00,@agrenell @danielleiat And also blindly accepting that Chris Cuomo has COVID but his brother handled all test results through his office.  Chris didn’t have COVID.,False,replied_to
en,1466151266011152385,2021-11-26 21:04:36+00:00,"South Australian parliament didn't renew the emergency pandemic laws yesterday.....today the parliament shuts down because of a covid case.
🤔South Australia also has a mask mandate,unless you're in government then you don't need one.",False,
es,1466151265340067842,2021-11-26 21:04:36+00:00,"@RolandoGuti7 @clinaliciaare No debemos ser ignorantes savemos q el covid es algo extraña y muy poderoso q cuando nos da a los q ya tenemos problemas de salud la vacuna nos ayuda, las vacunas ayudan moderna q es la q yo me puse puede ayudarme pero no me garantisa q el covid no me mate",False,replied_to
en,1466151264216092673,2021-11-26 21:04:35+00:00,"@Josh_Doust Ah ok, missed that bud, COVID related?",False,replied_to
en,1466151263087833090,2021-11-26 21:04:35+00:00,Is abit bizarre must be at least 6 this year in football. Can only think of 2 before covid at football games https://t.co/eklOEdhp13,False,quoted
en,1466151262769094675,2021-11-26 21:04:35+00:00,@bbyzillennial I’ve never had more than arm soreness after a flu shot. The COVID vaccine is the only vaccine I’ve ever had a very noticeable immune response to.,False,replied_to
en,1466151262660014085,2021-11-26 21:04:35+00:00,@TheDailyShow Back to the beginning of the rotation of trump covid pillow guy the three comedy situations you play with... You're boring Trevor so basic. https://t.co/AD9b7K6Pk8,False,replied_to
en,1466151261758111748,2021-11-26 21:04:35+00:00,"@Jayecane @aiemfreya single mother of 2 and im pregnant with twins delivering in 3 weeks(early due to preclampsia, covid , diabetes I need diapers formula, car seats, and seems impossible to provide for my kids this christmas anything helps 
Cash APP $Sexybaby3221
Paypal https://t.co/nfPZnxyfdQ",False,replied_to
en,1466151261422735367,2021-11-26 21:04:35+00:00,@TraceyODonoghu9 Era with Covid I’d rather the disposable stuff in case,False,replied_to
pt,1466151260516765705,2021-11-26 21:04:34+00:00,qro morrer injetar uma seringa com aids sifilis gonorreia covid omicron no meu braço p eu morrer logo,False,
en,1466151258021056515,2021-11-26 21:04:34+00:00,"California confirms nation's FIRST Omicron variant case. Please get vaccinated and #WearAMask Covid-19 is NOT something we can speak about in the past tense (yet).

https://t.co/m8laROnTN2",False,
en,1466151257886756868,2021-11-26 21:04:34+00:00,"@RealTalkTampa @JellyHits @Lamentedtraffic You’ve provided literally nothing to this conversation😂. You think there’s a reason the two major variants of covid we’ve come to see came from a very largely unvaccinated African continent, and at one point the lowest vax out of most countries in India with the delta variant?",False,replied_to
en,1466151257605754880,2021-11-26 21:04:34+00:00,"Ye, Omicron, we greet thee, landed this god-awful morning.
https://t.co/TBj2I0Gwj3",False,
en,1466151256993374211,2021-11-26 21:04:34+00:00,@timburchett So does COVID.,False,replied_to
en,1466151256817381392,2021-11-26 21:04:34+00:00,"Fauci: First reported case of Omicron variant involves traveler from South Africa
https://t.co/fDYfFOoz3N",False,
en,1466151255445803016,2021-11-26 21:04:33+00:00,"@Jeff_Kates Yea Tommy John plus Covid screwed him with really no preseason and short season. Idc about the starts, my point was he’s only had 30 appearances in 3 years, not bad if he started lol",False,replied_to
en,1466151255256887296,2021-11-26 21:04:33+00:00,"@4ForTheForest Also he’s in quarantine. He was double vaxxed. Maybe that’s why he’s not in ICU or under a ventilator.  #vaccine works! 
9 days people he was in touch with tested for Covid and all were negative. That’s good news.",False,replied_to
en,1466151255252815877,2021-11-26 21:04:33+00:00,"@BrianKempGA you hit all the usual ones didnt you...same old bs. with you we get a covid spikes, gerrymadering and voter supression..",False,replied_to
es,1466151253810024456,2021-11-26 21:04:33+00:00,Confirman primer caso de la nueva variante ómicron del COVID-19 en un individuo que llegó a #EEUU desde #Sudáfrica https://t.co/coZqCeuoxw https://t.co/3eW8P96ZhO,False,
fr,1466151251947757571,2021-11-26 21:04:32+00:00,"""#Noel est en #danger, c'est #maintenant qu'il faut #agir"" l'@institutpasteur lance un cri d'#alarme sur la cinquième #vague du #Covid #institutpasteur  https://t.co/xs0uToE0lc",False,
en,1466151250769039360,2021-11-26 21:04:32+00:00,"Finally the traditional Adelaidean greeting of ""What school did you go to?"" makes sense. 
https://t.co/EIeXIoNnxj",False,
nl,1466151250710437901,2021-11-26 21:04:32+00:00,"@annoris6 @FrankPeeters4 @alexanderdecroo @JanJambon @wbeke Waarom? Myocarditis heeft geen betrekking op kinderen. Kinderen krijgen vele vaccines om ze te beschermen tegen erstige ziektes, COVID-19 is een nieuwe. Dit vaccin is niets anders dan bv het BMR vaccin.",False,replied_to
en,1466151249623932929,2021-11-26 21:04:32+00:00,"@jenneraub @LondonBreed Either vax is working as expected or they would have had a mild case regardless, as most people with earlier COVID variants do. Have learned they were healthy &amp; btwn age 18-49, so no obvious risk factors for severe disease.",False,replied_to
en,1466151248449712134,2021-11-26 21:04:32+00:00,"@BethRigby I work in NHS. No Christmas party last year and our dept not allowed one this year either in case of covid spread, so it really boils my piss that bunch of lazy corrupt charlatans had a party last year when telling the public not to socialise and no visitors allowed in homes.",False,replied_to
en,1466151248311336966,2021-11-26 21:04:32+00:00,"Thank God. And, I’m agnostic.

We need a break.

#COVID19 #covidvariant #Covid #USA https://t.co/Jm4o8LbNd2",False,quoted
ru,1466151245706579973,2021-11-26 21:04:31+00:00,@mironov_ru Поддержу товарища. (Тестирование (быстрое) - быстрая изоляция (дома) - лечение (телемедицина в том числе). Смертность удастся снизить.) #Covid https://t.co/YGX2OZf6W2,False,quoted
en,1466151245694054402,2021-11-26 21:04:31+00:00,"@chrischirp They also said:

Freedom day in July would result in at least 100,000 new daily cases.

Hospital admissions would rise to 2000 - 7000 a day once schools returned in September.

Without a move to plan B in October, covid cases would dramatically increase in November.

All wrong!",False,replied_to
en,1466151245564063745,2021-11-26 21:04:31+00:00,"Trump Reportedly Tested Positive For Covid Three Days Before Presidential Debate, Mark Meadows Reveal... via @forbes https://t.co/cfQB7Y06nX",False,
es,1466151243538214921,2021-11-26 21:04:30+00:00,PASA LA VOZ || Inicia vacunación para adolescentes contra Covid-19 en seis municipios https://t.co/aLby6BdIcM,False,
en,1466151243483594755,2021-11-26 21:04:30+00:00,"@WRAL Leave it up to commie Cali to be the first. But who really cares if someone has the flu or not
 So far this one has shown 0 signs of being even close to delta or covid original. Viruses get weaker as they mutate so it's right on course.",False,replied_to
en,1466151242288275466,2021-11-26 21:04:30+00:00,@delilahc401 I’m astonished how he has managed to find a ‘link’ between AIDS and COVID? 🤷🏻‍♀️ why make AIDS day about COVID vaccine equity? It doesn’t make sense,False,replied_to
it,1466151240182767625,2021-11-26 21:04:30+00:00,"@ceccox4 @FmMosca Io il covid l'ho avuto in tempi non sospetti.
Sono stata male, il mio medico mi ha curata.
La scelta è la cura. Perché devo per forza curarmi col vaccino? Ma la libertà di scelta che fine ha fatto?",False,replied_to
en,1466151240073560064,2021-11-26 21:04:30+00:00,@Blya__N @natedc56 @toshi_zx @Breaking911 My friend was so sick after that second covid shot she said there’s no way she’s putting a booster in her,False,replied_to
en,1466151239360688134,2021-11-26 21:04:29+00:00,@BrianKempGA You botched covid and kissed 45’s butt. After he attacked you on this very platform on the daily. We remember! You better be scared.,False,replied_to
es,1466151239025152005,2021-11-26 21:04:29+00:00,"😷Cofepris autoriza combinación de fármacos en tratamientos contra Covid

➡ https://t.co/0zl01XlARN https://t.co/HFzmZduzM3",False,
it,1466151239016718342,2021-11-26 21:04:29+00:00,"Il Covid ha fatto andar via di capa più gente di quanta ne è morta
#chilhavisto",False,
en,1466151238945452046,2021-11-26 21:04:29+00:00,"More people (7,714) paid their own good money to watch the League Two football match between Swindon Town and Hartlepool United last week than are in hospital 'with Covid' tonight (7.634).

What is all the fuss about?",False,
en,1466151238928457732,2021-11-26 21:04:29+00:00,@atrupar I'm old enough to remember when the notion that Trump would have gone on stage with Biden without even revealing that he had tested positive for covid was unsubstantiated speculation alleging outrageous irresponsibility and criminal reckless endangerment.,False,replied_to
es,1466151238865756162,2021-11-26 21:04:29+00:00,"Sanidad notifica 10.536 casos y 28 muertes por COVID-19, con la incidencia al alza hasta 217 https://t.co/NtXy0aYY2d a través de @infosalus_com",False,
pl,1466151238488272903,2021-11-26 21:04:29+00:00,@MorawieckiM @szczepimysie Bedac odpowiedzialnym należało zaopatrzyć służbę zdrowia w lekarstwa. Kiedy lek na COVID-19  w Polsce? https://t.co/SWNk8sLkas,False,replied_to
en,1466151237951397888,2021-11-26 21:04:29+00:00,"I have tested positive for COVID. I'm fine, just putting it out there so folks know why I'm not in Allen Park for the foreseeable. As always, give big @BenjaminSRaven a follow for all your Lions needs.",False,
fr,1466151237339029507,2021-11-26 21:04:29+00:00,@confinementtot1 Si votre combinaison le permet !! Car applaudir est aussi vecteur de covid à cause des micro gouttelettes emanées par le claquement des mains ! Cette pandémie mondiale mortelle catastrophique devrait être prise beaucoup plus au sérieux !!,False,replied_to
sv,1466151235711606792,2021-11-26 21:04:29+00:00,@nudelmasta @KimVesto @gronvita @ruter_knekt @DblockWWT Svårt för mig att ha en åsikt om detta men med tanke på att vi redan börjat se en del ”immune escape”-varianter så är det väl troligt att alla (inkl vaccinerade) kommer bli mer eller mindre sjuka i Covid vid något tillfälle? Det borde väl ”åtgärda” problemet?,False,replied_to
en,1466151235166343172,2021-11-26 21:04:28+00:00,pre covid vs now https://t.co/VA1oOTzdSo https://t.co/7ztAoEe4H5,False,quoted
es,1466151234809835537,2021-11-26 21:04:28+00:00,"Todos sabemos que la nueva variante del covid está entre la población española desde hace fleje, como el resto de Europa. No es sorpresa.",False,
en,1466151234633560065,2021-11-26 21:04:28+00:00,"Yes we know COVID IS AIRBORNE, so ventilation/filtration, open windows and masks help.
Surface disinfection is CDC pandemic theater. https://t.co/Cue8MgHiP0",False,quoted
en,1466151233941647361,2021-11-26 21:04:28+00:00,"@LozzaFox  4 years old, brain surgery put off due to influx of unvaccinated covid-havers. Please, let’s set a time for you to explain your ideas to this kid. https://t.co/FYNUfZ35LY",False,
en,1466151232544849931,2021-11-26 21:04:28+00:00,"The United States on Wednesday identified its first known case of #Omicron, discovered in a fully vaccinated patient who traveled to South Africa, as scientists continue to study the risks the new COVID variant could pose. https://t.co/IiBlTvGTOy",False,
en,1466151232205045761,2021-11-26 21:04:28+00:00,"@kimberl43652269 @cybernetic_85 @kellyjeanwarner @AllegroEddie Go home with your asymptomatic self and a + test….cut a finger off during a boredom induced Pinterest fail and go to the hospital

Covid hospitalization. 

Full on clown shoes!",False,replied_to
en,1466151231743746048,2021-11-26 21:04:28+00:00,covid tests will never fail to make me feel disgusted,False,
en,1466151231232122882,2021-11-26 21:04:27+00:00,im so over covid like how long are we going to live with these variant scares 😭,False,
pt,1466151230711996433,2021-11-26 21:04:27+00:00,"@frederico2105 @rafaelbboa @AlfredoMenezes6 Da mesma forma que muitos que tomaram pfizer, az, j&amp;j também ficaram graves.... Nenhuma vacina vai proteger 100%, seja covid ou qualquer outra coisa. 

Tomamos vacina a vida inteira, a da gripe todos os anos, nunca vi ninguém nessa putaua de ficar reclamado da vacina A...B ou C",False,replied_to
en,1466151230032523271,2021-11-26 21:04:27+00:00,"@Kelans27 @darbyTL @MJosling53 @fordnation Welp, here's where about a Billion or so of it went: https://t.co/ZiqCgBFSox",False,replied_to
en,1466151229281628163,2021-11-26 21:04:27+00:00,"Liberals answer  the problem of workers layed off due to  covid  , by  training   immigrants to work.",False,
pl,1466151229000671241,2021-11-26 21:04:27+00:00,@piter_82 @BartTroo @PiotrWitczak_ Śmiertelność na Covid jest zerowa.,False,replied_to
en,1466151228249972740,2021-11-26 21:04:27+00:00,"@C05percent @Vixxylixxy @atouchofsense Can you back up a single claim you’ve just made with evidence?

There are 3 people in my family who have had Covid. All are under 20 and 2 have suffered long Covid for months. That is far less likely to have happened if they had been jabbed first. That’s a fact",False,replied_to
pt,1466151227528552463,2021-11-26 21:04:27+00:00,"#Coronotícias #Cuba em 1° de Dezembro de 2021:
#COVID19 #Covid_19 #Coronavírus #SarsCov2 #SARS_CoV_2 https://t.co/9B0yB18czI",False,quoted
es,1466151227423604744,2021-11-26 21:04:27+00:00,😂😂😂y el COVID es como un mar y sus olas llegan constante y repetidamente a la orilla cada poco tiempo. No te fastidia 😂😂😂 https://t.co/rf7zRQpc4Q,False,quoted
en,1466151226408460290,2021-11-26 21:04:26+00:00,"@OCismark @MattLech Note this is not the article I was originally referring to, but I cannot at all recall the title and it was relating to a group of doctors and groups of covid asymptomatic and symptomatic, with at least a handful that had not been infected. They had pictures of the xrays as well.",False,replied_to
en,1466151225087471624,2021-11-26 21:04:26+00:00,"@RealCandaceO what covid prevention
 there is no such thing",False,replied_to
en,1466151223229403138,2021-11-26 21:04:26+00:00,"@SkySportsPL I blame COVID, not the vaccine, because my brain functions properly.",False,replied_to
en,1466151223174778887,2021-11-26 21:04:26+00:00,First case in the US that we know of anyway from San Francisco and double 💉. Stock market reaction 📉.      https://t.co/qaEAa9D28I,True,
en,1466151222772174857,2021-11-26 21:04:25+00:00,@Mark_Essexman This dude hasn’t taken this year well blame Covid ….. https://t.co/fJjJUf6Pki,False,replied_to
fr,1466151222021287936,2021-11-26 21:04:25+00:00,Près de 50.000 nouveaux cas positifs diagnostiqués en 24 heures https://t.co/NlDLouLUF7,False,replied_to
en,1466151221828403206,2021-11-26 21:04:25+00:00,@wndrlstgrl @WBTV_News I went to the hospital a few weeks ago and the nurse and the doctor there have been working since the beginning.Both have had Covid and recovered.The dr told me after working with so many Covid patients she got the vaxx and got Covid afterwards.More healthcare workers,False,replied_to
