lang,tweet_id,possibly_sensitive,created_at,text,type
en,1466155217146290185,False,2021-11-28 21:20:18+00:00,"Just because public schools are failing doesn’t mean this is the answer. Education in America is dying and very quickly becoming one of our country’s biggest problems. 

Why I’m Backing Charter Schools by @MikeBloomberg https://t.co/HvuvLXjHO9",
fr,1466155216127070225,False,2021-11-28 21:20:18+00:00,@ArnaudLucho 🤜🤛 j ai retenu COVID,replied_to
en,1466155215992803328,False,2021-11-28 21:20:17+00:00,"@whiter069 @nytimes #PutinsPuppet was in charge as it exploded last year. Turns out Covid-19 didn't disappear in April 2020 with the warm weather like magic,  and the number of cases didn't drop from 15 to 0 in a few days.",replied_to
en,1466155215803977730,False,2021-11-28 21:20:17+00:00,@LBJAY__ Don’t know but it looks like some shady shit is going on. Could be about his Covid diagnosis and a possible false positive. 🤨👀,replied_to
en,1466155215254663175,False,2021-11-28 21:20:17+00:00,"@luffdee @keith_keithsafc @LCFC Neither do you 

Flu is proven 

Covid isn't",replied_to
en,1466155215103664140,False,2021-11-28 21:20:17+00:00,Retweet selected by the https://t.co/11ojAZA3Wf team | Moscow rolls out Sputnik V Covid shot tmost exposed #world_news https://t.co/AiBnkgQ4GF https://t.co/LY5SfpybAw,
et,1466155214281613320,False,2021-11-28 21:20:17+00:00,"Balina Bodinaku mungoi mbrënë në ‘Big Brother VIP’, rezulton pozivit me COVID https://t.co/agxkljBD8C",
it,1466155212213731333,False,2021-11-28 21:20:17+00:00,"Noi non abbiamo alcuna verità:
GRAZIE prof. @MCacciari44 
#covid #vaccini #ottoemezzo l",
en,1466155209026068482,False,2021-11-28 21:20:16+00:00,"Congrats, how do you get an audition with a dubbing company? Is it easier or harder now with Covid? https://t.co/GKiYbV1L84",quoted
pt,1466155208984178691,False,2021-11-28 21:20:16+00:00,"Essa checagem é uma produção da Lupa e tem apoio do Google. O material foi produzido a partir do projeto 'Covid eu informo', uma plataforma de combate à desinformação de realização da Lupa em parceria com as rádios comunitárias.",replied_to
en,1466155208682053633,False,2021-11-28 21:20:16+00:00,Daily Covid Deaths per 1K Population by County For CO   2021-11-29:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth https://t.co/yLKn5WHjpE,
it,1466155207654621189,False,2021-11-28 21:20:16+00:00,@nonelarena Sarebbe meno contenta se il covid dovesse farle esplodere  il silicone  che ha in bocca.,replied_to
fr,1466155207243485190,False,2021-11-28 21:20:15+00:00,Covid-1984 : les données Sentinelles montrent un taux d’incidence à 22/100.000 en semaine 46 ! – Le Libre Penseur https://t.co/sC8j3srGBt,
pt,1466155206639591427,False,2021-11-28 21:20:15+00:00,"A narrativa de que ivermectina seria um remédio eficaz no tratamento contra a covid-19 dura até hoje no Brasil e o uso desenfreado do remédio trouxe consequências, inclusive para o combate de parasitoses, como os surtos em Pernambuco.",replied_to
en,1466155204089364487,False,2021-11-28 21:20:15+00:00,@americanadianTO @chbaker1958 @Acyn @atrupar If you know you have an infectious disease as serious as HIV.  If you do not inform the other person and give it to them by having unprotected sex you should go to jail.  COVID is not as bad as HIV still knowingly risking infecting other people should have consequences.,replied_to
en,1466155203644821514,False,2021-11-28 21:20:15+00:00,"@SuperMikhail1 What a satire.
https://t.co/VXtcVXeuQw",replied_to
fr,1466155203233828873,False,2021-11-28 21:20:14+00:00,"@le_Parisien Du mot réanimation ns passons par les mots👉soins critiques
L'art et la manière des journalistes à changer les mots/maux pour ne pas dire👉 tromperies
Dites moi chers journalistes le mot tromperies n'est pas synonyme👉 MENSONGES
94DC dits covid 👉 tests post mortem effectués ??",replied_to
en,1466155203011526665,False,2021-11-28 21:20:14+00:00,@PatriotsStan77 So the plenty COVID e come for der you no dey hear anaaa,replied_to
en,1466155202847858695,False,2021-11-28 21:20:14+00:00,@nytimesworld announced that the first case of the Omicron Covid-19 variant was found this week in California #COVID19 #OmicronVarient,
en,1466155202659201025,False,2021-11-28 21:20:14+00:00,"The media pretend that the uncontainable virus could be contained if only politicians would steal even more freedom.
NYT: ""Today's Headlines""
""A confounding array of Covid rules and lax enforcement of mask wearing may have sent infected passengers on two KLM flights ....""",
pt,1466155201983918091,False,2021-11-28 21:20:14+00:00,"É FALSO que o Japão substituiu vacinas contra a Covid-19 por ivermectina e casos da doença acabaram.

Duas semanas antes da abertura dos Jogos Olímpicos de Tóquio, no Japão, o país declarou estado de emergência por conta dos altos índices de contaminação e transmissão.",replied_to
pt,1466155197063966726,False,2021-11-28 21:20:13+00:00,‘Nunca mais!’: o grito da OMS para a Covid-19 https://t.co/9skAK8tVoa #notícias,
en,1466155196921176064,False,2021-11-28 21:20:13+00:00,@AnnastaciaMP Just open the boarders so we can get home covid going to get there no matter what live with it.,replied_to
en,1466155196250210316,False,2021-11-28 21:20:13+00:00,"@SVACDems @SenatorTester @DeptVetAffairs @SecVetAffairs 40,000 homeless Vets
250,000 Claims backlog
Goal w/new hires 100,000 2024
80% + Applications Care Givers denied
16,543 Veterans died of Covid",replied_to
es,1466155194505433094,False,2021-11-28 21:20:12+00:00,Ómicron pone en evidencia la desigualdad en vacunas COVID-19 https://t.co/rEB6hiN25w,
en,1466155193075126285,False,2021-11-28 21:20:12+00:00,"@Michell52670634 @GaryBarlow @SherylGBTT @Bexhill2011 @LesleyTT4ever Yeah, hope this covid goes away soon x",replied_to
pt,1466155192966160384,False,2021-11-28 21:20:12+00:00,"Quarta-feira é o dia em que a Rádio Paulo Freire junto a @agencialupa traz informações checadas e seguras sobre a pandemia da covid-19, aqui no Covid Sem Fake. 

É FALSO que os vacinados contra a Covid-19 são perigosos e devem ser isolados. + https://t.co/YpSFaZd9SO",
en,1466155192286539777,False,2021-11-28 21:20:12+00:00,"Omicron Is Here. Will We Use Our New Covid Drugs
Wisely?   https://t.co/75PkUTpsil   #Hindi",
und,1466155191959539724,False,2021-11-28 21:20:12+00:00,https://t.co/WNjR8eFtsf,
en,1466155191250599938,False,2021-11-28 21:20:12+00:00,"@athepub @kevinduffy999 @SkyNews I like how every time a person who has died of the shot is dismissed as a “so what, more have died of covid” when the numbers for “how many died from a shot” have been requested multiple times and never been produced…",replied_to
en,1466155190755762188,False,2021-11-28 21:20:11+00:00,UK speeds up Covid booster jabs to buy time against Omicron variant https://t.co/lao1JZxC4m,
de,1466155190004989955,False,2021-11-28 21:20:11+00:00,"@Trude_Dosenkohl @BILD Ich bin doppelt geimpft, hab mich zwei Monate später trotzdem infiziert, war anderthalb Wochen mit schweren Verlauf im KH und hab jetzt Long Covid, also erzähl mir nichts von ""Impfen macht frei""!",replied_to
pl,1466155189677826051,False,2021-11-28 21:20:11+00:00,"@tvp_info Ale dopiero jak znajdziemy kolejnego przekupnego ...
Żeby mieć głos, ten jeden głos do utrzymania nędznego trwania przy korycie, przy 570 zgonach na COVID-19 i strachu przed foliarstwem.",replied_to
en,1466155189182808074,False,2021-11-28 21:20:11+00:00,China's efficient dynamic zero-COVID policy: epidemic control within one incubation period https://t.co/K7zPtlGQSL https://t.co/44QAX7iAod,
it,1466155189161897987,False,2021-11-28 21:20:11+00:00,"Covid. Roma, da sabato mascherine all'aperto - https://t.co/o3fxWzM3aI
#MascherineAll039aperto https://t.co/VcjfvRN4Hw",
en,1466155189082017792,False,2021-11-28 21:20:11+00:00,I cannot express how completely unimpressed and unworried I am about this new strain of Covid. I have a life to live. #OmicronVarient,
en,1466155187802980355,False,2021-11-28 21:20:11+00:00,"@Jimmyrealdeal @Watchdogsniffer @therecount Not 100% vaccinated, few COVID deaths, infection numbers dropping:

https://t.co/MXz08j2CIb",replied_to
en,1466155186423054345,False,2021-11-28 21:20:10+00:00,"A day after Maharashtra introduced stringent air travel curbs in the backdrop of rising concerns over the Omicron variant of Covid, the Centre pointed out that the restrictions were “in divergence” with guidelines from the Union health ministry and... https://t.co/ZYMp0TTVwr",
en,1466155186167197702,False,2021-11-28 21:20:10+00:00,"Republicans: Let People Die of COVID or So Help Us We’ll Shut Down the Government — Vanity Fair Republicans blame Biden for not stopping the pandemic, and then turn around and threaten to shut down the government to prevent the most effective... https://t.co/fCdcJdh2M2",
en,1466155185584152581,False,2021-11-28 21:20:10+00:00,"The United States has confirmed its first case of the Omicron variant. The patient was diagnosed after traveling from South Africa to San Francisco and is experiencing mild symptoms
https://t.co/PF4g0nQiVW by .nationalgeographic.com",
en,1466155185005334536,False,2021-11-28 21:20:10+00:00,Horowitz: Studies show an aggressive vitamin D campaign could have prevented nearly all COVID deaths https://t.co/Nw2QPZw3Xa 🙏🙏🙏🙏🙏,
en,1466155184745172993,False,2021-11-28 21:20:10+00:00,Next thing you know COVID's finna have their own fraternities.,
en,1466155181926723587,False,2021-11-28 21:20:09+00:00,‘Omicron’ Variant Drives “Worrying” Surge In South Africa’s Covid Cases – NewsEverything World https://t.co/J4YVPunaae,
en,1466155181587017735,False,2021-11-28 21:20:09+00:00,am i the only one who didnt get pregnant or get covid througout this whole pandemic? 🙃,
en,1466155180752355330,False,2021-11-28 21:20:09+00:00,"“For now, the scientists who research this intersection of mental health and the immune system want the public to know that mental health disorders can be whole-body disorders.”

https://t.co/gTGkwYmIHc",
en,1466155180219682827,False,2021-11-28 21:20:09+00:00,@ABC FROM DEADLY BAD VACCINES TO MORE DEADLY VACCINES TO NOW VACCINES TO INFECT KIDS TOO SINCE THAY HAVE THE STRONGEST IMMUNITIES &amp;  DO NOT CATCH COVID EVEN MASKLESS. WTF ARE YOU SAYING BIDEN ?! Our DIVINE HUMAN IMMUNITY HAS SAVED US WHILE BAD VACCINES ARE SPREADING COVID KILLING LIFE,replied_to
en,1466155180173541386,False,2021-11-28 21:20:09+00:00,"Everyone's talking about Georgia right now, but for more 2022 talk: I'm surprised that Cook Political Report has the Connecticut governor's race as safe D. Is this because of people generally liking his handling of COVID?",
en,1466155179665989637,False,2021-11-28 21:20:09+00:00,"New post: ""A Top Official Says the Fed Will ‘Grapple’ With a Faster Bond-Buying Taper"" https://t.co/bPApICdzFu",
en,1466155179200417794,False,2021-11-28 21:20:09+00:00,@pete_tonkin You are seriously telling me you've never seen those terms or Build Back Better?   Every world leader and Prince Charles saying Covid is the opp for the Great Reset?,replied_to
pt,1466155177728258049,False,2021-11-28 21:20:08+00:00,SC chega a 20 mil mortes causadas pela Covid-19; veja as duas cidades sem óbitos https://t.co/rEBUcacfon via @ND_mais_,
en,1466155175853404171,False,2021-11-28 21:20:08+00:00,"Dr. Robert Mullen with @NutrienLTD talks about what is going on with fertilizer at the #ICMconference. He says, “What happens in one part of the world affects another part. COVID-19 is a great example of that.”",
en,1466155175731613699,False,2021-11-28 21:20:08+00:00,LOL oops conveniently overlooked this trend: https://t.co/SEkMzqD2sM https://t.co/q9hoLkTb1T,quoted
fr,1466155174876127243,False,2021-11-28 21:20:08+00:00,"@_Hedow_ @yannickhoppe @faureolivier @_LICRA_ @DILCRAH @Anne_Hidalgo @JeanLucRomero @lau_patrice @partisocialiste @SophieElizeon Avec un vaccin tu ne transmets ni tu ne peux contaminer,Pfizer est un médicament aux multiples effets secondaires. Pour les soignants en 2020 et 2021 cela ne gênait vos semblables qu’ils viennent travailler malades du covid ,vous êtes une saloperie",replied_to
en,1466155174058151939,False,2021-11-28 21:20:07+00:00,White House pressed on COVID deaths under Biden presidency https://t.co/LUu0BhkKf3 https://t.co/CLVhBev3My #Coronavirus #Covid19 #Cov19,
it,1466155173743579141,False,2021-11-28 21:20:07+00:00,"@nonelarena è lecito augurare le peggiori sofferenze da Covid a quei criminali dementi #novax che negano i benefici e l’efficacia dei vaccini?

#ZENO #Giletti #Telese",
en,1466155173559128071,False,2021-11-28 21:20:07+00:00,"@Trek_The_Globe @Karlton111 @michaeltmcc @vonninnyhammer @BSHerrle @NickDone8 @MarkChesney @lostintheburbs @tip_ct @commonpatriot @ForrestFernMist @JimlikesBB @TimTidwell68 @StirredCrazy @PootDibou @Robb242 @AngryFleas @AlmaBona @PamelaEdwards @Joe__312 @ArtysHouse @Mic5check @battle_bullshit @GeorgeWTrumpWon @FighterTh @EarthOne_13 @nygpapi2000 @sgary07 @breckgirl4ever @paulinewoolwor4 @PogueMoran @joimonki @kalymera1960 @Trampoukkos1 @RNaixam @trumper_tantrum @famousSheymus @Hirdman @a_pilgrimm @JonDallas19 @whistleblow3 @SuperElite777 @QuispMe @PersecutedAnon @JaetreeGS @UnderLeverage @Bravo10thDoug @RayCollis3 @LtColMac1 @SuspendedMurphy For more specifics:

https://t.co/WBfIcsH2IE
https://t.co/ykwOt2JxNa
https://t.co/KMzhSMW149
https://t.co/3atuHyEd0Y
https://t.co/XBj2SqmkWX
https://t.co/xHJS3fUbR9
https://t.co/wkHW86tuCI
https://t.co/YpVWGCrsv9
https://t.co/oDOxo8Jt6L
https://t.co/ThG24I9bt7",replied_to
pt,1466155173244452865,False,2021-11-28 21:20:07+00:00,"Esta quarta-feira foram reportadas “dificuldades pontuais na emissão de certificados covid-19“, um problema que, de acordo com os Serviços Partilhados do Ministério da Saúde, já está resolvido. https://t.co/uWYdvDNtDc",
en,1466155171059228679,False,2021-11-28 21:20:07+00:00,"@Pinz4BobbyD @RogerMarshallMD Hmm, so how many deaths are suggesting the US had as a result of Covid last year? 🙄",replied_to
en,1466155170744528897,False,2021-11-28 21:20:07+00:00,"Michigan anti-vaxxer, election canvasser, and Big Lie proponent is dead from COVID-19 https://t.co/WsaMQLqN4O 

Thoughts and prayers didn't work, unfortunately.  #trumpchump #WillTheyEverLearn #TrumpVirus",
es,1466155170660696064,False,2021-11-28 21:20:07+00:00,@ndjokov @_gonzaloferreyr Coincido. Me quedó la espina de Hamburgo y su retiro por covid. Creo que se va a adaptar rápido al nivel atp.,replied_to
en,1466155170274889729,False,2021-11-28 21:20:07+00:00,COVID is teaching hard lessons on trade policy https://t.co/NMHCyTDQfB https://t.co/5WxT5v7oZt,
en,1466155168270102529,False,2021-11-28 21:20:06+00:00,Lasting immunity found after recovery from COVID-19 | National Institutes of Health (NIH)..⁦@MicheleAgnew⁩ ⁦@BKarahalios⁩  https://t.co/3hZCGfPNWV,
in,1466155166873182209,False,2021-11-28 21:20:06+00:00,"Masifnya Pembangunan Infrastruktur, Besarnya Sumber Daya Alam Serta Landainya Penyebaran Covid Menjadikan Indonesia Aman Untuk Berinvestasi https://t.co/Tz7ekiBcaX",replied_to
en,1466155166453972996,False,2021-11-28 21:20:06+00:00,"@n__lun @Timmah_Kutz Agreed, my three kids all had symptoms and it was not Covid. Sore throat, runny nose, etc is going around big time.",replied_to
en,1466155166340509696,False,2021-11-28 21:20:06+00:00,@jkalbrechtsen Most already have been exposed to covid. They just didn’t notice it.,replied_to
en,1466155166231638021,False,2021-11-28 21:20:06+00:00,@mysisloveme this is how i felt when i got covid dw,replied_to
es,1466155164776255488,False,2021-11-28 21:20:05+00:00,"Llame a reportar a @Salud_Ec @XimenaGarzon11 @LassoGuillermo un caso de covid y posible variante ómicron. 
Me agradecieron y no me pidieron ni un solo dato, NADA🤷🏻‍♀️ Increíble dos años después y no han avanzado nada en el manejo del COVID.",
fr,1466155164058931209,False,2021-11-28 21:20:05+00:00,"#VaccinezVous #COVID19 #Covid_19 #coronacircus #Pfizergate #MajoriteSilencieuseVaccinee #5ansdeplus #Macron2022
#DictatureSanitaire #DictatureEnMarche #Presidentielle2022 #LREM
Voici ce que les médias et les politiques vous cachent.Nous ne faisons que vous prévenir.A vous de voir https://t.co/oD6CD2XKsm",quoted
en,1466155163727634433,False,2021-11-28 21:20:05+00:00,@jenfinley22 @JaniceDean @megynkelly I'll never forget that more people have died from Covid under Biden than Trump. Get your derangement off Twitter.,replied_to
en,1466155162179887107,False,2021-11-28 21:20:05+00:00,Chancellor Ronnie Green said the emergence of new and potentially more transmissible COVID variants led to the change in UNL's approach for the coming semester. https://t.co/3anuEVFVUt,
en,1466155162045751297,False,2021-11-28 21:20:05+00:00,"The new COVID-19 variant was first detected in South Africa and has been declared a ""variant of concern"" by the World Health Organization. https://t.co/AmJrfnVgNq",
en,1466155161877942284,False,2021-11-28 21:20:05+00:00,"The new COVID-19 variant was first detected in South Africa and has been declared a ""variant of concern"" by the World Health Organization. https://t.co/Eehgp8Uyxg",
en,1466155161366241283,False,2021-11-28 21:20:04+00:00,'It's a slow-burning situation that just won't go away' | Hospital systems taxed with COVID patients request federal help https://t.co/eJ18uvYfde,
en,1466155161009762305,False,2021-11-28 21:20:04+00:00,"@AdamGrant1992 @SkyNews Increased risk factor for sure. However, genetics means you just dont know who will react badly. It could be the superfit guy in his early 40s with no risk factors that dies! We shouldnt be complacent. 

https://t.co/VXFo8vHkSk",replied_to
de,1466155160598716422,False,2021-11-28 21:20:04+00:00,"@NurderK @c_drosten @reinerhaseloff Mediziner*innen sind immer noch keine Hellseher.  Trotzdem hat Drosten letztes Jahr schon vor einer Phase gewarnt in der viele aber nicht genug Menschen geimpft sind.

Er sollte ehrlich sein : Es war Wahlkampf. Und darauf wurde sich im Sommer konzentriert, nicht auf Covid.",replied_to
en,1466155159889891335,False,2021-11-28 21:20:04+00:00,"@DanPeacock12 They talk about sending people with covid there, is that true?? Or are the camps for the unvaccinated!!??",replied_to
de,1466155159709437966,False,2021-11-28 21:20:04+00:00,Gerade habe ich von der französischen Anti Covid App die Einladung zum Boostern erhalten 🤣. Vielleicht sollte ich wieder einmal eine Reise nach Paris einplanen…,
en,1466155159298445319,False,2021-11-28 21:20:04+00:00,"The new COVID-19 variant was first detected in South Africa and has been declared a ""variant of concern"" by the World Health Organization. https://t.co/Jaaxq6K8JN",
en,1466155159118090243,False,2021-11-28 21:20:04+00:00,"""Field Yates on Twitter “Patriots S Kyle Dugger missed practice today as the team awaits more information on a possible COVID-19-related situation, per source. While it’s uncertain as of now, he could wind up on the Reserve/COVID-19 list.”"" https://t.co/dvaLu3fyLp",
de,1466155159076098057,False,2021-11-28 21:20:04+00:00,@RobertKennedyJr @ChildrensHD @AwakenWithJP Listen ! https://t.co/GlOscbZWjT,replied_to
en,1466155158837022734,False,2021-11-28 21:20:04+00:00,"@brianlilley What else is new, soon she will find out that the covid was just bs and new variant is to just keep us inline",replied_to
en,1466155156886667265,False,2021-11-28 21:20:03+00:00,"According to the data released today by the province of Ontario, over 43% of todays numbers, of fully vaccinated individuals, are new cases of Covid... https://t.co/s8EojDfxPd",quoted
en,1466155156651888642,False,2021-11-28 21:20:03+00:00,"Are additional COVID precautions necessary due to the emerging Omicron variant or is this an overreaction? @jeffwagner620 gives his thoughts on the US' latest actions...

Do you believe all this is necessary?

Find full Jeff Wagner Show podcasts here: https://t.co/etL5RfKhSu https://t.co/7I5UycNKeH",
en,1466155156316114944,False,2021-11-28 21:20:03+00:00,@DrKGregorevic The great irony is doctors not advocating for maximum protection of children from Covid with known and unknown long term sequaelae. Transmission of suffering mindset is not helpful either,replied_to
sl,1466155156098142214,False,2021-11-28 21:20:03+00:00,"Coby White, positivo en COVID, dijo Billy Donovan",
en,1466155154894327810,False,2021-11-28 21:20:03+00:00,@ElectionWiz It is going to turn out to be the most mild form of Covid.  Viruses doing what comes naturally.  They become more transmissible but less deadly.  We should actually be celebrating.,replied_to
es,1466155154156175367,False,2021-11-28 21:20:03+00:00,"Este miércoles se identificó el primer caso de covid de la variante ómicron en los Estados Unidos; fue en el estado de California

#Covid19 #ReporteCovid
#Ómicron #CovidenEU
´#ÓmicronenEU https://t.co/dpTAb7ZVIw",
pt,1466155153640378368,False,2021-11-28 21:20:03+00:00,mds como é horrível fazer o exame de COVID,
en,1466155153057193987,False,2021-11-28 21:20:02+00:00,"Our COVID-19 testing sites are back to their regular schedule this week, with test sites open today (AHS), Thurs (EHS &amp; LMS), and Fri (EHS and WMS), plus all day Saturday at AHS. We continue to recommend regular testing to help us identify and #stopthespread of positive cases. https://t.co/RGgDGhVpPP",
en,1466155153036300290,False,2021-11-28 21:20:02+00:00,"@lab_2402 @HollyJen86 @Ira22249690 @Sjopinion10 Thanks Lee. I'll get answers mate.

I just hate it when people love the drama and/or the excuse. A guy in work thinks he's got long CoViD because he feels a bit spaced out and tired.

Illness is real. If you're ill, understand it, isolate it and fix it. Don't milk it, FFS!",replied_to
en,1466155152801468417,False,2021-11-28 21:20:02+00:00,"Over 7,000 Marines Unvaccinated As COVID-19 Vaccine Mandate Deadline Hits
 | ZeroHedge https://t.co/JNsh2YvhGt https://t.co/JQE9i3QZJf",
en,1466155152533041155,False,2021-11-28 21:20:02+00:00,Let us make your next one https://t.co/icNIPg09Uw #school #education #love #student #teacher #students #learning #kids #college #memes #study #backtoschool #schoollife #instagram #children #teachers #university #covid #instagood #fun #friends #follow #art #like #meme #covid https://t.co/3kr4JYY5i0,
da,1466155151958421512,False,2021-11-28 21:20:02+00:00,Swedenâ€™s Crown Princess tests positive for Covid-19 https://t.co/wfwfjotbLl,
es,1466155151681638406,True,2021-11-28 21:20:02+00:00,"#Recomendaciones: Por tu salud, el uso del cubrebocas puede reducir la velocidad a la que las personas con #COVID-19 infectan a otras. #Oaxaca @SIDISSP_GobOax @SSP_GobOax @GobOax https://t.co/IQSyAcMRkZ",
en,1466155151358513152,False,2021-11-28 21:20:02+00:00,"@franksdcaudill @chrislhayes By the way, I hope you're this devoted to mitigating Covid-19, with mandated vaccines and the like.",replied_to
in,1466155151098404869,False,2021-11-28 21:20:02+00:00,Disiplin Prokes Kunci Keberhasilan Mencegah Lonjakan Kasus Covid Menjelang Nataru https://t.co/RIs0I4ELN9,
en,1466155151031508999,False,2021-11-28 21:20:02+00:00,"#PODover/#POCalais: A negative PCR or antigen test result (taken within 24h before travel) is needed to enter France if you are not fully vaccinated. Rules on further testing and isolation differ depending on your vaccination status. For more info, visit' https://t.co/y7x38HFnYM https://t.co/yKVCtUPNH6",
fr,1466155150964367369,False,2021-11-28 21:20:02+00:00,"Le CST wallon est illégal selon la justice namuroise, le gouvernement fait appel https://t.co/45Tt5LrJjf",
en,1466155150960119809,False,2021-11-28 21:20:02+00:00,"@jackwil33143446 @joelpollak @PressSec About those covid deaths: 
https://t.co/DKnQRkSX4v",quoted
