text,possibly_sensitive,created_at,lang,tweet_id,type
@27Zawag That sounds so fun!!! I usually just take my dad but starting with black widow I started inviting some friends and I decided to invite a bunch of friends who arent even that into marvel to come see NWH and they all agreed so that’s fun lol,False,2021-11-29T02:45:28.000Z,en,1465149886115065860,replied_to
"@srtalee A mi mientras no me maten a Black Widow en los comics, todo bien. Como que las películas son un chicle noma, jejejeje…
Aún no perdono a la DC por haber matado al gran Ted Kord (Blue Beetle). Y si hay alguien a quien realmente odio con todo mi ser, es a Maxwell Lord.",False,2021-11-29T02:45:14.000Z,es,1465149825276530690,replied_to
"""I- why-""

Confused black widow squeaks https://t.co/BW4TrmW5J3",False,2021-11-29T02:44:25.000Z,en,1465149621731303439,quoted
"@JimmyBallgme420 Touched 240 with the real monster and steadily was at 210 with the Black Widow ghost

they both feel solid",False,2021-11-29T02:44:03.000Z,en,1465149526868733957,replied_to
Black Widow Part 2 l 20/20 https://t.co/TQOM5pSTnM,False,2021-11-29T02:43:06.000Z,en,1465149288590323722,
"K and I started watching through the MCU timeline. 

So far she’s a fan of Black Widow and Iron Man. Don’t anybody tell her about Civil War.",False,2021-11-29T02:42:25.000Z,en,1465149118427369472,
Parquet Courts - Black Widow Spider [13:40],False,2021-11-29T02:41:34.000Z,en,1465148905612472322,
Watching Black Widow and stockinf up on GIFs for the next 3 weeks of Illinois basketball https://t.co/1vycMLYnyx,False,2021-11-29T02:41:08.000Z,en,1465148794631340036,
"So, I watched #Shangchi and #blackwidow finally. Here are my thoughts. 

Shang-Chi is the beginning of a new franchise. 8/10

Black Widow was out of step. The jokes fell flat (cause we saw them in the trailers) and it wasn't much of a spy film. 3/10 

Black Widow &lt; Thor 2",False,2021-11-29T02:40:21.000Z,en,1465148598815965186,
Throwback to when I sent my alarm clock in ten minute increments the morning black widow’s tickets went on presale because I don’t think I ever bought movie tickets faster OR got out of bed faster in my entire life,False,2021-11-29T02:40:20.000Z,en,1465148592952426500,
I cry actual tears every time (every time) I realise I’ll have no more Black widow.,False,2021-11-29T02:40:06.000Z,en,1465148532730601474,
"Movies watched since last update:
Black Widow 
A Secret Love
Passing 
The Guernsey Literary and Potato Peel Pie Society 
Tangled 
Shang-Chi and the Legend of the Ten Rings 
Ghostbusters: Afterlife 
King Richard 
My brief thoughts: 
https://t.co/pmi162WNtD https://t.co/yQGRRolpEA",False,2021-11-29T02:38:10.000Z,en,1465148046791135240,
Other marvel fans probably thinking I’m stupid of something with the way I show up to every new movie wearing only black widow merch,False,2021-11-29T02:37:50.000Z,en,1465147964192604166,
black widow is dead,False,2021-11-29T02:37:42.000Z,en,1465147931607007232,
"@tim_tim626 @tonygoldmark @adlerj Yeah, but I honestly feel like the oft-maligned Hulk and Black Widow relationship in Age of Ultron moved me more than Maguire and Dunst did.

In fact, most of the stuff inbetween the superhero stuff of the Raimi movies felt like filler.",False,2021-11-29T02:37:31.000Z,en,1465147883322175495,replied_to
@SakuraEra1 BLACK WIDOW,False,2021-11-29T02:36:09.000Z,en,1465147542803419140,replied_to
Black Widow https://t.co/Uj40oWytIt #BlackWidow,False,2021-11-29T02:35:16.000Z,en,1465147318471217160,
Avengers - Black Widow - The More You Ruv Someone: https://t.co/J0LHtRNaOs,False,2021-11-29T02:34:00.000Z,en,1465147001553973248,
"@Leucanthemummax Demi apa suka juga ca scarlett johansoon black widow? Natasah romanoff please chef kiss. Anyway, aku juga gtu loh wendy doang yg netep wkwk dari wendy, ngepoin bw, taylor swift, hosplay wkwkw.",False,2021-11-29T02:33:53.000Z,in,1465146968359899144,replied_to
Black widow te amo,False,2021-11-29T02:33:18.000Z,en,1465146825044807691,
vou ver black widow ba noite,False,2021-11-29T02:32:22.000Z,en,1465146588930715650,
"@JD0892 I have never seen the first Cap’n movie all the way through (tried 3 separate times), Black Widow was…uninspiring….FaWS I had to force myself to watch and now fell asleep to Hawkeye twice already…",False,2021-11-29T02:29:53.000Z,en,1465145965308907523,replied_to
"Against all odds, Hawkeye is entertaining through 2 episodes. I expected the show to be worse than Black Widow but it’s got something cooking so far and hasn’t really revealed anything",False,2021-11-29T02:28:27.000Z,en,1465145604020002817,
"@itsellajay @MickieJames @Boot2theface @REALLiSAMARiE @Blacky19821 Even in an alternate universe, You ain’t ready for The Black Widow to return to the impact zone. 😈🕸🕷😆",False,2021-11-29T02:27:51.000Z,en,1465145451120836610,replied_to
"BLACK WIDOW 2001, ISSUE 1 https://t.co/hbzKAjMqnT",False,2021-11-29T02:27:24.000Z,en,1465145339854217229,
@moviemenfes OTWWWWWWWWW NONTON kemarin malem aku nonton black widow soalnya,False,2021-11-29T02:24:50.000Z,in,1465144690865422337,replied_to
// black widow takes place before the events of infinity war! :) https://t.co/FXjrc009My,False,2021-11-29T02:24:48.000Z,en,1465144683651387394,quoted
|| can someone explain to me how tf yelena is supposed to be 27/28 in black widow and 32/33 in hawkeye??? https://t.co/jr4diczw0q,False,2021-11-29T02:24:11.000Z,en,1465144531008081926,
"@4RYEDIAZ cruella
cong vs. godzilla
after series
black widow",False,2021-11-29T02:23:32.000Z,en,1465144366670909445,replied_to
oh shit i recognize this bitch from black widow,False,2021-11-29T02:21:39.000Z,en,1465143892722999313,replied_to
Watching Black Widow finally because....why the hell not. Somehow it feels cathartic.,False,2021-11-29T02:19:32.000Z,en,1465143358473453571,
"Black Widow (2021)

Siento que no le dieron el valor que se merecía a esta película. Scarlett estuvo INMENSA y nos presentaron a un personajon que se viene y es Yelenna. Estoy LISTA. Tuve sentimientos encontrados por Black Widow mal ❤️😭❤️😭❤️😭 https://t.co/lGXPLXUaVc",False,2021-11-29T02:19:16.000Z,es,1465143290521481216,replied_to
"No había tenido la oportunidad de ver Black Widow, hasta hoy. 🥺",False,2021-11-29T02:18:05.000Z,es,1465142993741045782,
"2021 mcu movies personal opinions rn

1. Shang-Chi 10/10, self explanatory, sick ass fights, great story and amazing cgi

2. Black Widow 7/10, great close quarter fights, cgi looked pretty bad towards the end, good outfits and taskmaster was handled ok
(cont)",False,2021-11-29T02:14:55.000Z,en,1465142197716766728,
Finished reading @79SemiFinalist Black Widow Vo1.  So far it a really good story and very different take for Natasha . I love it,False,2021-11-29T02:14:41.000Z,en,1465142139197833222,
"Finally got around to watching black widow, I’m sad now",False,2021-11-29T02:14:20.000Z,en,1465142049586528265,
"@NOTSpawnOfVenom Captain America
Iron Man
Thor
Hulk
Black Widow
Hawkeye
Ant-Man
Wasp
Black Panther
Doctor Strange
and The Maximoff Twins",False,2021-11-29T02:13:33.000Z,en,1465141853456642051,replied_to
Si esta bien peorcita la película de Black Widow... https://t.co/eYS8zpEowO,False,2021-11-29T02:12:56.000Z,es,1465141697973784578,
https://t.co/97L2oSlujk Widow&amp;avatar=6 https://t.co/nZix1b644s,False,2021-11-29T02:12:41.000Z,en,1465141633796562947,
black widow is for the ugly ones actually. and cw didn’t divide the fandom lmao https://t.co/3gDEDNTEMT,False,2021-11-29T02:11:32.000Z,en,1465141347258494982,quoted
@glassbottommeg @GameDesignDan Actually Black Widow just did it and it felt like such a great throwback!,False,2021-11-29T02:09:49.000Z,en,1465140913534128132,replied_to
"@ErikWdV It always turns out this way 🙄 The gotcha video is unremarkable, the supposed danger is the mere existence of bikes 🤦‍♂️
It becomes so irrational, like a fear of spiders, no amount of house spiders are harmless will assuage the fear that this spider is really a Black Widow  😑",False,2021-11-29T02:09:32.000Z,en,1465140840653803522,replied_to
"A little Black Widow action in that downstairs office, maybe? #bdmwatchparty #hawkeye https://t.co/r0wsgqzgfj https://t.co/SCmg1qDYT3",False,2021-11-29T02:08:23.000Z,en,1465140554388414469,quoted
black widow https://t.co/yd0L7tv5a3,False,2021-11-29T02:08:21.000Z,en,1465140544464588807,quoted
"I am exactly one (1) bad thing happening away from changing my hair color to Black Widow approximately Endgame style. Dark red roots, platinum blonde ends. Photos for reference. https://t.co/sB4LNBNfdo",False,2021-11-29T02:07:28.000Z,en,1465140322598535171,
Hammer Black Widow Hybrid 15lbs NIB &amp; Undrilled 1st Quality Overseas Release!!!! https://t.co/UQ0apn4tBz eBay https://t.co/E62gP4OFUw,False,2021-11-29T02:07:07.000Z,en,1465140234048311299,
"captain america
black widow https://t.co/lynZLTicCr",False,2021-11-29T02:06:21.000Z,en,1465140042863497218,quoted
"Natasha should never have been killed off, we should've gotten a Black Widow trilogy instead",False,2021-11-29T02:06:03.000Z,en,1465139966372200449,
Now seems like a great time for a movie 🤗 Black widow lez doo dis 😤,False,2021-11-29T02:04:07.000Z,en,1465139477714808840,
Why they make Black Widow wear sneaker heels wtf,False,2021-11-29T02:03:40.000Z,en,1465139365135405059,
Up now. Movie #14: BLACK WIDOW https://t.co/xnlwfuoJMP,False,2021-11-29T02:02:17.000Z,en,1465139016655949824,replied_to
"Starts with guava, finishes with passion fruit late. Definitely bright. Not as good as their Black Widow. Fitting for #ThanksgivukkahWeekend in #TheseUnprecedentedTimes - Drinking a Brighter Times by @sincider @ Untappd at Home  — https://t.co/17eY3PJPr1",False,2021-11-29T02:01:59.000Z,en,1465138943129792513,
"@PJOiceman @In_A_Nutcase I can totally see that, amber looks like a black widow esk type of assassin where she is fit and attractive but behind that beauty she has a very deadly proficiency in assassination and being a hit woman",False,2021-11-29T02:01:52.000Z,en,1465138911617994755,replied_to
sera que a audição da alycia pra black widow foi pra que papel acho que ela ficaria legal como a antonia filha do dreykov,False,2021-11-29T02:01:07.000Z,pt,1465138723432062976,
"Waktu itu aku ngepoin Princess Leonor... Princess dari Spanyol, terus berubah ngepoin Scarlett Johansson gara-gara black widow, sekarang berubah lagi jadi ngepoin StarBe, memang anaknya gampang bosanan kayaknya 😣 
Cuma Wendy doang yang menetap, ngga bikin aku berubah haluan 🥲👍🏻",False,2021-11-29T02:00:48.000Z,in,1465138644046553088,
Just got done watching Black Widow and I have to wonder what episode of Hawkeye Yelena is going to show up in 😂,False,2021-11-29T02:00:37.000Z,en,1465138597942775809,
"Me pedí sushi, me tomé una cocucha y cene viendo Black Widow. Maravillosa manera de cerrar el domingo",False,2021-11-29T01:58:33.000Z,es,1465138078549352448,
i think my dad just slut shamed black widow???? get me out,False,2021-11-29T01:57:25.000Z,en,1465137794351775745,
Tonight’s choice: Black Widow.,False,2021-11-29T01:56:43.000Z,en,1465137615074586625,replied_to
"If you haven't read #BlackWidow by @LeslieStreeter  yet, you should. It's beautiful and sad and funny and yes she is my twin sister but I am also obsessed with her as a writer. No bias there :). https://t.co/OuCDo3Q40i",False,2021-11-29T01:55:51.000Z,en,1465137399567114248,
"@eunivrz that one is called ""Black widow with bursting boba"" ^^",False,2021-11-29T01:55:51.000Z,en,1465137398715760642,replied_to
"Ya vimos #Hawkeye y psss no se, sentí lo mismo que con Black widow, en realidad son un pretexto para presentar nuevos personajes, haciendo menos al dizque protagonista 🙄🙄",False,2021-11-29T01:55:24.000Z,es,1465137286736142339,
"@GeekZoneGZ A MÍ NO ME GUSTARON LOS PRIMEROS 2 CAPÍTULOS, PARECE UNA NOVELA, MUCHO BLA BLA BLA, TRAUMAS, BLA BLA BLA, LE FALTA ACCIÓN Y SUSPENSO, SI NO MEJORA LA VAN A VAPULEAR COMO A BLACK WIDOW",False,2021-11-29T01:54:26.000Z,es,1465137041662877700,replied_to
"@Colin444 No. The dark haired girl at the end of episode 2. Not Kate Bishop. I don't want to give spoilers.😬

I may need to watch Black Widow again.😅",False,2021-11-29T01:54:13.000Z,en,1465136988948946948,replied_to
florence pugh edit fc fancam yelena belova viuva negra mcu marvel black widow midsommar little women don't worry darling lady macbeth the falling https://t.co/pkDdBlGP7x,False,2021-11-29T01:53:43.000Z,en,1465136860624211972,
@ColumbiaSIPA @LincolnMitchell @CNNOpinion Pete Buttjig has the IQ of a Dorito and Kamala Harris is as likable as a black widow spider crawling around in your briefs. I would be thrilled is this is the Democrat ticket.,False,2021-11-29T01:53:23.000Z,en,1465136780261445634,replied_to
"@lovesdowney Va, va, desde ahorita reclamo a la Wanda de AOU y a la Nat de Black Widow c: ahr",False,2021-11-29T01:53:11.000Z,es,1465136726590980102,replied_to
"De Marvel 'Black Widow' y de DC no se, ni me importa https://t.co/2PTwpavHV7",False,2021-11-29T01:52:17.000Z,es,1465136501990301704,quoted
"I personally love the way Black Widow is, at least so far, like how darker and serious it is compared to like the usual marvel movies. The atmosphere definitely doesn’t read marvel and i fucks with it",False,2021-11-29T01:51:49.000Z,en,1465136383434100740,
"@nicoo_crupi capitana marvel se cae, y black widow no es tan mala",False,2021-11-29T01:51:40.000Z,es,1465136346616320008,replied_to
@thelifeofeve watching black widow thanks for asking,False,2021-11-29T01:45:00.000Z,en,1465134670157332490,replied_to
Supergirl atau Black Widow kah fia? https://t.co/o3mCqpLuII,False,2021-11-29T01:43:34.000Z,tl,1465134305970065411,quoted
Trying to imagine that Hulk/Black Widow romance subplot from Avengers 2 in a world where Bruce Banner is still played by Ed Norton.,False,2021-11-29T01:42:09.000Z,en,1465133950184001548,
"@AllieCatCosplay Trying to decide what to watch: Blade Runner: Black Lotus, Black Widow, or Doctor Who: Flux.🤔",False,2021-11-29T01:41:57.000Z,en,1465133900209004546,replied_to
"@ashleylynch Man, Black Widow didn't even have trick arrows. She just had to fight with guns while wearing wedges. Hardest working Avenger by far.",False,2021-11-29T01:41:45.000Z,en,1465133849310941186,replied_to
Spider Bookmark / Handmade / Book Lover Gift / Black Widow / Party Favors https://t.co/Ee4FM0o6vm via @Etsy,False,2021-11-29T01:41:01.000Z,en,1465133664027570179,
@TheAmazing_JD @FandomMenaceLs We didn’t even get anything for Black Widow until this year and AFTER they already killed off her character.,False,2021-11-29T01:40:06.000Z,en,1465133433995161602,replied_to
"BLACK WIDOW 2010, ISSUE SEVEN https://t.co/azcv5LLntk",False,2021-11-29T01:36:13.000Z,en,1465132457741586436,
"@Colin444 I'm trying to figure out the person at the end. I kind of watched Black Widow half distracted over a couple days. I wonder if they are from that one? I probably missed a character, unless the person is from some other Marvel show/movie. I just wonder when the next one will be on?",False,2021-11-29T01:34:54.000Z,en,1465132128769818635,replied_to
@CatholicTao I haven't done Black Widow but she's not one of the options right now. Neither is Illyana (aka Magik) or the other Black Widow. Just the 4 listed in the poll.,False,2021-11-29T01:34:37.000Z,en,1465132054471921667,replied_to
"I’m a black, black widow, black widow, widow, Ah ahah, black widow, widow, ah ahah",False,2021-11-29T01:34:33.000Z,en,1465132039158448129,
"I have officially learned how to say ""Farewell, douchebags!"" in Russian.

Thank you, Black Widow!",False,2021-11-29T01:34:25.000Z,en,1465132006132662278,
✨💜Going live in 30 min! https://t.co/in0TISk6cl 8pm cst we're playing #sims4 as #kristenstewert the bougie black widow and maybe some #ApexLegends l8er 💜✨ #TwitchStreamers #twitch #twitchtv #smallstreamers #LIVE https://t.co/fTIYY0FYe7,False,2021-11-29T01:33:12.000Z,en,1465131698530701316,
@BexYoung_74 @ODEONCinemas Did that with me for CEA. I just bought the tickets and hopefully they’ll sort it out when we get there and maybe get a free ticket for the next visit. That’s what happened with Black Widow anyway,False,2021-11-29T01:33:02.000Z,en,1465131656877158404,replied_to
watched at the mcu movies lately and FUCK scarlet witch and black widow 🥴🥴🥵🥵 https://t.co/am6JsxsAgs,False,2021-11-29T01:32:12.000Z,en,1465131445547159553,
@filmtasha Why did you choose black widow for that category when ghost was RIGHT THERE,False,2021-11-29T01:30:14.000Z,en,1465130950665412609,replied_to
Black Widow 2020 Natasha Romanoff Outfits Cosplay Costume Halloween Custom Made https://t.co/hIBuCqIfh7 eBay,False,2021-11-29T01:28:32.000Z,en,1465130523802497029,
Check out this listing I just added to my #Poshmark closet: NIB Funko POP! Black Widow 610 TASKMASTER. https://t.co/G130mxGMb5 #shopmycloset @poshmarkapp,False,2021-11-29T01:28:29.000Z,en,1465130510477262855,
"BLACK WIDOW: THE THINGS THEY SAY ABOUT HER 2005, ISSUE 1 https://t.co/FCqhebVcKy",False,2021-11-29T01:27:59.000Z,en,1465130384270630916,
"Taquilla global. 
Última semana que Black Widow ($376.9 mdd) aparece en el top 10 de 2021. La rebasarán Dune y Eternals.
En cuestión de una semana, Ómicron vino a cambiar el panorama de diciembre. ¿#SpiderManNoWayHome y Sing 2 debutarán en grande o les irá como a #WW84? https://t.co/n7mCZnu5RS",False,2021-11-29T01:27:38.000Z,es,1465130296668573699,
@beIovafilm Wait.. doesn’t everyone whose seen Black Widow and Dr. Strange love Black Widow and Dr. Strange? No? Hot people only? Okayy.,False,2021-11-29T01:25:28.000Z,en,1465129754277912583,replied_to
#PopVinylFigures #PopMovies Funko Pop! Movies: Black Widow - Natasha Romanoff Vinyl Figure https://t.co/v7IuS2zqnl https://t.co/zZmE8MMI6X,False,2021-11-29T01:25:08.000Z,en,1465129669901099008,
Heute im TV: Avengers 4 hat ein Black Widow-Problem - MOVIEPILOT NEWS https://t.co/cJahF5x6cf https://t.co/AE9aP4IGqf,False,2021-11-29T01:24:03.000Z,en,1465129394310053892,
"at least Hawkeye got some type of talent, Black Widow got tasers mane 😒",False,2021-11-29T01:23:57.000Z,en,1465129368997580803,
Is anyone else excited about the potential to ship Florence Pugh's Black Widow with Hailee Steinfeld's Hawkeye in the future? I mean we didn't get the ship in the original Avengers and we all know Kate's bi-energy is off the charts in the MCU already....,False,2021-11-29T01:23:50.000Z,en,1465129341667495937,
I wish they would've let this play out; because Black Widow was about to get washed lol. https://t.co/ZRDMFGFuxE,False,2021-11-29T01:23:37.000Z,en,1465129287812407300,quoted
"Empecé a ver Hawkeye, antes de verla deben ver la película Black Widow, la escena post-creditos de esa película conduce a lo que serán los hechos de ésta serie. https://t.co/81awmFrJRN",False,2021-11-29T01:22:33.000Z,es,1465129020681502725,
Black Widow fights like Paddy Pimblett,False,2021-11-29T01:21:42.000Z,en,1465128806096773128,replied_to
(🌟) All the Black Widow and Captain America mains. I beg. 😩,False,2021-11-29T01:20:44.000Z,en,1465128561690365952,
"a normal person: “let me get ready for the work week, wind down, and prepare to go to bed”
me: “i think i want to watch the last 30 mins of Thor Ragnarok, the last 10 mins of Black Widow, and then watch Infinity War to see the way those movies flow to each other.” 🙃😎",False,2021-11-29T01:19:53.000Z,en,1465128347210506243,
"🎬Black Widow(2021)
ようやく観ましたすみません笑
MCUで劇場で観なかったのは初かもしれない。

アクションの良さはもちろんのこと、ナターシャの過去や以前のMCU作品との繋がりもしっかり垣間見れて楽しめました。
エレーナの少し棘のある？話し方もかわいくてグッド。

ホークアイ第3話早くー！ https://t.co/LOVdQ9MscS",False,2021-11-29T01:19:37.000Z,ja,1465128281284366339,
"não pelo amor, eu tô no minuto 27 de black widow agora e vim no twitter fazer essa piada e esse tweet apareceu na tl 😭😭😭😭 https://t.co/EC67zPRKnZ",False,2021-11-29T01:18:57.000Z,pt,1465128112874733578,quoted
"@BearingtonTrade I liked most of Black Widow, but because I liked the sister. Not a huge fan of ScarJo. 

I agree. They are in trouble. The new Hawkeye looks 🤨",False,2021-11-29T01:17:07.000Z,en,1465127651925008385,replied_to
I totally forgot black widow and free guy due to technical issues https://t.co/6Ifnv7o7pr https://t.co/L71BCIUHfj,False,2021-11-29T01:16:16.000Z,en,1465127439424753668,quoted
foda q eu ouço smells like teen spirit mó felizona mas com a versão de black widow eu tenho vontade de morrer com tanta tristeza,False,2021-11-29T01:15:37.000Z,pt,1465127272587927554,
@iblogalot *MCU Black Widow,False,2021-11-29T01:13:44.000Z,en,1465126799017275392,replied_to
@catboyatlas Travis and his mom are a menace to the black widow society,False,2021-11-29T01:13:27.000Z,en,1465126729966571520,replied_to
@Serlentpops Black widow,False,2021-11-29T01:12:28.000Z,en,1465126481030307840,replied_to
scarlett johansson na premier de black widow https://t.co/xsCBmsdw3R,False,2021-11-29T01:11:14.000Z,sv,1465126169263673350,quoted
@Jedimynds I actually just started it. Watched Black Widow for the first time today too.,False,2021-11-29T01:11:04.000Z,en,1465126130013376517,replied_to
@voodo0_child She really does. She's gonna be a gold digging black widow. She only likes cats and money.,False,2021-11-29T01:10:37.000Z,en,1465126014397431816,replied_to
"@iblogalot Besides, him just beating up people is really uninteresting at this point - it makes him feel too powerful, despite being non-powered.

It's the same problem I had with Black Widow, especially when you see super-powered characters like Cap get the shit beaten out of them.",False,2021-11-29T01:09:41.000Z,en,1465125781034586114,replied_to
"@Katchin05 Meanwhile, Black Widow deadass up there. So anything is possible",False,2021-11-29T01:09:39.000Z,en,1465125773673705474,replied_to
"is that towards the end of Black Widow, you see all the Widows leaving the compound, free to make their own choices. Then, during the second post credits scene in Shang-Chi, you see his sister now having female fighters in addition to the men, and some of them look a little 3:)",False,2021-11-29T01:09:28.000Z,en,1465125726580088838,replied_to
"Spoilers from here on out:

So at the end of Black Widow, Ross shows up with ZERO ways to escape for an injured Nat, and then MAGICALLY she's the Nat just before Infinity War and is somehow free and clear. It just makes zero sense to me.

One thing that DID intrigue me, though 2)",False,2021-11-29T01:09:28.000Z,en,1465125725145649156,replied_to
"So I just watched Black Widow and Shang-Chi.

Spoilers potentially past the first part of this tweet, so you've been warned.

In regards to them both, I liked them. I did like Black Widow less, though and it has a quasi plothole that really bugged me. 1:)",False,2021-11-29T01:09:27.000Z,en,1465125723233005573,
"@kingkuyk Hori does like western heroes and you can always see a bit of them in his Japanese heroes. What if she has that  Black Widow spark? Idk...if the Russian thing is true and she is a sparrow , it does make sense.",False,2021-11-29T01:09:16.000Z,en,1465125677896802310,replied_to
My ★★★★★ review of Black Widow on Letterboxd https://t.co/WpogmejDaP,False,2021-11-29T01:09:08.000Z,en,1465125640764542978,
"@AlexpamDelcourt OOH, you can try Black Widow, aussi.",False,2021-11-29T01:08:48.000Z,en,1465125557327130625,replied_to
"@itsjust4yester @Marvfess Emak2 yg ada di film black widow, yg okelah bisa dibilang emak angkat black widow",False,2021-11-29T01:08:40.000Z,in,1465125524225753089,replied_to
@tasmrry black widow or black panther,False,2021-11-29T01:07:57.000Z,en,1465125345640783872,replied_to
"@axelroark $dis gonna have some problems if they continue down the path with marvel

black widow was no great shakes either - solid B- movie",False,2021-11-29T01:07:55.000Z,en,1465125337931694086,replied_to
@voinschmidt palesemente black widow o la trilogia di iron man o infinity war,False,2021-11-29T01:06:14.000Z,ro,1465124913988177924,replied_to
Black widow was wack. Let me see if Shang Chi is better,False,2021-11-29T01:06:12.000Z,en,1465124905360441345,
"51% off Marvel Studios Black Widow Blu-ray [2021] [Region Free]
for £7.3 @ Amazon UK

https://t.co/lNOqPA1y86",False,2021-11-29T01:05:47.000Z,en,1465124801048190980,
"Scarlett Johansson, una de las actrices más exitosas, gracias a su papel de Black Widow y a películas como 'Avengers', 'Marriage Story', 'Her', 'Jojo Rabbit', 'Lost In Translation', 'Don Jon' y más #EstrellasEnPantalla #MovieStars #ScarlettJohansson https://t.co/g7dAUgjpdI",False,2021-11-29T01:05:05.000Z,es,1465124623801016326,
@iamreallymaria @tuirercompa Jajaja y que iba a hacer black widow?? Dispararle jajajajaja,False,2021-11-29T01:05:00.000Z,es,1465124603844517892,replied_to
@HockeyPhotos Black Widow yes and totally forgot to tweet it. Eternals no.,False,2021-11-29T01:04:26.000Z,en,1465124457492750336,replied_to
We truly were robbed of the Black Widow trilogy we deserved. Smfh,False,2021-11-29T01:01:21.000Z,en,1465123683924688898,
"So like, last Tuesday I watched Shang-Chi. Now it's time for me to hit up Black Widow lol",False,2021-11-29T01:00:44.000Z,en,1465123526881464323,
@zqbvlls Lol I went down my own hole after black widow figured I’d share,False,2021-11-29T00:59:23.000Z,en,1465123188409606145,replied_to
"@strangesolos 🥰, here are mine:
1. Hiddleston as Loki
2. Robbie as Harley
3. Downey as Iron Man
4. Ledger as Joker
5. Jackman as Wolverine
6. DeVito as Penguin 
7. Evans as Cap
8. Johannson as Black Widow
9. Hemsworth as Thor
10. Cooper as Rocket",False,2021-11-29T00:58:35.000Z,en,1465122988945256455,replied_to
black widow https://t.co/9iDcXZBVjM,False,2021-11-29T00:57:47.000Z,en,1465122787199098884,quoted
"23-Spider-Man: Far From Home ✅
24-Black Widow ✅",False,2021-11-29T00:56:57.000Z,en,1465122577714753538,replied_to
funko da natasha em black widow https://t.co/Oa4W6gzbwb,False,2021-11-29T00:56:26.000Z,pl,1465122445531230208,quoted
@HKhan2K black widow better,False,2021-11-29T00:54:43.000Z,en,1465122013090037765,replied_to
#EsDeSuperheroe cachondearte con black widow,False,2021-11-29T00:53:56.000Z,en,1465121818554085378,
i’m gonna watch black widow 😏😏,False,2021-11-29T00:53:18.000Z,en,1465121656372744196,
20 tahun udah jadi black widow :(,False,2021-11-29T00:52:27.000Z,in,1465121443423739904,
"✨ Top Friends

🥇 raintitluvr
🥈 fluxjoji
🥉 bchanluva
🏅 Black_Widow_81
🏅 SeroGetsBaddies
🏅 cloudyij
🏅 mommies_milkies

➡️ https://t.co/03IY1Pli0o https://t.co/K3eeEH3yPO",False,2021-11-29T00:52:25.000Z,en,1465121435345731585,
@vexwerewolf You should watch the Black Widow movie for some serious Marvel quipping.,False,2021-11-29T00:51:02.000Z,en,1465121086593458181,replied_to
"@rexiecake Niiiiiice, when I saw Black Widow with my brother and grandma back in July, our theater was empty except for two other tiny groups.",False,2021-11-29T00:50:58.000Z,en,1465121072492290055,replied_to
"is that fear i sense in the famed black widow? or perhaps concern for that archer of yours? i suppose love truly changes all things, eh, fräulein?",False,2021-11-29T00:50:44.000Z,en,1465121013725745152,
@willscherrypie is it the black widow,False,2021-11-29T00:50:24.000Z,en,1465120926152994817,replied_to
@heyboo62 Black Widow-????,False,2021-11-29T00:50:11.000Z,en,1465120875141869569,replied_to
