text,lang,possibly_sensitive,tweet_id,created_at,type
"@janka402 @Midlinka1967 Ok, podívám se na to.
Pak bude trochu problém rozlišit, co je vakcína, co je prodělaný covid. Měl jsem známého, 31 let, hrál florbal, dřív jsme spolu hráli. Prodělal covid, po necelém půl roce umřel na plicní embolii. Jen tak.",cs,False,1466146290279108609,2021-11-24 20:44:49+00:00,replied_to
"@CRPE_UW also took a deeper look at six charters and districts during this time. 

Parents and school systems leaders alike, they note, got a much closer look inside the classroom during the Spring of 2020.

https://t.co/wibiE1DNov",en,False,1466146289494732804,2021-11-24 20:44:49+00:00,replied_to
@KatherinePrange @DailyCaller Maybe walking makes immigrants' chests so hot covid is not an issue,en,False,1466146289469444099,2021-11-24 20:44:49+00:00,replied_to
Just got Covid booster...,en,False,1466146289226190853,2021-11-24 20:44:49+00:00,
"@SubcommanderT @TrekNewsNet @startrektour It's looks amazing. I hope to visit, once covid abates. @startrektour",en,False,1466146288987254786,2021-11-24 20:44:49+00:00,replied_to
"Das Covid-Regime macht Bürger gläsern.

Volle Datentransparenz
über alles was die Person betrifft.

Die Volksrepublik 🇨🇳 verleiht
Österreich und Deutschland
gemeinsam den 1. Platz🏆
für Staatliche Bürgerdatensätze Erfassung
in Rekordzeit.

Impfpflicht für alle 👏👏👏",de,False,1466146288135806977,2021-11-24 20:44:49+00:00,
"@bellwethered too chronicled the response from charters and districts. 

They draw out eight areas of best practice from 12 systems during this tumultuous time. @jennschiess @aklibetti 

https://t.co/dUwSlNycS6",en,False,1466146286797737997,2021-11-24 20:44:49+00:00,replied_to
"These cardiac arrests were very uncommon, in fact incredibly rare before covid. 2 tonight alone? With everything going on, I think we need to know what vaccines these people took (if any) and whether they have previously tested positive. I’m not a conspiracy theorist but…",en,False,1466146286474870793,2021-11-24 20:44:49+00:00,
@ZazzyJets @JCaporoso he played all but 3 games in a covid year in 2020 and was phenomenal his freshman year I would draft him but thats my opinion and I think he is perfect fit for this defense and allows hall to be a number 2 corner where he could thrive.,en,False,1466146285916807169,2021-11-24 20:44:48+00:00,replied_to
"This whole video was absolutely devastating. Please watch and share.

Nebraska is in for a dark December. https://t.co/LabwgDSkCb https://t.co/AguCqnP0iM",en,False,1466146285782765580,2021-11-24 20:44:48+00:00,quoted
Así manipulan las cifras de fallecidos por COVID-19 https://t.co/RZa5cuKZ8q vía @ElDiestro_,es,False,1466146285606559746,2021-11-24 20:44:48+00:00,
La sorprendente estrategia de Camboya para vacunar hasta a los menores de cinco años https://t.co/FiOQZCaEfV vía @el_pais,es,False,1466146285367566341,2021-11-24 20:44:48+00:00,
@bzutcy Covid,en,False,1466146285099102208,2021-11-24 20:44:48+00:00,replied_to
això del passaport covid afecta el bar de la uni?,ca,False,1466146284985896965,2021-11-24 20:44:48+00:00,
"March, 2020 - schools all over the country shut down and shift to ""distance learning.""  Some charters are actively responsive.

For some of their stories from that spring, check out 8 profiles from @MichaelPetrilli and @educationgadfly 

https://t.co/TQ9yZa6LlQ",en,False,1466146284168007680,2021-11-24 20:44:48+00:00,replied_to
@FPersonally He does!!! Hopefully we’ll both get to see him at some point. He was dropping 🔥 during covid,en,False,1466146283815587844,2021-11-24 20:44:48+00:00,replied_to
Imprecherò in italiano per evitare il carcere di Twitter. Ma…fanculo il GOP. Fanculo Brett Kavanaugh e Amy Covid Barrett. E fanculo tutti quelli che non hanno votato per Hillary. https://t.co/1Yz16BWutu,it,False,1466146283815460864,2021-11-24 20:44:48+00:00,
"@maggieNYT AND covering up that TFG had tested positive for Covid before the debate and his (unmasked) meeting with Gold Star Families? You knew, and said NOTHING?",en,False,1466146282959896576,2021-11-24 20:44:48+00:00,replied_to
@tlarry11 @thisisbiblical2 @FreeBeacon @redsteeze So your common sense is telling you people get stopped at the border and are not tested for Covid?,en,False,1466146282653818880,2021-11-24 20:44:48+00:00,replied_to
"Marcus Lamb's Daystar TV was granted a loan under the 2020 US Paycheck Protection Program (PPP) to help pay employees' salaries during the COVID-19 pandemic and received $3.9 million.
After receiving the funds the church purchased a 14-seat Gulfstream V aircraft worth $9 million.",en,False,1466146282519498753,2021-11-24 20:44:48+00:00,replied_to
"'punch drunk
A term used to describe someone behaving in a bewildered, confused, or dazed manner from having been physically, mentally or emotionally punched'This is the mind-F..no science employed just  speculation from multiple angles..step back breathe 
https://t.co/Zg3KdBOGfR",en,False,1466146281449922562,2021-11-24 20:44:47+00:00,
@AdamJMatlock Time for your 16th Flu - I mean Covid booster shot!,en,False,1466146280313430016,2021-11-24 20:44:47+00:00,replied_to
@MariaCorinaYA Se jodió el Covid,es,False,1466146278748966930,2021-11-24 20:44:47+00:00,replied_to
"@dnatweets @ParcWesserling La France est un musée, dommage #Covid_19 bloque 🤔",fr,False,1466146278363045892,2021-11-24 20:44:47+00:00,replied_to
En un 60% población de 12 a 17 años cuentan con una dosis de vacuna contra el COVID-19 https://t.co/x130g4Idci a través de @rnpy920am @msaludpy,es,False,1466146277641576454,2021-11-24 20:44:46+00:00,
"#Destacadas #mujer #públicoFUENTE #Transporte A casi dos años de su aparición, cuatro incertidumbres que aún tenemos sobre el Covid-19. https://t.co/xQ5ovwiKOc. Vía: QPEV https://t.co/IQUvqjnzaG",es,False,1466146275569516548,2021-11-24 20:44:46+00:00,
"Adrenaline, underlying conditions and again, long COVID having detrimental effects on people's respiratory system.",en,False,1466146275078856709,2021-11-24 20:44:46+00:00,replied_to
"Este es el primer caso de COVID 19-variante ÓMICRON; comprobado en 🇺🇸 USA 🇺🇸 (probado en UC-San Francisco) y CDC DE EEUU

@willaxtv @noticiAmerica @Latina_Noticias @canalN_ @atvmasnoticias @noticias_tvperu @exitosape @RPPNoticias @PTV_Noticias @tvperupe 

https://t.co/aDJj34hk3e",es,False,1466146274827251719,2021-11-24 20:44:46+00:00,
@matheuslaneri Se o biotonico combate a covid meu voto é do Ary,pt,False,1466146274655313920,2021-11-24 20:44:46+00:00,replied_to
@nickshep7777 @CBSNews I don’t view it as a “victory lap” and yes everyone’s death-his included-is a tragedy. But I’m pretty disgusted w/ influential folks who spread damaging lies in the name of my Lord. Not2mention he took Covid relief funds and bought himself a ✈️. Judgement begins in the 🏠 of God,en,False,1466146273384230912,2021-11-24 20:44:45+00:00,replied_to
"@tvn24 W #Salem trwają obrady nt. #UstawaAborcja. Gorąca dyskusja jak stosy z płonącymi czarownicami. Czy #PiS upiecze dwie pieczenie przy jednym ogniu, i dorzuci kremację masowo umierających na #covid?",pl,False,1466146272872706048,2021-11-24 20:44:45+00:00,replied_to
"@tara_stoddard @SykesCharlie Yeah, let’s continue doing the exact same things to fight covid that we’ve been doing for the last two years. How’s that worked out for us? Oh wait…",en,False,1466146272088248320,2021-11-24 20:44:45+00:00,replied_to
"Me sacaron de un grupo de fb de mexas en el extranjero porque alguien preguntó: “¿saben en dónde están poniendo la vacuna del COVID?” y yo contesté: “en el brazo”
🤣🤣🤣🤣 que se vayan ALV, ni quería, yo me caigo muy bien la verdad",es,False,1466146272025399304,2021-11-24 20:44:45+00:00,
"@CryptoGenzo Covid Omicron amerikan borsalarini mahvetti hocam biraz, acaba burayı sert etkiler mi olumsuz",tr,False,1466146271853490182,2021-11-24 20:44:45+00:00,replied_to
"Marcus Lamb, founder of Christian network Daystar and vaccine opponent, dies after contracting COVID-19 https://t.co/yeL02kVlhQ Ha ha ha",en,False,1466146271526281218,2021-11-24 20:44:45+00:00,
#Covid #Vaccins #PasseSanitaire  #EffetsSecondaires #BigPharma #ConflitsDInteret en une image. https://t.co/7Q1LFh1WiN,fr,False,1466146269785690120,2021-11-24 20:44:45+00:00,
"@escoreal2 @Afelia @stefanriesterer Diese Zahlen sind völlig irrelevant, wenn man vergisst dass das Risiko für diese Komplikationen in JEDER Altersgruppe nach der Infektion MASSIV höher ist:

https://t.co/pKFdlp91Vf",de,False,1466146269307494401,2021-11-24 20:44:44+00:00,replied_to
The same G7 nations which suck up to African nations for mineral and mining rights when it suits their profits think nothing of punishing African nations when it comes to new Covid variants. Go figure. 🤷‍♂️🇿🇦,en,False,1466146268154060807,2021-11-24 20:44:44+00:00,
"If either deal finalizes, they would mark the first leases at the mammoth property since the Globe's newsroom moved to downtown Boston in 2017. They would also be among the largest new leases signed in the city since the start of the Covid-19 pandemic.",en,False,1466146267864739843,2021-11-24 20:44:44+00:00,replied_to
@GOP Like how Trump tried to infect Biden and gold star families with covid??  Yeah right.,en,False,1466146267671801860,2021-11-24 20:44:44+00:00,replied_to
@NutsSoup @christyb5 @redsteeze meanwhile when Trump had covid they openly rooted for his death,en,False,1466146267403276297,2021-11-24 20:44:44+00:00,replied_to
@HeresyYyc @MattsNewWorld Yeah go from COVID riddle Florida or California to a non COVID riddle small town and take em out why don’t ya?,en,False,1466146267289960448,2021-11-24 20:44:44+00:00,replied_to
Has to be Covid or the vaccine like it’s never been this many people having cardiac arrests https://t.co/w0371ZYNOy,en,False,1466146267109732369,2021-11-24 20:44:44+00:00,quoted
@AlbertaLeonidas https://t.co/YFn1dAPqAA,und,False,1466146266606280707,2021-11-24 20:44:44+00:00,replied_to
Are people still getting covid? Lmaoooo that was so 2020 move on already 😂,en,False,1466146266576994305,2021-11-24 20:44:44+00:00,
@MartinPeelUK @BellaWallerstei Stick covid where the sun don’t shine And let’s get everything back to normality https://t.co/KVn1iFV8By,en,False,1466146266237349890,2021-11-24 20:44:44+00:00,replied_to
Abla çıkmış hastanede sadece dr mu çalışıyor diyor. Diger sağlık calışalarına da zam istiyor.Pandemi boyunca covid ödemesi alırken yanınızda çalışan işçi umrunuzda olmadı.Bunları söylerken bile bu grubun içine yardımcı personeli dahil etmiyor eminim.Bu kafayla daha çok ... #memur,tr,False,1466146266052759562,2021-11-24 20:44:44+00:00,
"@robersperanza Anziché ringraziare la scienza e liberarci del COVID una volta x tutte perdiamo tempo in chiacchere, manifestazioni, fantasie varie, bugie, cazzate, ecc... Mah #vaccinatevi_e_basta",it,False,1466146265968910336,2021-11-24 20:44:44+00:00,replied_to
"Disappointing that for all the effort we went to keeping us all clear of COVID-19 for so long, that both boys now have it and could only have caught it at school 😔",en,False,1466146264282812430,2021-11-24 20:44:43+00:00,
watching avicii's together for a better day concert reminds me of the day which was 2 years ago before covid,en,False,1466146263951454214,2021-11-24 20:44:43+00:00,
Our report for @CBSNews stations on what we know about the first confirmed case of COVID from the Omicron variant detected in San Francisco. https://t.co/cBzdzyEvY7,en,False,1466146262235987969,2021-11-24 20:44:43+00:00,
@macovid2021 @annie61smith4 @RosieGottesman @ChuckCallesto OR…don’t get the shot and move on. People have lived thru the flu and Covid. Let people make a choice.,en,False,1466146261929582592,2021-11-24 20:44:43+00:00,replied_to
"@Zuquzu @robertgoulet13 @NBCNews I never said I was anti-vax, everyone is just assuming that! All I was stating was I’m sick and tired about hearing about Covid &amp; that EVERYTHING gets blamed on Covid, the gas prices, the grocery increase, the fucking wind blew the wrong way ! Jesus, chill everyone",en,False,1466146260654645251,2021-11-24 20:44:42+00:00,replied_to
"@bmsgpk @WolfgangMueckst Das ist UNwissenschaftlich‼️ Prof. von Kries, STIKO: “Bei COVID-Impfung für alle 5-11 jährigen sollten wir sehr sicher sein, dass Risiken deutlich niedriger als der Nutzen sind. Derzeit sind wir das NICHT.“ @WolfgangMueckst #Kinderimpfung https://t.co/sMZsG1U2Sk",de,False,1466146260402987008,2021-11-24 20:44:42+00:00,quoted
"@noneedforgreed @KirstieMAllsopp @BBCNewsnight One took 3-4 months before chest pain on exertion stopped. Then 15 months after we first got covid, we all got covid again.",en,False,1466146259669078019,2021-11-24 20:44:42+00:00,replied_to
"Έρευνα: Αυξημένος ο κίνδυνος θανάτου μέσα στους επόμενους 12 μήνες, για όσους έχουν περάσει βαριά Covid-19 - https://t.co/1MAqqOd3yS #greece #news https://t.co/f4JqkaEHeK",el,False,1466146259610345481,2021-11-24 20:44:42+00:00,
"@FrancisDunn77 @patriotsoftoday @theblaze I'd rather get sick from Covid than die of Myocarditis, full stop. Twitter shill.",en,False,1466146257693466633,2021-11-24 20:44:42+00:00,replied_to
"Republicans: DONT mock antivaxxers who die of COVID, it’s such bad karma!
Also Republicans: mocks Joe Biden’s stutter; mocks trans and nb people; mocks men who are express emotion and parent their children; mocks George Floyd’s dying words……",en,False,1466146257509007368,2021-11-24 20:44:42+00:00,
"@beverleyturner With few cases, particularly if they are in younger people, it would be early to predict. Also remember South Africa have excess mortality far in excess of reported Covid deaths. So not exactly reliable. https://t.co/5v2ixzqcb6",en,False,1466146256934342660,2021-11-24 20:44:41+00:00,replied_to
New study shows vaccinated health care workers at low risk of transmitting COVID-19 @UCDavisHealth  https://t.co/ZfSK9eKzIa,en,False,1466146256422457346,2021-11-24 20:44:41+00:00,
"Had to figure out a covid related situation. But live now with #Factorio https://t.co/rNBd1VjFvy

Only 6 followers away from our 24hr pie in face giveaway stream! 

#smallstreamers #furry #furrystreamer",en,False,1466146255961088001,2021-11-24 20:44:41+00:00,
Don’t try and tell me all these heart attacks at sporting events and sportsmen collapsing ain’t linked to Covid and the Vaccine #COVID19 #vaccine,en,False,1466146255818698762,2021-11-24 20:44:41+00:00,
Daily US Covid Deaths - Distribution from County Data for 2021-11-29:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth https://t.co/7joym0ic2L,en,False,1466146252932857858,2021-11-24 20:44:41+00:00,
Symptomatic COVID-19 testing should be free and readily accessible to all Ontarians - but it does not belong in drug stores. Sign the petition calling on Doug Ford to keep our pharmarcies safe. #ONPoli https://t.co/CAdGFIwwwk via @leadnowca,en,False,1466146252685561861,2021-11-24 20:44:40+00:00,
@ElJorronet @BMcC1781 @Jim_Jordan Please show us proof that all the people in this picture were tested with a Covid negative result. We’ll wait.,en,False,1466146251578253315,2021-11-24 20:44:40+00:00,replied_to
I've had my vaccine so I'm not I'm not anti but what I'm finding strange is ever since covid has happened and we have had the jab there's alot of people collapsing. Should we be worried what there actually putting in our bodys. I don't know. It's strange times. Too often,en,False,1466146251255304192,2021-11-24 20:44:40+00:00,
Virus that causes COVID-19 found in three white-tailed deer in Quebec's Eastern Townships  https://t.co/i7VzWDQfDq,en,False,1466146251087491075,2021-11-24 20:44:40+00:00,
Mortgage Rates Fall as Bond Markets React to the Spread of Omicron Variant https://t.co/5jHfSOkOMQ,en,False,1466146250882166784,2021-11-24 20:44:40+00:00,
@hiroMBBnl Sadly we're moving closer and closer to countries like Australia and Austria when it comes to crazy covid restrictions. Shops are almost allowed to use qr codes too.. I'm scared I'll be fired sooner or later when they will force employees to get vaccinated. .,en,False,1466146250844262404,2021-11-24 20:44:40+00:00,replied_to
COVID-19: Fauci says 1st Omicron variant case detected in U.S. https://t.co/IKeFaSNtmN,en,True,1466146250613571585,2021-11-24 20:44:40+00:00,
@David_J_Bier “Prevented from seeking admission” for example 20 Cuban families who were not allowed on US planes during the Covid crisis. #dv2020 #dv2020 visa holders prevented from seeking admission to the US due to #Covid travel restrictions.,en,False,1466146250420629524,2021-11-24 20:44:40+00:00,replied_to
"Omicron 1963 movie, have you seen it that it's the Omicron variant, Corana virus . I'm worried about people who are positive about covid-19 vaccines.",en,False,1466146249430741001,2021-11-24 20:44:40+00:00,
@BozMont406 @JaniceDean Which Cuomo is your favorite? Are you sticking up for the one that sends people with Covid to the nursing home and sexually harasses women? Maybe you prefer the one that abuses his position to help his brother cover his tracks?,en,False,1466146249120305161,2021-11-24 20:44:40+00:00,replied_to
"This dashboard on daily Covid-19 changes in Germany is a great way to explore the situation there recently -- hover over points to see the data. https://t.co/30b4a4aFjy

#dashboard #covid19 #Germany https://t.co/QozFsooJi6",en,False,1466146249023934472,2021-11-24 20:44:40+00:00,
@Prebens Har du link til rapporten som inneholder grafen? Virker som om linken i posten kun omhandler Covid,no,False,1466146248503738369,2021-11-24 20:44:39+00:00,replied_to
A busy Milton Keynes Shopping Centre will contain around 200 Covid-19 infected people exhaling virus. Support local businesses by shopping online instead. Stay #CovidCareful https://t.co/xgBbfD2GRd,en,False,1466146248273104900,2021-11-24 20:44:39+00:00,quoted
@Simonlester1971 @MaizyDaizyZzzz And my brother in law just said the Chelsea game suspended due to a medical emergency in the crowd ...weird how these superfit people are all collapsing isn’t it. A girl I know who runs and cycles daily also collapsed recently. Hospital blamed her bp and said she had covid.,en,False,1466146247681749003,2021-11-24 20:44:39+00:00,replied_to
Swear to god if this new strain of covid stops me going on holiday in January I officially give up,en,False,1466146247182532610,2021-11-24 20:44:39+00:00,
@POTUS We and the international community must provide the three doses of Covid 19 all over the world in order to end the global crisis in virus mutations,en,False,1466146246754775045,2021-11-24 20:44:39+00:00,replied_to
@swtrains_watch @grantshapps @railandroad Also I’d just like to say a big thank you to the amazing team at @swtrains_watch especially Jeremy! I mean the amount of hard work and hours all of you do in order to write letters to Grant Shapps and this government to get train services back to pre Covid levels is appreciated😊,en,False,1466146246343766022,2021-11-24 20:44:39+00:00,replied_to
@laralogan 10% of COVID-positive individuals are symptomatic - that's not a huge number???? #LARALOGANISATROLL,en,False,1466146244464717830,2021-11-24 20:44:39+00:00,replied_to
"@nypost Omicron is the new holiday surprise. It seems Ike everytime Christmas rolls around lately, we have a new Covid variant.

Omicron is playing Scrooge this time. Viruses have a proclivity to show up at  wrong time.

Just when everyone had made plans to travel &amp; take a holiday cruise",en,False,1466146243277643778,2021-11-24 20:44:38+00:00,replied_to
"Can the government and “the science” just accept that natural immunity exists and that having recovered from covid is better than the current “vaccine”?

#NoMandatoryVaccines #NaturalImmunity #purebloods https://t.co/9r8mZQLPbu",en,False,1466146243273498625,2021-11-24 20:44:38+00:00,
"@kingtutspacs Yea, I thought my money was safe from covid in the Metaverse.",en,False,1466146242640162816,2021-11-24 20:44:38+00:00,replied_to
"¿Fiesta en el Minsa en pleno incremento de casos COVID-19 y riesgo por variante Ómicron? Sí, y parece que con recursos del Estado. Celebración del cumpleaños de Ana Cecilia Bardales, directora de comunicaciones del @Minsa_Peru. 
¿Qué dirá @HCevallosFlores? https://t.co/mzBFJnm2Za",es,False,1466146241763495945,2021-11-24 20:44:38+00:00,
"@LoveStopsHatred Oh, you can't answer the question. What a suprise. 
Let's try another, tell me the science behind Covid?",en,False,1466146241708974087,2021-11-24 20:44:38+00:00,replied_to
"Ragazzi, giovani e meno giovani,il covid impedisce di seguire i propri cari negli ospedali in situazioni di emergenza.Per favore,vaccinatevi per impedire tutto questo!?! #chilhavisto",it,False,1466146241600016397,2021-11-24 20:44:38+00:00,
@Poulin2012 il est peut-être hospitalisé pour une forme moins grave du covid 😋,fr,False,1466146241453121544,2021-11-24 20:44:38+00:00,replied_to
@TimRunsHisMouth The boy who cried wolf. Or the media who cried COVID. https://t.co/zTughngCrd,en,False,1466146241142616068,2021-11-24 20:44:38+00:00,replied_to
Nem o covid me deixou tão debilitado 🤦🏻‍♂️🤦🏻‍♂️,pt,False,1466146240035495936,2021-11-24 20:44:37+00:00,
@DrSautner @CBCEdmonton The vaccinated are only extending and encouraging the game before us. Do you really feel good about encouraging people to be so very naive? Did the Rothschild family really have our interests at hand with patents for COVID testing dating back to 2015? Happily blind and naive??,en,False,1466146238894465024,2021-11-24 20:44:37+00:00,replied_to
"@croquemboche @fatgrumpycat1 @Zinnsgh0st People should get vaccinated, but vaccine mandates seem to make less sense now. Compared to measles, rubella, polio etc, where they were crucial, with covid a vac mandate may not be nearly as effective given the mutation rate.",en,False,1466146237544026116,2021-11-24 20:44:37+00:00,replied_to
@APosoukh @Deus_Abscondis @hmatejx @mjtimber2 @Kevin_McKernan @handoferreira @ProfTimNoakes @BrentCa24718741 @kueny_michael @jsm2334 @justask66054535 @jimmy_dore @ggreenwald @mtaibbi @AlexBerenson @aaronjmate @KimIversenShow @MartinKulldorff @FatEmperor @NickHudsonCT @creon @TuckerGoodrich @mtracey @KyleKulinski @Dr_ScottMc @CL4Syr I think this all started with vac transmit covid.  I think we all agree to that point.  We don't agree on transmission reduction.  There is for sure seasonality and waning that come into play and likely prevalence of natural immunity.,en,False,1466146237418250241,2021-11-24 20:44:37+00:00,replied_to
"@CamiDupree @dozecat007 @LaoTzu5 @Leew96727210 @GAULEITEROWENJ1 @AmolPartridge @A_2_Loyal @CremanteCommie @dionysuslilipu1 @ObergefreiterM @Janekelly25 @JustinBaileyart @Tararabumdeay0 @MumofFatCassie @jajhed1 @pondOFthoughts @Wurzelg3 @RANTER_DAD @LiamThorpECHO @COVID19 @BBCPM @DavidOlusoga @taylor_stevie @danroan @JamesDelingpole @MrJoshPerry @GMB @SkyNews @BBCNews @Channel4News @bbc5live @BBCr4today @BBCRadio4 @HugoWinogradsky @skygillian @NickyAACampbell @ryantubridy @coronavirus @Rentadad @TonyBlair @campbellclaret @BBCNewsnight @lottery @covid @CovOddballs @itvnews @MayaGoodfellow @DonaldJTrump they actually say @SleepyJoe is dead 
sadly 
@GBNEWS 😐",en,False,1466146235425951749,2021-11-24 20:44:36+00:00,replied_to
"@HangingProphets It's legit: 
”Why have you mobilized the police to check whether people are wearing face masks? ” he turned to the minister of internal affairs: “I warned you. Do you have nothing else to do? Why are you breaking the law?
https://t.co/KZCeBaP1mG",en,False,1466146234931064838,2021-11-24 20:44:36+00:00,replied_to
"My luck with after school clubs has been super wack. For 4 years in china I tried to get an American football club going. When the school finally said yes, covid happened, lol. 
At my current job I've been trying to get eSports for over a year, and now, finally...! We take those https://t.co/F26mZf01RC",en,False,1466146233710309382,2021-11-24 20:44:36+00:00,
"@le__lex thank you lex!! 💖 I’m fine but my dad tested positive for covid, we’re fully vaxxed tho so cold symptoms have luckily been the worst of it!",en,False,1466146233358200832,2021-11-24 20:44:36+00:00,replied_to
"Does anyone know how, or how long the Covid Vaccine Cert takes to get updated to include the booster shot date - am guessing it will become important for travel @HSELive #COVIDBooster #EUCovidCertificate https://t.co/Wy5QjMBAZx",en,False,1466146232804548611,2021-11-24 20:44:36+00:00,
"カリフォルニア州でCOVIDの新種#Omicronが米国で初めて検出される。

ファウチ博士 ""カリフォルニア州とサンフランシスコの公衆衛生局とCDCは、カリフォルニア州の個人の間で最近発生したCOVID-19の症例がオミクロンバリアントによるものであることを確認しました。"" https://t.co/CLrd7tnXK9",ja,False,1466146232762449923,2021-11-24 20:44:36+00:00,quoted
@mirkhe https://t.co/igaQFiKhyc,und,False,1466146232502472705,2021-11-24 20:44:36+00:00,replied_to
"Son zamanlarda iki kişilik yediğim yemek fiyatları : Sur, Yenişehir, Diclekent, Mahabad Bulvarı(75), 120 TL, 110 TL , 140, 180 TL … bu parayı vereceğime kasabından aynı parayla etini al, evinde pişir. En azından ne yediğini biliyorsun. Covid ve enflasyonla gelen ahlaksızlık moda https://t.co/Z2sw90PwbI",tr,False,1466146232313782276,2021-11-24 20:44:36+00:00,quoted
"@henrymcmaster Neanderthal. What about victims of rape that become pregnant, babies having &amp; trying to raise babies. Your stance on covid vaccines is your body, your choice. Shouldn't the same apply here...you are such a flipping hypocrite.
#voteoutthetroglodyte https://t.co/VFfn2SyZpA",en,False,1466146231672094724,2021-11-24 20:44:35+00:00,replied_to
Gonna try to make it to Barbados if they change the COVID rules according my my vaccination mandate: #TSA https://t.co/kA8krvshFF https://t.co/BBrogEooFE,en,False,1466146230749249536,2021-11-24 20:44:35+00:00,quoted
"In the continuing saga of being billed $150 for two rapid COVID tests, @MercySGF Go Health just told my husband that because they've had issues with some insurance covering the tests that they're requiring payment up front. (1/2)",en,False,1466146230686425092,2021-11-24 20:44:35+00:00,
@Harlzyy @ERIKLEREBIRTH Probably is covid https://t.co/ZCgidebWcX,en,False,1466146230241738759,2021-11-24 20:44:35+00:00,replied_to
"seems like the common theme of a One World Gov is alive &amp; well. Control of the world was put in motion under Obama &amp; now it's in high gear w/CoVid, Socialist Marxist model is here to stay if we the people don't wake up &amp; understand our voting consequences

https://t.co/2KRnvuDHPp",en,False,1466146229398740999,2021-11-24 20:44:35+00:00,
"Los técnicos de Sanidad no consideran útil el uso del pasaporte covid en España.

https://t.co/5EyjPx6yO5",es,False,1466146228283056135,2021-11-24 20:44:35+00:00,
"Buhari Receives South African President, Delegates In Abuja For Trade Talks Amid Omicron COVID-19 Variant https://t.co/vhitllFzec",en,False,1466146227943354371,2021-11-24 20:44:35+00:00,
@LCFC I'm telling you. If it's not covid or the vaccine I'll be surprised!,en,False,1466146227339288581,2021-11-24 20:44:34+00:00,replied_to
"#EnergiaNews 🗞️

Covid-19: SP registra 3º caso da variante Ômicron https://t.co/gkIhfdAhoe https://t.co/1kdnHYfOSM",pt,False,1466146227259686916,2021-11-24 20:44:34+00:00,
"@gouvernementFR Grippe saisonnière : 600 malades pour 100 000 habitants 
Covid : 22 malades pour 100 000 habitants
Il n'y a jamais eu de pandémie",fr,False,1466146226697650190,2021-11-24 20:44:34+00:00,replied_to
"Montreal’s office sector has received $7.9 billion of investment year-to-date — excluding a massive $5.7 billion sale last month that’s slated to close in January.

Read more about Quebec, the unlikely leader of Canada's post-COVID economic recovery. https://t.co/qZF1TrjC8T",en,False,1466146226626183172,2021-11-24 20:44:34+00:00,
If only #Fauci would own up to the science he represents and find the origins of COVID?. https://t.co/n2RQgoaEbL,en,False,1466146224961163264,2021-11-24 20:44:34+00:00,quoted
@RealBonezBonez @LisaMarieBoothe Be careful I really hope you have good insurance Covid has no mercy and when you get it you're going to run to the hospital and doctor's for help when you get sick remember what I told you,en,False,1466146224101376000,2021-11-24 20:44:34+00:00,replied_to
@mikebetsonstuff @bradynichols85 @JPW_NBCSports Covid?,en,False,1466146223698681862,2021-11-24 20:44:34+00:00,replied_to
@luisjsalazarv NADA ahora en tiempos de COVID sería cómo irte a contagiar a lo estúpido. 😀👍,es,False,1466146223404978176,2021-11-24 20:44:33+00:00,replied_to
