text,lang,possibly_sensitive,tweet_id,created_at,type,clean_tweet
"@wonubits the name is It's Jeff! But Clint only appeared in the last issue 😭

tbh if you want currently Clint's content, he's showing up in the currently Black Widow comic :)",en,False,1.46446E+18,2021-11-27T04:52:42.000Z,replied_to,"['content', 'jeff', 'currently', 'comic', '!', 'last', 'want', 'tbh', 'name', 'issue', 'black', ')', 'appeared', 'clint', ""'s"", 'widow', 'showing']"
the scene in black widow where the red room is falling out of the sky &gt;&gt;&gt;&gt;&gt;&gt;,en,False,1.46446E+18,2021-11-27T04:51:07.000Z,,"['falling', 'scene', '&', 'room', 'black', 'red', 'sky', 'gt', 'widow']"
The Black Widow movie was good as fuck what the hell,en,False,1.46446E+18,2021-11-27T04:50:27.000Z,,"['fuck', 'good', 'movie', 'hell', 'black', 'widow']"
"✨Hawkeye and Black Widow✨

I also posted this on Instagram angels_.brock…

@ColbyBrock @KatStuartMusic https://t.co/iR5xMDOfGF",en,True,1.46446E+18,2021-11-27T04:50:05.000Z,,"['posted', 'also', 'instagram', 'brock', 'angel', 'black', 'hawkeye', 'widow']"
"109. Black Widow (2021). Florence Pugh was a great addition despite her questionable accent at times. While not the best MCU, it’s fun and great to see Scarlett Johansson one last time as Natasha Romanoff. I love Yelena and can't wait to see her in future MCU movies. ⭐⭐⭐1/2 https://t.co/IVHZT26bDH",en,False,1.46446E+18,2021-11-27T04:49:39.000Z,replied_to,"['despite', 'movie', 'love', 'wait', 'fun', 'can', '2021', 'johansson', 'addition', 'widow', 'last', '(', 'future', ')', 'scarlett', 'great', 'time', '1/2', 'mcu', 'accent', 'natasha', 'black', 'not', 'questionable', 'florence', 'one', 'romanoff', 'see', 'pugh', '109', 'time', 'best', 'yelena']"
@TheDeviantSaint @OSPyoutube I'd say UP! is an example of it being done better since the movie is a contained unit and most of the story is about dealing with the grief. With Black Widow it felt forced because there was ample prior opportunity to build the character.,en,False,1.46446E+18,2021-11-27T04:48:05.000Z,replied_to,"['dealing', 'up', 'unit', 'say', 'contained', 'movie', 'ample', 'grief', 'widow', 'opportunity', 'done', 'character', 'would', '!', 'since', 'story', 'example', 'felt', 'black', 'better', 'build', 'prior', 'forced', 'I']"
Lada Lyumos nude Cosplay Black widow https://t.co/vzmCZT6K5v,en,False,1.46446E+18,2021-11-27T04:47:36.000Z,,"['nude', 'lada', 'cosplay', 'lyumos', 'black', 'widow']"
"@JamalRIP I was just considering asking you about your thoughts on that very run, ironically enough. I wasn’t too impressed by her first two Black Widow arcs, but I loved her Hawkeye run a lot. I’ll look into reading her Captain Marvel run after I read DeConnick’s",en,False,1.46446E+18,2021-11-27T04:46:30.000Z,replied_to,"['enough', 'reading', 'captain', 'loved', 'two', 'marvel', 'widow', 'hawkeye', 'read', 'considering', ""'s"", 'asking', 'impressed', 'thought', 'black', 'lot', 'deconnick', 'first', 'look', 'arc', 'ironically', 'run', 'I']"
I had a dream where I was talking to someone explaining the Borg to them and another I was fighting some assassin hand to hand combat LOL I even kicked outward like Physically KICKED I FELT LIKE BLACK WIDOW,en,False,1.46446E+18,2021-11-27T04:44:21.000Z,replied_to,"['even', 'outward', 'widow', 'physically', 'combat', 'lol', 'talking', 'fighting', 'explaining', 'hand', 'assassin', 'felt', 'someone', 'kicked', 'black', 'another', 'like', 'dream', 'borg']"
These are some black widow moves https://t.co/CVMvSBo2wl,en,False,1.46446E+18,2021-11-27T04:44:19.000Z,quoted,"['move', 'black', 'widow']"
gente ninguém percebeu que tava tocando a música black widow no final de hawkeye quando a mulher apareceu no final do episódio como assim,pt,False,1.46445E+18,2021-11-27T04:40:06.000Z,,"['como', 'de', 'apareceu', 'widow', 'gente', 'final', 'quando', 'musica', 'black', 'hawkeye', 'episodio', 'tocando', 'mulher', 'assim', 'tava', 'que', 'ninguem', 'percebeu']"
@BlattyLovesYou Also only reason I say black widow is bottom 2 is because of a couple just horrendous looming shots they got in that movie with terrible wire work and bad CGI but most of all because they released it 6-8 years too late,en,False,1.46445E+18,2021-11-27T04:40:03.000Z,replied_to,"['work', 'bottom', 'say', 'movie', '6', 'widow', 'released', '8', 'also', 'cgi', 'got', 'shot', 'black', 'looming', 'terrible', 'wire', '2', 'late', 'couple', 'year', 'reason', 'bad', 'horrendous']"
@fastest_llama black widow island theme 😝😝😛😛😛😋😋,en,False,1.46445E+18,2021-11-27T04:37:36.000Z,replied_to,"['llama', 'island', 'theme', 'black', 'widow']"
"@889romo @889Noticias Fui con mis sobrinos a ver ""Black Widow"", de Marvel, a mediados de año.",es,False,1.46445E+18,2021-11-27T04:37:18.000Z,replied_to,"['de', 'sobrinos', 'ano', 'fui', 'mediados', 'mi', 'ver', 'black', 'con', 'marvel', 'widow']"
"BLACK WIDOW 1999, ISSUE THREE https://t.co/LcIxzfF0sd",en,False,1.46445E+18,2021-11-27T04:37:14.000Z,,"['three', 'issue', 'black', '1999', 'widow']"
"Would you believe me if I said I haven't watched Raya the Last Dragon, Venom 2, Shang Chi, or Black Widow? https://t.co/sCILGvfO0P",en,False,1.46445E+18,2021-11-27T04:36:42.000Z,,"['raya', 'believe', 'last', 'dragon', 'shang', 'venom', '2', 'chi', 'said', 'black', 'watched', 'would', '?', 'widow']"
@TheDeviantSaint @OSPyoutube It's more like attempted dodging fridging and it has mixed results. She talked about them trying it with Black Widow in Endgame,en,False,1.46445E+18,2021-11-27T04:31:50.000Z,replied_to,"['endgame', 'like', 'dodging', 'mixed', 'fridging', 'widow', 'black', 'talked', 'attempted', 'result', 'trying']"
Captain marvel and black widow are the two worst MCU movies https://t.co/toJLfXNJEa,en,False,1.46445E+18,2021-11-27T04:31:10.000Z,quoted,"['worst', 'mcu', 'movie', 'captain', 'black', 'two', 'marvel', 'widow']"
"BLACK WIDOW 2001, ISSUE 1 https://t.co/1PfAPIKJGC",en,False,1.46445E+18,2021-11-27T04:29:09.000Z,,"['issue', 'black', '1', '2001', 'widow']"
"@MiKeMeUpP @NFLDraftTalker @RayGQue Black Widow had 2 things wrong with it that took me out of the movie.

1. All of the scenes with Taskmaster had a man doing the stunts. 

2. The ""Mom""  invented the tech that made the women slaves with no free will but she's viewed as a good person when she was really a villain",en,False,1.46445E+18,2021-11-27T04:26:45.000Z,replied_to,"['man', 'stunt', 'movie', '1', 'person', 'widow', 'mom', 'slave', 'taskmaster', 'viewed', 'really', 'took', 'invented', 'villain', 'made', 'tech', 'scene', 'black', 'good', 'wrong', '2', 'free', 'thing', 'woman']"
That’s the fkn black widow https://t.co/s0VhMrPuw0,en,False,1.46445E+18,2021-11-27T04:25:22.000Z,quoted,"['black', 'fkn', 'widow']"
Alice Cooper - The Black Widow https://t.co/m7493OmdAF,en,False,1.46445E+18,2021-11-27T04:25:12.000Z,,"['alice', 'black', 'cooper', 'widow']"
Black Widow Returns to Her Very First Costume In '60s-Themed Cosplay https://t.co/XxtzALYpbq,en,False,1.46445E+18,2021-11-27T04:22:48.000Z,,"['return', 'first', 'cosplay', 'themed', 'costume', 'black', ""'60s"", 'widow']"
@PTS_AD BLACK WIdow et clint  c tt,en,False,1.46445E+18,2021-11-27T04:22:30.000Z,replied_to,"['tt', 'et', 'c', 'ad', 'black', 'clint', 'widow']"
Why wasn’t black widow about how Natasha joined shield? Can give less than a shit about Russian Weinstein.,en,False,1.46445E+18,2021-11-27T04:22:03.000Z,,"['give', 'le', 'russian', 'shit', 'natasha', 'joined', 'black', '?', 'shield', 'weinstein', 'widow']"
"Por fin fui valiente y vi black widow, ahora me duele más que antes 😪💔",es,False,1.46445E+18,2021-11-27T04:21:19.000Z,,"['vi', 'por', 'duele', 'valiente', 'fui', 'widow', 'ma', 'ahora', 'black', 'ante', 'que', 'fin']"
"POV you’re watching Black Widow with your girlfriend…

Me: 
Her: What’s his name again? Task manager?",en,False,1.46445E+18,2021-11-27T04:20:59.000Z,,"['manager', 'again', 'watching', 'girlfriend', 'pov', 'black', 'name', '?', 'task', 'widow']"
The Ondios - The Black Widow https://t.co/kyPmLbzWek,en,False,1.46445E+18,2021-11-27T04:20:46.000Z,,"['black', 'ondios', 'widow']"
"#NOWPLAYING Iggy Azalea - Black Widow 

CLICK HERE TO LISTEN 
➡️ https://t.co/vOgEUK36ML  

#freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40 Follow us @freqnetwork",en,False,1.46445E+18,2021-11-27T04:20:15.000Z,,"['iggy', 'azalea', 'click', 'listen', 'u', 'black', 'follow', 'widow']"
"Finally Watched Black Widow.

Such a good movie.",en,False,1.46445E+18,2021-11-27T04:19:59.000Z,,"['good', 'movie', 'black', 'watched', 'finally', 'widow']"
"Went To Church this past week. Felt good. Also I cut ✂️ my neighbor's yard,  played hungry hungry hippo with my nephew,  Saved a Lizard from a Black Widow,  fed poor people in Wuhan..#lifeisgood",en,False,1.46445E+18,2021-11-27T04:19:38.000Z,,"['hippo', 'neighbor', 'wuhan', 'played', 'widow', 'yard', 'past', ""'s"", 'fed', 'poor', 'nephew', 'church', 'also', 'went', 'week', 'felt', 'hungry', 'black', 'good', 'saved', 'people', 'lizard', 'cut']"
Game Tokens: Black Widow https://t.co/Y5VvjlwOMA,en,False,1.46445E+18,2021-11-27T04:19:01.000Z,,"['game', 'black', 'token', 'widow']"
@LEVlSJEAN i ended up watching black widow for the fourth time instead of hawkeye can we talk about that instead,en,False,1.46445E+18,2021-11-27T04:18:52.000Z,replied_to,"['time', 'watching', 'fourth', 'instead', 'black', 'hawkeye', 'ended', 'talk', 'widow']"
@KEBNAVER kwon eunbi black widow #KwonEunbi #권은비 @KWONEUNBI,en,False,1.46445E+18,2021-11-27T04:17:27.000Z,replied_to,"['kwon', 'eunbi', 'black', 'widow']"
Might fuck around and watch the black widow movie too idk idk,en,False,1.46445E+18,2021-11-27T04:17:08.000Z,,"['fuck', 'widow', 'movie', 'black', 'watch', 'idk', 'around', 'might']"
@Starlightnickii @IGGYAZALEA @NICKIMINAJ Please share and donate to black elderly sick grandmother’s fundraiser. https://t.co/bgXisQhjjR https://t.co/cVKgyXt1Kh,en,False,1.46445E+18,2021-11-27T04:17:01.000Z,replied_to,"['elderly', 'please', 'fundraiser', 'sick', 'share', 'black', 'donate', ""'s"", 'grandmother']"
natasha romanoff | scarlett johansson | disney | black widow | yelena belova | nat | stevenat | wandanat | carolnat | thread | edit | fancam | carrd | iron man 2 | marvel cast | tutorial | brie larson | chris evans | elizabeth olsen | blackhill | buckynat https://t.co/BGGtR5bcx6,en,False,1.46445E+18,2021-11-27T04:15:56.000Z,,"['man', 'belova', 'nat', 'tutorial', 'edit', 'disney', 'johansson', 'carrd', 'widow', 'stevenat', 'marvel', 'wandanat', 'olsen', 'chris', 'scarlett', 'cast', 'brie', 'natasha', 'black', 'iron', 'elizabeth', 'evans', 'larson', 'romanoff', 'thread', 'buckynat', 'fancam', 'blackhill', '2', 'carolnat', 'yelena', '|']"
"Now Playing: The Animal in Me - Black Widow [Explicit] 
Listen to us on https://t.co/vbJ0PQaKsB
Or Find us on TuneIn Search ""Dark Star Radio"" 
#online #radio #tunein #nowplaying #music",en,False,1.46445E+18,2021-11-27T04:15:56.000Z,,"['playing', 'animal', 'radio', 'explicit', ']', 'listen', 'u', 'search', 'black', '[', 'dark', 'star', 'find', 'tunein', 'widow']"
"PDF Download =&gt; https://t.co/AMQPhAMwoW
 Black Widow Official Movie Special Book https://t.co/j9ePfuhncz",en,False,1.46445E+18,2021-11-27T04:14:40.000Z,,"['&', 'special', 'movie', 'download', '=', 'black', 'book', 'pdf', 'official', 'gt', 'widow']"
I dont know why you all were hating on Black Widow so much.. the whole movie was solid A rating with the beginning 100% my favorite opening in a marvel movie yet👀,en,False,1.46445E+18,2021-11-27T04:14:27.000Z,,"['opening', 'much', 'favorite', 'rating', '100', 'beginning', '%', 'solid', 'movie', 'know', 'black', 'marvel', 'hating', 'yet', 'whole', 'widow']"
@CenayangFilm Sebenarnya dipost credit scene black widow udah jelas siii kenapa Yelena ini bakal ada diseries hawkeye. Dia dihasut oleh Val untuk memburu Clint dengan memanfaatkan kematian Natasha Romanoff di Endgame seolah disebabkan oleh Clint. Cmiiw,in,False,1.46445E+18,2021-11-27T04:14:14.000Z,replied_to,"['endgame', 'credit', 'seolah', 'bakal', 'udah', 'oleh', 'sebenarnya', 'widow', 'dihasut', 'scene', 'siii', 'ini', 'dengan', 'cmiiw', 'hawkeye', 'untuk', 'dipost', 'kenapa', 'disebabkan', 'dia', 'natasha', 'black', 'clint', 'jelas', 'val', 'ada', 'romanoff', 'kematian', 'memanfaatkan', 'memburu', 'diseries', 'yelena', 'di']"
Review of Black Widow: It was alright... yeah that's it,en,False,1.46445E+18,2021-11-27T04:12:12.000Z,,"['yeah', 'review', 'alright', 'black', 'widow']"
Did you watch Black Widow? https://t.co/ctScUAa0FR,en,False,1.46445E+18,2021-11-27T04:12:02.000Z,quoted,"['black', 'watch', 'widow', '?']"
@iamshellz I enjoyed black widow but it didn’t really matter in the grand scheme of things since she’s very much dead,en,False,1.46445E+18,2021-11-27T04:10:58.000Z,replied_to,"['dead', 'scheme', 'much', 'since', 'grand', 'really', 'enjoyed', 'black', 'thing', 'matter', 'widow']"
Black Widow is good AF!,en,False,1.46445E+18,2021-11-27T04:10:15.000Z,,"['good', '!', 'af', 'black', 'widow']"
"⚠️ AGAK SPOILER BLACK WIDOW ⚠️
berarti timeline nya mvs black widow itu after civil war kan ya? soalnya nat jadi buron di black widow",in,False,1.46445E+18,2021-11-27T04:10:01.000Z,,"['timeline', 'nat', 'berarti', 'buron', 'kan', 'widow', 'soalnya', 'mv', '?', 'ya', 'nya', 'civil', 'war', 'black', 'agak', 'spoiler', 'itu', 'jadi', 'di']"
"Back to theaters after more than a year. I did pretty OK this summer (5-scale):
Black Widow 🔥🔥🔥.5
Summer of Soul 🔥🔥🔥🔥
Do The Right Thing 🔥🔥🔥🔥🔥
Roadrunner 🔥🔥🔥
The Green Knight 🔥🔥🔥
Shang-Chi 🔥🔥🔥
Eternals 🔥🔥
The French Dispatch 🔥🔥🔥🔥
Belfast 🔥🔥🔥.5",en,False,1.46445E+18,2021-11-27T04:09:53.000Z,,"['belfast', 'eternals', 'year', 'summer', 'widow', 'pretty', 'back', '(', 'green', ')', 'thing', 'knight', 'soul', 'ok', 'right', 'theater', 'scale', 'shang', 'black', 'dispatch', 'roadrunner', '5', 'chi', 'french']"
@iluvmidgetss Imo all the iron mans are hella good but black widow should definitely be higher,en,False,1.46445E+18,2021-11-27T04:08:38.000Z,replied_to,"['definitely', 'good', 'hella', 'higher', 'black', 'going', 'man', 'iron', 'widow', 'I']"
Black Widow Got Crazy In The Black Dress,en,False,1.46445E+18,2021-11-27T04:08:10.000Z,,"['dress', 'got', 'crazy', 'black', 'widow']"
@Callanchu2 Imma watch black widow again but iron man 2 was mid,en,False,1.46445E+18,2021-11-27T04:08:02.000Z,replied_to,"['man', 'mid', '2', 'black', 'watch', 'imma', 'iron', 'widow']"
"Just watched Black Widow for the first time, it's very pog ngl I liked it more than I expected",en,False,1.46445E+18,2021-11-27T04:05:53.000Z,,"['time', 'first', 'ngl', 'liked', 'black', 'watched', 'expected', 'pog', 'widow']"
