lang,tweet_id,created_at,text,possibly_sensitive,type,clean_tweet
en,1466151300928876544,2021-11-26 21:04:44+00:00,"@BradH36 @WaveAether @ThomasManson420 @illinidiva12 @AmiableQuinn @NateSilver538 Finally someone who supports the end of sober driving mandates!

Covid has killed 28x more a year than drunk drivers at their height! Let’s end the tyranny of sober driving mandates! Seatbelts only work 40% of the time!!!",False,replied_to,"['u', 'seatbelt', 'end', 'time', 'killed', '!', 'someone', '%', 'sober', 'let', 'height', 'driving', 'finally', '28x', 'support', 'year', 'mandate', 'covid', 'work', '40', 'driver', 'drunk', 'tyranny']"
en,1466151300463214594,2021-11-26 21:04:44+00:00,@JustinTrudeau Are you going to put out a tweet with condolences and well wishes to those that have been vaccine injured and deleted? Hospital wait times were long prior to COVID. How about you send condolences to those that have had their surgeries cancelled / delayed too?,False,replied_to,"['injured', 'send', 'deleted', 'surgery', 'delayed', 'condolence', 'too', 'prior', 'hospital', '?', 'tweet', 'well', 'wish', 'vaccine', 'long', 'cancelled', 'going', 'covid', 'time', '/', 'wait', 'put']"
en,1466151297586020353,2021-11-26 21:04:43+00:00,Negative Covid Test! Holidaze here I come!,False,,"['come', 'covid', 'holidaze', 'negative', '!', 'test']"
pt,1466151297095192580,2021-11-26 21:04:43+00:00,Alemanha tem maior número... https://t.co/ItXWMyEczW,False,,"['tem', 'numero', 'alemanha', 'maior']"
en,1466151296835194895,2021-11-26 21:04:43+00:00,"@StateDept 'Gayle Smith’s Service as the Coordinator for Global COVID-19 Response and Health Security' The wrong person for a critical role the US must play! Gayle is Mama TPLF, and Africans do not trust her! #UnityForEthiopia #NoMore #TPLFSURRENDERNOW #EthiopiaPrevails",False,,"['trust', '19', '!', 'wrong', ""'"", 'gayle', 'mama', 'african', 'critical', 'health', 'person', 'smith', 'her', 'role', 'tplf', 'must', ""'s"", 'covid', 'coordinator', 'play', 'global', 'service', 'security', 'response', 'u', ""'gayle""]"
en,1466151296591880193,2021-11-26 21:04:43+00:00,New York 'Entering A Vulnerable Time' With COVID https://t.co/9mzk7iS8I0,False,,"[""'entering"", 'vulnerable', 'york', ""'"", 'covid', 'time', 'new']"
nl,1466151295618801673,2021-11-26 21:04:43+00:00,"@MaartenHijink Geen covid19 probleem, maar een beleidsprobleem.

Griep 2017/2018 : duur 18 weken, 16.000 ziekenhuisopnames, 9.500 overledenen
https://t.co/jhcO46J0Zh

Covid 19 2020/2021: duur 92 weken, 35.517 ziekenhuisopnames, 19.414 overledenen,zie p5
https://t.co/9vWVbkObd4",False,replied_to,"['ziekenhuisopnames', 'overledenen', '000', '414', '19', '9', 'probleem', 'maar', '16', 'zie', 'duur', '2020/2021', '517', '2017/2018', 'geen', '18', 'p5', '500', 'weken', 'beleidsprobleem', 'covid19', 'covid', '92', '35', 'griep', 'een']"
en,1466151295354556419,2021-11-26 21:04:43+00:00,"@optionsmafia1 What’s crazy is that they already know that the vaccine worked as expected for the case in California - he was vaccinated with MRNA vaccine (not boosted) got omicron covid, got mild disease (same as with delta cases in vaccinated people) and he’s already all better. SMH 🤦‍♂️",False,replied_to,"['worked', 'case', 'mild', 'crazy', 'expected', 'disease', 'mrna', 'not', 'vaccinated', '(', 'smh', 'better', 'same', ')', 'people', 'vaccine', 'omicron', 'california', 'covid', 'delta', 'already', 'got', 'know', 'case', 'boosted']"
en,1466151295224619018,2021-11-26 21:04:43+00:00,"@InRodWeTrustMTL Beats, Bears and Battlefield Galactica for Dwight, and Congress, Covid Courtrooms Drama for the US",False,replied_to,"['covid', 'drama', 'battlefield', 'congress', 'courtroom', 'beat', 'dwight', 'galactica', 'u', 'bear']"
en,1466151294909906957,2021-11-26 21:04:43+00:00,"@TomiLahren Regressive Republican Covid playbook: 

C-onspiracy
O-bfuscation
V-ilify
I-nveigle
D-emonic personification*

*Deploy only if the first four don’t work 

#UselessAmericaFirst #UselessRepublicans #DoNothing #AntiScience #AntiVaxx #StupidKills #WakeUp",False,replied_to,"['first', 'covid', '*', 'onspiracy', 'regressive', 'ilify', 'work', 'deploy', 'playbook', 'c', 'v', 'emonic', 'personification', 'four', 'nveigle', 'bfuscation', 'republican']"
pl,1466151294729658369,2021-11-26 21:04:43+00:00,"@profMarekBelka Karmił akurat kota w drugim pokoju, kiedy w Wiadomościach mówili: „Rzesze zmarłych na covid. IV fala nie odpuszcza w Europie.” Fakt, że to był już koniec wydania, a nie było jeszcze nic o Niemczech, utwierdził go w przekonaniu, że dobrze słyszał…chodziło o IV Rzeszę, pomyślał.",False,replied_to,"['karmil', 'przekonaniu', 'fakt', 'iv', 'europie', 'akurat', 'utwierdzil', 'mowili', 'fala', 'nie', 'dobrze', 'wiadomosciach', 'odpuszcza', 'slyszal', 'ze', 'zmarlych', 'drugim', 'kiedy', 'koniec', 'bylo', 'niemczech', 'na', 'pomyslal', 'kota', 'rzesze', 'covid', 'pokoju', 'w', 'wydania', 'jeszcze', 'chodzilo', 'go', 'juz', 'nic', 'byl']"
en,1466151294352121860,2021-11-26 21:04:43+00:00,"Turns out while @ChrisChristie was prepping the dotard in close quarters for his first debate and coaching him to keep interrupting Joe Biden while he was talking because you can throw people with stutter off track by interrupting them, he was catching Covid from 🍊🤡.
#Karma",False,,"['biden', 'joe', 'close', 'stutter', 'coaching', 'turn', 'talking', 'keep', 'catching', 'debate', 'track', 'people', 'dotard', 'interrupting', 'first', 'covid', 'quarter', 'prepping', 'throw']"
en,1466151293576093702,2021-11-26 21:04:42+00:00,"The Guardian: Trump tested positive for Covid-19 ahead of 2020 debate with Biden

https://t.co/0pKxyEoyhs",False,,"['biden', 'covid', 'trump', '2020', 'tested', '19', 'debate', 'guardian', 'ahead', 'positive']"
it,1466151293349765123,2021-11-26 21:04:42+00:00,"STANNO FACENDO IMPAZZIRE GLI ITALIANI. 
SU TUTTE LE RETI TV E 
A TUTTE LE ORE SOLO DIBATTITI SUL COVID E 
TUTTI CATASTROFISTICI.",False,,"['catastrofistici', 'covid', 'tutti', 'reti', 'italiani', 'impazzire', 'stanno', 'tv', 'e', 'solo', 'tutte', 'sul', 'ore', 'dibattiti', 'le', 'gli', 'facendo', 'su']"
en,1466151293286760464,2021-11-26 21:04:42+00:00,"@Markafc87 Them, because they might get covid or pass on covid. They will definitely die of cancer if they don’t have treatment, but the NHS say no, because you might catch covid. It’s insane?!",False,replied_to,"['covid', 'treatment', '?', 'catch', '!', 'cancer', 'say', 'definitely', 'pas', 'insane', 'nh', 'die', 'get', 'might']"
en,1466151293177798666,2021-11-26 21:04:42+00:00,"@ScottMonty @FPWellman Amy Covid Barrett, the positive test result, and the PA rally all occurred on 9/26, in that order.",False,replied_to,"['covid', 'barrett', '9/26', 'order', 'amy', 'pa', 'rally', 'test', 'result', 'occurred', 'positive']"
en,1466151293093912580,2021-11-26 21:04:42+00:00,"❗ ❗ ATTENTION! #BarnstableCounty's upcoming COVID-19 vaccine clinics scheduled for 12/2 and 12/9 are now FULL. Walk-in appts. are not guaranteed. The next available clinic date is Thursday, 12/16. https://t.co/aME8V4AnhC. Thank you for your patience and understanding! https://t.co/6uHz2c8kJn",False,,"['guaranteed', 'next', '19', '12/16', '!', '12/2', 'scheduled', '12/9', 'upcoming', 'clinic', 'thursday', 'appts', 'attention', 'clinic', 'full', 'vaccine', ""'s"", 'covid', 'walk', 'date', 'available']"
it,1466151292888305665,2021-11-26 21:04:42+00:00,In effetti è vero: poveri giovani con sto Covid!  #chilhavisto,False,,"['vero', 'covid', 'sto', '!', 'con', 'e', 'effetti', 'giovani', 'poveri']"
es,1466151291953061890,2021-11-26 21:04:42+00:00,"@Europarl_ES Y para las vacunas covid, qué estándares tenéis establecidos? Respetan tiempos mínimos de seguridad antes de salir al mercado? Contrastan investigaciones y datos de científicos que cuestionan su seguridad? Cómo? Hacéis públicas todas las contraindicaciones de vacunas?",False,replied_to,"['ante', 'investigaciones', 'vacunas', 'su', 'toda', 'la', 'haceis', 'respetan', 'datos', '?', 'establecidos', 'cientificos', 'tiempos', 'mercado', 'de', 'estandares', 'al', 'contrastan', 'e', 'covid', 'publicas', 'como', 'que', 'contraindicaciones', 'minimos', 'teneis', 'salir', 'cuestionan', 'seguridad', 'para']"
en,1466151291130843144,2021-11-26 21:04:42+00:00,"@AveryB64 Well, it's all anecdotes at this point. 

https://t.co/W6zZSAzqCK",False,replied_to,"['well', 'point', 'anecdote']"
es,1466151290208202761,2021-11-26 21:04:42+00:00,"Sarreaus, San Xoan de Río, Trabada, Lourenzá, Cariño, Zas y Santiso pasan 0 casos a ""entre 1 y 9""; Trasmirás, O Irixio, O Vicedo, Pol, Lancara, Xermade, Trazo, Touro y Melida hacen el camino contrario #Galicia #Sanidad #SERGAS #Coronavirus #COVID19 https://t.co/tSm6v87H3o",False,,"['trabada', 'irixio', 'entre', 'melida', 'san', '9', 'contrario', 'lourenza', '1', 'carino', 'zas', 'vicedo', 'rio', 'trazo', 'xermade', 'el', 'xoan', 'pasan', 'de', 'lancara', 'santiso', 'camino', 'trasmiras', 'hacen', '0', 'sarreaus', 'touro', 'pol', 'casos']"
de,1466151289960767496,2021-11-26 21:04:41+00:00,"@WahnSager @turkishmaid @bblfish @SHomburg @OurWorldInData Und das sind nur die Vergleiche der schwerwiegenderen Fälle. Aber wie schon geschrieben: Das ist in meiner Wirklichkeit.
Und um nicht nur einseitig zu berichten:
Ich kenne über 20 Leute mit Nebenwirkungen geringer Schwere nach Impfung. Ich kenne aber nur 10 mit leichten Covid.",False,replied_to,"['nebenwirkungen', 'geschrieben', 'und', 'ist', '10', 'um', 'nur', 'sind', 'vergleiche', '20', 'uber', 'schwere', 'falle', 'nicht', 'einseitig', 'die', 'berichten', 'meiner', 'ich', 'leute', 'wirklichkeit', 'schon', 'mit', 'aber', 'der', 'kenne', 'leichten', 'impfung', 'da', 'covid', 'zu', 'geringer', 'schwerwiegenderen', 'wie', 'nach']"
en,1466151289641914374,2021-11-26 21:04:41+00:00,@sisufos1 @ProfessorPongo @RubinReport @benshapiro You’ve got it all wrong. Trump was the one who wanted you to shove a light up your ass to cure COVID.,False,replied_to,"['covid', 'shove', 'as', 'cure', 'trump', 'wanted', 'light', 'got', 'wrong', 'one']"
es,1466151288475901966,2021-11-26 21:04:41+00:00,"""El Viento de la Muerte"", documental COVID-19. Clínica Universidad de Na... https://t.co/v2YqArK1KR vía @YouTube",False,,"['el', 'covid', 'viento', 'universidad', 'la', 'de', 'documental', '19', 'muerte', 'na', 'clinica']"
en,1466151287964246032,2021-11-26 21:04:41+00:00,"Ok. So, this is good news ⬇️
https://t.co/L3NqM7RTvQ",False,,"['good', 'news', 'ok']"
pt,1466151287863623687,2021-11-26 21:04:41+00:00,"📝Anota aí:

🚎As atividades do Busão do Mais Saúde seguem nesta quinta-feira, 02, no Parque dos Povos Indígenas, das 16 às 19h. Neste segundo dia de ação as equipes de saúde da @semuspalmas irão administrar doses contra a gripe e Covid-19 .

📌Saiba+: https://t.co/FCTSOz8xlp https://t.co/LW7hYEfARa",False,,"['dos', 'saiba+', 'seguem', 'e', '19', 'irao', 'gripe', 'busao', 'parque', '16', 'equipes', '02', 'quinta', 'do', 'da', '19h', 'acao', 'mais', 'anota', 'atividades', 'de', 'ai', 'indigenas', 'administrar', 'neste', 'da', 'covid', 'contra', 'feira', 'dia', 'saude', 'povos', 'segundo', 'nesta']"
pt,1466151285489606658,2021-11-26 21:04:40+00:00,Ai gente qu sdd dessa epoca de calma 0 covid 0 boletos apenas indo pra Praça do geisel tomar sorvete ruim e paquerar gente feia https://t.co/Zyu9CA6SZO,False,quoted,"['tomar', 'pra', 'sorvete', 'ruim', 'e', 'praca', 'apenas', 'gente', 'sdd', 'qu', 'boletos', 'epoca', 'calma', 'indo', 'de', 'ai', 'paquerar', 'covid', 'feia', '0', 'geisel', 'dessa']"
en,1466151285296668681,2021-11-26 21:04:40+00:00,"Not sure what to make of this so seeing as it’s local we thought we’d ask you.  Who do you support in this ?

https://t.co/tkxWmTrnl1",False,,"['?', 'ask', 'make', 'support', 'seeing', 'would', 'thought', 'local', 'sure']"
en,1466151285158199312,2021-11-26 21:04:40+00:00,@DamnitsKt Of course I would recommend for everyone to get tested to make sure. But what I dont like is everyone assuming its Covid without the test confirmation. I understand its a pandemic but we should still be able to ask question like this .,False,replied_to,"['assuming', 'test', 'everyone', 'would', 'confirmation', 'course', 'like', 'get', 'without', 'sure', 'ask', 'able', 'tested', 'understand', 'covid', 'make', 'still', 'recommend', 'pandemic', 'question']"
en,1466151284638195712,2021-11-26 21:04:40+00:00,"@Eyeswideopen69 I reeled in Mrs H just before COVID with my charm and personality.
Only kidding. I think she felt sorry for me, or took me under her wing as a sort of pro-bono therapy case. 😊",False,replied_to,"['sort', 'covid', 'therapy', 'charm', 'reeled', 'kidding', 'felt', 'sorry', 'took', 'pro', 'personality', 'wing', 'bono', 'case', 'think', 'mr', 'h']"
es,1466151284436873216,2021-11-26 21:04:40+00:00,"Baño de sangre hoy en Wall Street

Se confirma Covid Omicron en California, todo se fue hoy al carajo

De entrada, esto era inminente, a esperar que digieran la noticia y estaremos bien...

Creo https://t.co/4GBPjVsYma",False,,"['en', 'entrada', 'era', 'bien', 'digieran', 'wall', 'creo', 'esto', 'carajo', 'inminente', 'hoy', 'street', 'esperar', 'de', 'confirma', 'bano', 'al', 'se', 'omicron', 'california', 'todo', 'covid', 'sangre', 'fue', 'que', 'la', 'estaremos', 'noticia']"
en,1466151284273254410,2021-11-26 21:04:40+00:00,@Jack10Gooner @thearsenalhelen @jazz_sian So why are deaths and collapses rocketing this year (during the vaccine rollout) and not last year when everyone was getting covid first?,False,replied_to,"['during', 'last', 'first', 'covid', '?', 'rocketing', 'everyone', ')', 'death', 'collapse', '(', 'vaccine', 'year', 'sian', 'rollout', 'getting']"
en,1466151283677671436,2021-11-26 21:04:40+00:00,i mean no it is the actual covid https://t.co/5h4P8oZP5O,False,quoted,"['covid', 'mean', 'actual']"
en,1466151282993991703,2021-11-26 21:04:40+00:00,"@RealSaltySlim Just in time for the rumored tighter Covid restrictions to be announced by the White House tomorrow, 12/2/21.",False,replied_to,"['covid', 'white', 'tighter', 'restriction', 'tomorrow', 'time', 'announced', 'house', '12/2/21', 'rumored']"
en,1466151281089818626,2021-11-26 21:04:39+00:00,@d0nkeydr0p Then surely it's irresponsible for a bloke with such a huge platform to be mentioning the vaccine/covid without any proof or confirmation it has anything to do with it?,False,replied_to,"['proof', '?', 'mentioning', 'anything', 'it', 'surely', 'huge', 'irresponsible', 'bloke', 'confirmation', 'vaccine/covid', 'platform', 'without']"
en,1466151280372559874,2021-11-26 21:04:39+00:00,@chisolifts You know what I did a block of sessions before covid but then stopped. my hair growth has changed a lot but your girl is like a hairy dog lmaooo,False,replied_to,"['session', 'changed', 'dog', 'covid', 'stopped', 'hair', 'lot', 'lmaooo', 'block', 'girl', 'know', 'hairy', 'like', 'growth']"
en,1466151279667802112,2021-11-26 21:04:39+00:00,"@cnni The doctor who made an early discovery of the omicron variant says ""the hype"" that's been created over the variant is unwarranted. 
https://t.co/tQTLu89aNI",True,replied_to,"['hype', 'made', 'variant', 'say', 'unwarranted', 'doctor', 'early', 'discovery', 'created', 'omicron']"
en,1466151279537770499,2021-11-26 21:04:39+00:00,"@Cryptotech_Ann @JadeProtocol COVID 19 has slowed down many economies around the world but as a crypto business, does it affect you negatively or positively? Are you still on track to achieve your goals or are you planning a new development?",False,replied_to,"['achieve', 'negatively', 'positively', '19', 'new', 'ann', 'planning', 'goal', 'business', 'many', '?', 'crypto', 'track', 'affect', 'development', 'world', 'around', 'covid', 'still', 'slowed', 'economy']"
en,1466151278946439171,2021-11-26 21:04:39+00:00,"@StateDept 'Gayle Smith’s Service as the Coordinator for Global COVID-19 Response and Health Security' The wrong person for a critical role the US must play! Gayle is Mama TPLF, and Africans do not trust her! #UnityForEthiopia #NoMore #TPLFSURRENDERNOW #EthiopiaPrevails",False,,"['trust', '19', '!', 'wrong', ""'"", 'gayle', 'mama', 'african', 'critical', 'health', 'person', 'smith', 'her', 'role', 'tplf', 'must', ""'s"", 'covid', 'coordinator', 'play', 'global', 'service', 'security', 'response', 'u', ""'gayle""]"
en,1466151278216728579,2021-11-26 21:04:39+00:00,Girl we don't give af if all your racist ass hoes get covid anyway https://t.co/e1VJb9mopy,False,,"['racist', 'covid', 'as', 'af', 'get', 'hoe', 'give', 'anyway', 'girl']"
en,1466151277117657091,2021-11-26 21:04:38+00:00,"EU - POSSIBLE MANDATORY JABS.
Covid Omicron: Time to consider mandatory jabs, EU chief says
https://t.co/QS4Kfmc8Px",False,,"['covid', 'say', 'chief', 'time', 'jab', 'eu', 'consider', 'mandatory', 'omicron', 'possible']"
en,1466151275024707585,2021-11-26 21:04:38+00:00,@snorman1776 @ianmSC Sure Jan… https://t.co/IvqkVnBuQL https://t.co/t4cb6oVwFu,False,replied_to,"['jan', 'sure']"
nl,1466151274563440648,2021-11-26 21:04:38+00:00,"Ik hield het niet voor mogelijk, maar inmiddels lijken de geesten rijp te worden gemaakt voor een vaccinatieplicht"", zegt Andre den Exter, universitair hoofddocent gezondheidsrecht aan de Rotterdamse Erasmus Universiteit.
https://t.co/meGZUxUSU8",False,,"['aan', 'gezondheidsrecht', 'den', 'worden', 'maar', 'rotterdamse', 'het', 'lijken', 'andre', 'mogelijk', 'universiteit', 'gemaakt', 'universitair', 'geesten', 'de', 'te', 'hield', 'rijp', 'erasmus', 'inmiddels', 'voor', 'exter', 'ik', 'niet', 'zegt', 'hoofddocent', 'vaccinatieplicht', 'een']"
en,1466151274169184261,2021-11-26 21:04:38+00:00,"See the latest COVID data for Woodbury County.

As we've stayed fairly stable lately, don't forget that many serious cases of COVID are preventable with vaccine or early treatment. It's not too late to get vaccine and talk to your doctor about early treatment if you do get COVID. https://t.co/p1kEB4Cxm2",False,,"['latest', 'serious', 'case', 'doctor', 'preventable', 'talk', 'stable', 'woodbury', 'lately', 'county', 'late', 'treatment', 'get', 'data', 'many', 'early', 'vaccine', 'fairly', 'forget', 'covid', 'see', 'stayed']"
pl,1466151271921029127,2021-11-26 21:04:37+00:00,@andrzej_mariusz @czesio_sl @PiotrWitczak_ I nie jeden pod tą maską tlenową będzie jeszcze leżał...czy to z powodu covid czy innego ...takie życie...wieczne nie jest....obostrzenia i szczepienia temu nie zaradzą. Czego wy nie rozumiecie pajace!!!!!,False,replied_to,"['czy', 'wy', '!', 'zaradza', 'czego', 'wieczne', 'ta', 'lezal', 'sl', 'nie', 'jeden', 'mariusz', 'jest', 'tlenowa', 'z', 'maska', 'innego', 'temu', 'pajace', 'rozumiecie', 'zycie', 'obostrzenia', 'takie', 'covid', 'jeszcze', 'bedzie', 'pod', 'powodu', 'szczepienia']"
it,1466151271732285445,2021-11-26 21:04:37+00:00,"@zona_bianca @il_Parods Ma durante la prima e la seconda guerra mondiale, perché chi non faceva il proprio dovere era un disertore mentre in questa guerra al covid chi non si vuole vaccinare è una minoranza da capire e tutelare?",False,replied_to,"['bianca', 'era', 'mentre', 'e', 'dovere', 'vuole', 'non', 'proprio', 'chi', 'questa', 'capire', 'durante', 'mondiale', 'perche', 'da', 'guerra', 'prima', '?', 'faceva', 'il', 'vaccinare', 'disertore', 'una', 'al', 'seconda', 'un', 'covid', 'tutelare', 'minoranza', 'la', 'parods', 'si']"
en,1466151270893469701,2021-11-26 21:04:37+00:00,@BitBitCrypto Why would the market be surprised by covid spreading,False,replied_to,"['covid', 'market', 'surprised', 'spreading', 'would']"
en,1466151270780125186,2021-11-26 21:04:37+00:00,"Africa accounts for the least cases and deaths from  the China Virus, behind Europe, North America, South America and Asia. Africa should not accept to be victimised as it did not manufacture Covid, neither is it its superspreader",False,,"['africa', 'virus', 'case', 'manufacture', 'asia', 'account', 'death', 'least', 'victimised', 'behind', 'europe', 'covid', 'neither', 'accept', 'superspreader', 'china', 'south', 'north', 'america']"
en,1466151268053930003,2021-11-26 21:04:36+00:00,@TheDannyCage @zmanbrianzane 70 percent of people who have died of covid in Brittian were vaccinated,False,replied_to,"['covid', 'brittian', 'vaccinated', '70', 'people', 'percent', 'died']"
en,1466151266896199686,2021-11-26 21:04:36+00:00,"At what % decline in the markets does Powell walk back tapering and rate hikes, arguing the market decline is a sign of future economic weakness rather b/c the economy can’t absorb higher rates due to all the debt accumulated since Covid? @PeterSchiff @APompliano #btc @WSJ",False,,"['b/c', 'absorb', 'market', 'economy', 'economic', 'market', 'not', '%', 'tapering', 'sign', 'decline', 'rate', '?', 'hike', 'rather', 'arguing', 'due', 'since', 'back', 'debt', 'higher', 'weakness', 'walk', 'covid', 'accumulated', 'future', 'powell', 'can', 'rate']"
en,1466151266774618118,2021-11-26 21:04:36+00:00,"What the heck has happened to you, Dr. Oz? A health care advocate is not one who believes that it's okay if ""only"" 2 or 3 percent of students get Covid. And you're against mandated masks? As a ""world-class surgeon"", do YOU make that decision during surgery? 
Disappointed in you! https://t.co/S2mSUCgozw",False,quoted,"['heck', 'class', 'disappointed', 'dr', '!', 'percent', 'surgeon', '2', 'surgery', 'belief', 'health', 'decision', 'student', 'one', 'get', '?', 'you', 'mandated', 'mask', 'world', 'covid', 'advocate', 'make', 'care', '3', 'oz', 'okay', 'happened']"
en,1466151266585911307,2021-11-26 21:04:36+00:00,@ChrisFreeman531 I saw a notification an hour ago saying Cooper will be back Thursday from his Covid. A few days ago I heard Lawrence and Gregory should be back for Washington game,False,replied_to,"['game', 'covid', 'day', 'saying', 'lawrence', 'ago', 'thursday', 'washington', 'back', 'heard', 'gregory', 'notification', 'saw', 'hour', 'cooper']"
en,1466151266216783873,2021-11-26 21:04:36+00:00,@agrenell @danielleiat And also blindly accepting that Chris Cuomo has COVID but his brother handled all test results through his office.  Chris didn’t have COVID.,False,replied_to,"['accepting', 'covid', 'office', 'also', 'brother', 'handled', 'blindly', 'chris', 'test', 'result', 'cuomo']"
en,1466151266011152385,2021-11-26 21:04:36+00:00,"South Australian parliament didn't renew the emergency pandemic laws yesterday.....today the parliament shuts down because of a covid case.
🤔South Australia also has a mask mandate,unless you're in government then you don't need one.",False,,"['unless', 'need', 'law', 'also', 'mandate', 'shuts', 'one', 'renew', 'parliament', 'mask', 'australian', 'government', 'covid', 'yesterday', 'today', 'australia', 'south', 'pandemic', 'case', 'emergency']"
es,1466151265340067842,2021-11-26 21:04:36+00:00,"@RolandoGuti7 @clinaliciaare No debemos ser ignorantes savemos q el covid es algo extraña y muy poderoso q cuando nos da a los q ya tenemos problemas de salud la vacuna nos ayuda, las vacunas ayudan moderna q es la q yo me puse puede ayudarme pero no me garantisa q el covid no me mate",False,replied_to,"['ignorantes', 'debemos', 'ya', 'problemas', 'vacunas', 'ayudarme', 'la', 'ayudan', 'muy', 'moderna', 'vacuna', 'salud', 'puse', 'los', 'extrana', 'garantisa', 'q', 'da', 'el', 'ayuda', 'pero', 'algo', 'poderoso', 'de', 'puede', 'tenemos', 'no', 'e', 'covid', 'la', 'mate', 'ser', 'cuando', 'yo', 'savemos']"
en,1466151264216092673,2021-11-26 21:04:35+00:00,"@Josh_Doust Ah ok, missed that bud, COVID related?",False,replied_to,"['doust', 'covid', '?', 'related', 'missed', 'ah', 'bud', 'ok']"
en,1466151263087833090,2021-11-26 21:04:35+00:00,Is abit bizarre must be at least 6 this year in football. Can only think of 2 before covid at football games https://t.co/eklOEdhp13,False,quoted,"['year', '2', 'covid', 'bizarre', 'game', '6', 'least', 'football', 'must', 'think', 'abit']"
en,1466151262769094675,2021-11-26 21:04:35+00:00,@bbyzillennial I’ve never had more than arm soreness after a flu shot. The COVID vaccine is the only vaccine I’ve ever had a very noticeable immune response to.,False,replied_to,"['never', 'covid', 'noticeable', 'soreness', 'flu', 'I', 'shot', 'response', 'arm', 'immune', 'vaccine', 'ever']"
