created_at,tweet_id,text,lang,possibly_sensitive,type,clean_tweet
2021-11-22 20:22:54+00:00,1466140774819635205,Si la covid afectara a los niños y cada día murieran 4 o 5 no vacunados ya no habría negacionistas.,es,False,,"['ya', 'habria', 'la', 'cada', 'los', 'negacionistas', '4', 'covid', 'si', 'murieran', 'vacunados', 'ninos', 'dia', '5', 'afectara']"
2021-11-22 20:22:54+00:00,1466140774249160716,"@littleLishka @PamLongCO @mother_american They claim to be experts of COVID, biochemical mechanisms, immunology, virology, physiology, epidemiology, etc… so how is their ignorance and carelessness even an excuse? At this point, it’s clear malice.

This is major fuckin problem because many needlessly suffer because of it",en,False,replied_to,"['?', 'even', 'physiology', 'problem', 'immunology', 'claim', 'malice', 'carelessness', 'point', 'expert', 'major', 'excuse', 'needlessly', 'american', 'epidemiology', 'mechanism', 'ignorance', 'covid', 'virology', 'fuckin', 'biochemical', 'clear', 'suffer', 'many', 'etc']"
2021-11-22 20:22:54+00:00,1466140773930319873,@Nebr_Agron078 Sounds to me like some vaccinated person was carrying Covid and gave it to Grandma.,en,False,replied_to,"['gave', 'person', 'carrying', 'like', 'sound', 'agron078', 'covid', 'grandma', 'vaccinated']"
2021-11-22 20:22:54+00:00,1466140772873420804,"Coby white placé sous protocole covid je vois pas mal de réaction en mode ""tant mieux"" les gars? Il pourrait tellement apporter à l'équipe en 6ème homme il est jeune c'est sa 3ème année chill.
Déjà billy a compris qu'il était pas meneur maintenant laisser lui comprendre son rôle",fr,False,,"['?', 'lui', 'mal', 'maintenant', ""qu'il"", 'sou', 'role', 'billy', 'tant', 'meneur', 'tellement', 'protocole', 'vois', 'white', '6eme', '3eme', 'chill', 'sa', 'pa', 'homme', 'je', 'mode', 'apporter', 'laisser', 'gar', 'il', 'coby', 'covid', 'en', 'pourrait', 'est', 'annee', 'comprendre', 'son', 'de', ""c'est"", 'jeune', 'mieux', 'compris', 'reaction', 'etait', 'deja', 'le', ""l'equipe"", 'place']"
2021-11-22 20:22:54+00:00,1466140772718284800,@kaitlancollins Who cares?  So what?  This changes nothing other than good news as it’s less virulent. U Covid lunatics are so gullible,en,False,replied_to,"['?', 'change', 'care', 'nothing', 'good', 'news', 'lunatic', 'virulent', 'covid', 'le', 'gullible', 'what']"
2021-11-22 20:22:54+00:00,1466140772554715137,"Remember at the beginning of all this they said people would be dropping dead in the streets because of covid! Scaring ppl into getting the jabs! 
Well, now ppl are dropping down quite often since the jab roll out!! 
It's even on live TV FFS!!!",en,False,,"['even', 'often', 'said', 'remember', 'jab', 'live', 'out', 'ffs', 'scaring', 'quite', 'street', 'people', 'roll', 'ppl', 'covid', 'since', 'well', 'would', 'tv', 'beginning', '!', 'getting', 'dead', 'jab', 'dropping']"
2021-11-22 20:22:54+00:00,1466140771468390405,"@grantsneddon5 Cardiology departments in Lanarkshire hospitals are a telling story, everyone's been far too distracted about what the media are saying about the ICU's for covid patients.",en,False,replied_to,"['patient', 'saying', ""'s"", 'story', 'icu', 'hospital', 'cardiology', 'lanarkshire', 'far', 'telling', 'covid', 'everyone', 'medium', 'department', 'distracted']"
2021-11-22 20:22:54+00:00,1466140771409698818,"Of all the despicable things TFG has done, this is among his worst. Right behind ignoring the pandemic and allowing over 500,000 Americans to die from Covid-19 on his watch. https://t.co/whcnpDgZZs",en,False,quoted,"['tfg', 'worst', 'behind', 'allowing', '500', 'american', 'watch', 'among', 'right', 'done', 'ignoring', 'covid', 'thing', '000', 'pandemic', '19', 'despicable', 'die']"
2021-11-22 20:22:53+00:00,1466140770545516544,If I come out positive for COVID I’m committing cause I’ve avoided large gathers concerts and even my own family to prevent,en,False,,"['come', 'prevent', 'even', 'gather', 'covid', 'committing', 'large', 'avoided', 'concert', 'family', 'I', 'positive']"
2021-11-22 20:22:53+00:00,1466140770222714883,"@rpoconnor It's almost as if the ""vaccine"" doesn't work or something. Players and families must be so happy to have risked heart damage in order to be eligible to play, only to find out they got the Covid anyway.",en,False,replied_to,"['risked', 'find', 'got', 'heart', 'eligible', 'vaccine', 'must', 'work', 'damage', 'covid', 'anyway', 'family', 'order', 'almost', 'happy', 'play', 'player', 'something']"
2021-11-22 20:22:53+00:00,1466140769912340497,"More proof it isn't about public health.

Vaccinated people who could have Covid, accepted. Unvaccinated people who can prove they don't have Covid with a test, not accepted. https://t.co/FErSsJbLsP",en,False,quoted,"['test', 'people', 'accepted', 'public', 'health', 'proof', 'covid', 'unvaccinated', 'vaccinated', 'could', 'prove']"
2021-11-22 20:22:53+00:00,1466140769224298496,"@CNBC The omicron variant patient was fully vaccinated, so to stop more covid cases we need to get vaccinated.

Huh",en,False,replied_to,"['huh', 'stop', 'omicron', 'get', 'case', 'fully', 'patient', 'variant', 'covid', 'vaccinated', 'need']"
2021-11-22 20:22:53+00:00,1466140768863674374,@1Mirror1978 @MiniMooJack I've got loads of links but this might help: https://t.co/rFTwlq0riE,en,False,replied_to,"['help', 'got', 'might', 'link', 'load', 'I']"
2021-11-22 20:22:53+00:00,1466140768297443334,@chrischirp Does one virus kick out another or is it a myth? I have this comfort blanket that rhinovirus stops covid 😭😂 is it nuts !? Gets me through dumping son at school gates,en,False,replied_to,"['?', 'gate', 'school', 'nut', '!', 'comfort', 'myth', 'stop', 'virus', 'covid', 'dumping', 'one', 'get', 'another', 'rhinovirus', 'blanket', 'kick', 'son']"
2021-11-22 20:22:53+00:00,1466140767584358402,"The US has recorded its first case of the Omicron variant. #9News
https://t.co/4Wrjr4bhYE",en,False,,"['case', 'omicron', 'recorded', 'variant', 'first', 'u']"
2021-11-22 20:22:52+00:00,1466140765877260290,"@COVID_questions I’m talking about Victoria not Australia - and on a per capita basis, *if* these tragedies can be attributed to the length and nature of our lockdowns, then Victoria suffered potentially more child deaths from lockdowns than child Covid deaths in Sweden.",en,False,replied_to,"['potentially', 'child', 'basis', 'suffered', 'length', 'per', 'nature', 'lockdown', 'if', 'caput', 'victoria', 'attributed', 'talking', 'covid', 'sweden', '*', 'question', 'death', 'tragedy', 'australia', 'I']"
2021-11-22 20:22:52+00:00,1466140765608890373,@NiklasTornberg @NWOmustdie @HumblyCurious @Ethereal_PhD @f_jalalvand @fnyosv Som orsakas av bl a covid.,sv,False,replied_to,"['bl', 'av', 'orsakas', 'phd', 'som', 'jalalvand', 'covid']"
2021-11-22 20:22:52+00:00,1466140764874944512,"@KoinangeJeff The 2 doctors have answered the question of covid vaccines and chronic illnesses.. but I would like to hear their specific recommendation for patients with venous thromboembolism. -Thanks, Dr Tonui.",en,False,,"['hear', 'patient', 'thanks', 'chronic', 'like', 'question', 'vaccine', 'doctor', 'thromboembolism', 'specific', 'tonui', '2', 'covid', 'venous', 'would', 'answered', 'dr', 'illness', 'recommendation']"
2021-11-22 20:22:52+00:00,1466140762819547137,"When covid first started I was 19, in a month I’ll be turning 22…",en,False,,"['22', 'turning', 'month', 'started', 'covid', '19', 'first', 'I']"
2021-11-22 20:22:51+00:00,1466140762433806338,"@treydaze_ @GrayWealth @CNBCnow When certain individuals benefit greatly from a farse pandemic, it all becomes political. Science already says Covid is nowhere near as deadly as certain people make it out to be. Admitting to that won't help the rich get richer.",en,False,replied_to,"['nowhere', 'farse', 'rich', 'make', 'get', 'individual', 'pandemic', 'say', 'help', 'richer', 'political', 'people', 'already', 'covid', 'near', 'science', 'becomes', 'certain', 'benefit', 'greatly', 'deadly', 'admitting']"
2021-11-22 20:22:51+00:00,1466140762333233160,"Ten cases of the Omicron Covid variant have now been confirmed in Scotland

https://t.co/YfP8LhFTKj",en,False,,"['scotland', 'confirmed', 'omicron', 'case', 'covid', 'variant', 'ten']"
2021-11-22 20:22:51+00:00,1466140761590837264,U.S. confirms nation's first case of omicron Covid variant in California https://t.co/engJxU2QKL,en,False,,"['california', 'case', ""'s"", 'omicron', 'nation', 'covid', 'variant', 'first', 'confirms']"
2021-11-22 20:22:51+00:00,1466140760944914437,"a diretora falando que ninguém da escola está com Covid-19, os alunos de uma sala falando que foram fazer o teste e o teste de 5 pessoas da sala deu positivo. tou sem entender mais nada, e tou passada ao mesmo tempo 😳",pt,False,,"['fazer', 'foram', 'da', 'mesmo', 'mais', 'entender', 'pessoas', 'deu', 'ao', 'teste', 'esta', 'ninguem', 'tou', 'diretora', 'e', 'falando', 'positivo', 'covid', '19', 'que', 'de', 'tempo', 'escola', 'alunos', 'com', 'nada', 'sala', 'o', 'sem', 'passada', 'uma', '5']"
2021-11-22 20:22:50+00:00,1466140758218620930,"$DKNG $ARKK overlayed onto DKNG, shorts are killing arkk and DKNG in the process.  Makes no sense for this stock to be down this much on covid concerns, if casinos shut down, DKNG should do better. https://t.co/gWp4GEia22",en,False,,"['dkng', 'stock', 'arkk', 'onto', '$', 'better', 'short', 'process', 'shut', 'covid', 'casino', 'sense', 'concern', 'overlayed', 'make', 'much', 'killing']"
2021-11-22 20:22:50+00:00,1466140757874597894,"@Therufcut Rather than encouraging people to have them every three months, without knowing if they give any protection against Omicron? I don't think so! https://t.co/yXtTsmrf9z",en,False,replied_to,"['month', 'give', '?', 'every', 'encouraging', 'people', 'protection', 'omicron', 'think', '!', 'rather', 'so', 'without', 'three', 'knowing']"
2021-11-22 20:22:50+00:00,1466140756251316227,@yael_becker One day Covid will be just as important as the Flu or Cold. Give it time. Fear can only last so long.,en,False,replied_to,"['cold', 'give', 'long', 'flu', 'last', 'becker', 'covid', 'time', 'fear', 'one', 'day', 'important']"
2021-11-22 20:22:50+00:00,1466140754863173635,@ChrisMurphyCT But they only think abortion kills. Covid doesn’t. Guns don’t. Starvation…nope. Let them play their games. It’s only going to help weed them out!,en,False,replied_to,"['weed', 'help', 'going', 'think', 'abortion', 'nope', 'gun', 'kill', 'let', 'game', 'starvation', '!', 'covid', 'out', 'play']"
2021-11-22 20:22:50+00:00,1466140754301104128,@WHCOS So what you’re saying is your whole approach to growing the economy is driving covid fear. Gotcha,en,False,replied_to,"['gotcha', 'saying', 'whole', 'growing', 'covid', 'approach', 'fear', 'economy', 'driving']"
2021-11-22 20:22:49+00:00,1466140753382424576,"@corstewart @Gambit_10 @heytimmy @TaylorTwellman Since the current COVID-19 variants readily infect the vaccinated who readily transmit the virus, it is likely that almost everyone will become infected at some point. Half of us have already been infected. A substantial minority of infections are asymptomatic.",en,False,replied_to,"['minority', 'likely', 'transmit', 'everyone', 'infected', 'substantial', 'point', 'infect', 'virus', '10', 'almost', 'current', 'readily', 'already', 'variant', 'covid', '19', 'since', 'vaccinated', 'become', 'u', 'asymptomatic', 'half', 'infection']"
2021-11-22 20:22:49+00:00,1466140752799490059,@Hasuess @WillyLumpLump69 @TaylorTwellman I’m guessing 5 more. You better go get the new Covid shot and fast!,en,False,replied_to,"['guessing', 'fast', 'new', '!', 'get', 'better', 'shot', 'covid', 'go', 'I', '5']"
2021-11-22 20:22:49+00:00,1466140752270999553,"💥Why aren't people asking why Sleepy Joe Biden &amp; his minion Dr. Fauci never talk about natural immunity?  
#CCPVirus #NoMandates #NoJab #FreedomFlu #ChinaVirus #Covid #DoNotComply #FJB #LGB",en,False,,"['?', 'biden', 'talk', 'people', 'dr', 'immunity', 'asking', 'amp', 'natural', 'joe', 'fauci', 'minion', '&', 'never', 'sleepy']"
2021-11-22 20:22:49+00:00,1466140752010891268,"Varianti i ri i COVID mbërrin edhe në SHBA, personi ishte kthyer nga Afrika e Jugut/ Fauci: Personat në kontakt rezultuan...,https://t.co/5H1gXeuuMd",et,False,,"['ri', 'edhe', 'afrika', 'ishte', 'mberrin', 'jugut/', 'e', 'varianti', 'ne', 'fauci', 'kontakt', 'covid', 'shba', 'personi', 'nga', 'kthyer', 'rezultuan', 'personat']"
2021-11-22 20:22:49+00:00,1466140751851622412,"Una amiga mía estuvo al borde de la, muerte x un mioma... Negligencia médica del iess y el papa de un amigo murió el hno estaba en UCI x covid el sr vivía con el y le dijeron q tenía depresión 16 días padeció sin comer ni tomar agua cuando decidieron internarlo duro 2 horas https://t.co/y75qWrRQNi",es,False,quoted,"['q', 'internarlo', 'sin', 'borde', 'del', 'al', 'ni', 'una', 'mia', 'medica', 'x', 'padecio', 'horas', 'agua', 'decidieron', 'amigo', 'depresion', 'papa', 'sr', 'cuando', 'tenia', 'el', 'mioma', 'un', 'murio', 'uci', 'hno', 'la', 'dia', 'tomar', '2', 'negligencia', 'en', 'covid', 'dijeron', 'de', 'vivia', 'muerte', 'estuvo', 'estaba', 'le', '16', 'con', 'y', 'duro', 'comer', 'amiga']"
2021-11-22 20:22:49+00:00,1466140750933078025,@WillyWonkaXRP @janet_yellin @XRPcryptowolf So trust me when I tel u it’s jus my opinion… but last I check… crazy part is I went out one day during the lock down for food… all but 15 min… felts sick as a dog for 5 hours… that wasn’t Covid… but it was something… n this winter they gona do it again,en,False,replied_to,"['jus', 'dog', 'felt', '15', 'check', 'hour', 'last', 'n', 'one', 'food', 'sick', 'covid', 'something', 'winter', 'part', 'day', 'trust', 'lock', 'gona', 'crazy', 'min', 'went', 'tel', 'opinion', '5', 'yellin']"
2021-11-22 20:22:48+00:00,1466140749712424966,"There’s something so jarring to me about seeing commercials for at-home Covid tests on the TV.
How has the world changed so much in 2 years?",en,False,,"['?', '2', 'year', 'test', 'covid', 'something', 'world', 'seeing', 'jarring', 'changed', 'commercial', 'tv', 'much', 'home']"
2021-11-22 20:22:48+00:00,1466140748701601795,Ahhh dear America you are not as great as you think it is when half of your population thinks border doesn’t exist anyone can come anytime but everyone boarding a plane should undergo covid test. https://t.co/m4dBqAgcjp,en,False,quoted,"['think', 'ahhh', 'plane', 'everyone', 'anytime', 'come', 'undergo', 'great', 'dear', 'think', 'population', 'boarding', 'covid', 'america', 'test', 'half', 'exist', 'anyone', 'border']"
2021-11-22 20:22:48+00:00,1466140747472805900,"@jchristawoodley @Jenny_Edwards @hughes_eilir @andymoz78 This is a simulated study based on computer modelling. 
The gold standard of medical research is randomised trials, and there have now been two on Covid masks for adults, and they both found masks to be highly ineffective.",en,False,replied_to,"['adult', 'research', 'ineffective', 'found', 'medical', 'gold', 'trial', 'based', 'study', 'randomised', 'two', 'standard', 'computer', 'highly', 'covid', 'eilir', 'simulated', 'edward', 'modelling', 'mask']"
2021-11-22 20:22:48+00:00,1466140747464249345,Biến thể Omicron có thể giúp kết thúc đại dịch Covid-19? https://t.co/X30Tof8RuV,vi,False,,"['?', 'co', 'omicron', 'bien', 'thuc', 'covid', '19', 'dai', 'dich', 'ket', 'giup']"
2021-11-22 20:22:48+00:00,1466140747258806287,"You know why will still have the annual flu despite vaccines, because that’s the science.

Will be the same for covid except covid has MSM and government scare tactics behind it.",en,False,,"['annual', 'behind', 'scare', 'know', 'msm', 'flu', 'still', 'covid', 'vaccine', 'except', 'government', 'science', 'tactic', 'despite']"
2021-11-22 20:22:48+00:00,1466140747053387781,"Travel bans can't stop Omicron – WHO https://t.co/tjwjoLYCI2

GENEVA: The World Health Organization (WHO) said Tuesday (Wednesday in Manila) that those not fully vaccinated against Covid-19 who are also vulnerable to the disease, including over-60s, should put off travel to are…",en,False,,"['stop', 'not', 'health', 'wednesday', 'said', 'who', 'travel', 'fully', '60', ')', 'also', '(', 'manila', 'covid', '19', 'ban', 'tuesday', 'vaccinated', 'can', 'vulnerable', 'geneva', 'omicron', 'including', 'world', 'put', 'disease', 'organization']"
2021-11-22 20:22:48+00:00,1466140745933414417,"If you talk to actual doctors, you’d run from these experimental kill shots.  Why hasn’t one globalist died from Covid? https://t.co/2eZ8thDMJp",en,False,quoted,"['?', 'doctor', 'talk', 'kill', 'died', 'globalist', 'shot', 'actual', 'covid', 'experimental', 'one', 'would', 'run']"
2021-11-22 20:22:48+00:00,1466140745748791297,@hannahkezema I know. I really want to come visit. Sometime soon(ish)....eff covid.,en,False,replied_to,"['come', '(', 'really', 'eff', 'know', 'soon', 'sometime', 'ish', 'covid', ')', 'visit', 'want']"
2021-11-22 20:22:47+00:00,1466140745266520073,"Omicron

update by the doctor who 1st discovered this variant

&amp; was exploited beyond sound rationale

by markets, media, public health advisors

&amp; govt officials

policies implemented on kneejerk reaction

to hidden agendas beyond the science

#COVID SARS-CoV-2 Coronavirus Delta https://t.co/OeAu7lvrwb",en,False,,"['doctor', 'sars', 'policy', 'coronavirus', 'exploited', 'health', 'cov', 'implemented', 'discovered', 'kneejerk', 'update', 'hidden', 'official', 'sound', '2', 'beyond', 'rationale', 'science', 'advisor', 'omicron', 'amp', 'public', 'reaction', 'govt', 'variant', 'medium', 'agenda', '1st', 'delta', '&', 'market']"
2021-11-22 20:22:47+00:00,1466140745086078977,🎯 Manías y Covid-19... https://t.co/ea3h8voJqj,es,False,,"['covid', '19', 'mania']"
2021-11-22 20:22:47+00:00,1466140744691982346,"And I think I'm done. My evangelical aunt-by-marriage just blew my mind - me at a loss for words doesn't happen as a rule, but she did it with her inanity re: Covid &amp; vaccination. I hope her family stays safe @ their celebrations, especially the newborn &amp; her grandkids.",en,False,,"['think', 'evangelical', 'word', 'newborn', 'blew', 'vaccination', 'hope', '@', 'safe', 'mind', 'happen', 'marriage', 'rule', 'covid', 'family', 'grandkids', 'aunt', 'inanity', 'celebration', 'done', 'amp', 'loss', 'especially', '&', 'stay', 'I']"
2021-11-22 20:22:47+00:00,1466140744381571085,I'd rather take covid vaccine after every 2 weeks or monthly 🤧 https://t.co/vNPe4OmylE,en,False,quoted,"['every', 'monthly', 'vaccine', 'take', 'week', '2', 'rather', 'covid', 'would', 'I']"
2021-11-22 20:22:47+00:00,1466140743307718659,@iyajaxon @YandR_CBS @CJLeBlanc I guess it was hard to evolve when they weren't on for several months b/c of COVID and he did this over that time off-screen.,en,False,replied_to,"['month', 'hard', 'cbs', 'evolve', 'b/c', 'screen', 'covid', 'time', 'guess', 'several']"
2021-11-22 20:22:47+00:00,1466140742502526984,Trump Tried To Kill Biden With COVID-19  https://t.co/07uHYvX8dG via @BulwarkOnline,en,False,,"['biden', 'kill', 'trump', 'covid', '19', 'tried']"
2021-11-22 20:22:47+00:00,1466140742275846149,"The US has recorded its first case of the Omicron variant. #9News
https://t.co/sKmjAtVWQu",en,False,,"['case', 'omicron', 'recorded', 'variant', 'first', 'u']"
2021-11-22 20:22:47+00:00,1466140742192095241,"It Begins: Biden to Announce Mandatory Quarantines for Americans, Even Fully Vaxxed, Punishable by ""Fines and Penalties"" https://t.co/2UiKZPkNp0",en,False,,"['punishable', 'biden', 'american', 'even', 'fully', 'mandatory', 'quarantine', 'announce', 'begin', 'fine', 'penalty', 'vaxxed']"
2021-11-22 20:22:46+00:00,1466140741160341512,@_zaayhuncho Yeah but my initial statement does not assume Kyrie get it and survives. I said if he gets it he has a great chance of dying in comparison to someone like Lebron who has gotten Covid and has gotten the vaccine,en,False,replied_to,"['someone', 'chance', 'like', 'get', 'dying', 'statement', 'said', '@', 'get', 'great', 'kyrie', 'zaayhuncho', 'initial', 'gotten', 'comparison', 'covid', 'assume', 'lebron', 'vaccine', 'yeah', 'survives']"
2021-11-22 20:22:46+00:00,1466140740661264397,China deponeerde in februari 2020 al een patent op een coronavaccin. Wetenschappelijk gezien is dat onmogelijk zo kort na het bekend worden van #COVID_19.,nl,False,replied_to,"['een', 'china', 'kort', 'het', '2020', 'op', 'al', 'patent', 'februari', 'worden', 'wetenschappelijk', 'deponeerde', 'gezien', 'bekend', 'na', '19', 'onmogelijk', 'dat', 'coronavaccin', 'zo', 'van']"
2021-11-22 20:22:46+00:00,1466140740371685379,"@RThinner Covid unvaccinated kids would be a huge boost to getting out of this mess...
Since so few children suffer any ill effects from Covid and many have already had it. Their immune systems are highly qualified to manage and overcome Covid.  To immunize them is a huge experiment.",en,False,replied_to,"['qualified', 'experiment', 'boost', 'huge', 'kid', 'system', 'already', 'highly', 'manage', 'covid', 'since', 'effect', 'would', 'ill', 'overcome', 'getting', 'child', 'suffer', 'unvaccinated', 'mess', 'many', 'immune', 'immunize']"
2021-11-22 20:22:46+00:00,1466140739620978698,"I am fully vaccinated, just tested positive for COVID, and feel like shit.",en,False,,"['shit', 'tested', 'fully', 'like', 'covid', 'vaccinated', 'feel', 'positive']"
2021-11-22 20:22:45+00:00,1466140735707787268,"@The_Cumberlady @lacuentamedica O que le da envidia ? 
No poder contagiarse de covid? 
Saber que no hay medicamentos? 
Esto es para saber que el adoctrinamiento  servil si traspasa fronteras",es,False,replied_to,"['?', 'medicamentos', 'fronteras', 'envidia', 'si', 'da', 'contagiarse', 'adoctrinamiento', 'poder', 'hay', 'el', 'saber', 'esto', 'covid', 'que', 'para', 'de', 'le', 'e', 'traspasa', 'servil', 'cumberlady']"
2021-11-22 20:22:45+00:00,1466140735653220357,Lmfao kryie is not at great risk of dying cut it out kryie is an athlete hes in great shape he’s rich has best doctors  his odds of dying from covid are low as hell https://t.co/n2rShqUV2o,en,False,quoted,"['best', 'rich', 'doctor', 'odds', 'risk', 'he', 'low', 'cut', 'great', 'covid', 'shape', 'athlete', 'dying', 'lmfao', 'kryie', 'hell']"
2021-11-22 20:22:45+00:00,1466140734961160195,"LeBron James tests positive for COVID-19, misses Tuesday game: Report https://t.co/TrXnrlnv0C",en,False,,"['lebron', 'game', 'james', 'miss', 'report', 'test', 'covid', '19', 'tuesday', 'positive']"
2021-11-22 20:22:45+00:00,1466140734898196492,"I’m sure the business leaders and politicians harping on about all the Covid money spent on the unemployed (“paying people to stay at home”, “disincentivizing work”, yada yada yada) will be equally enraged by this. https://t.co/6S2lsNkA1L",en,False,,"['yada', 'leader', 'equally', 'harping', 'politician', 'unemployed', 'money', 'paying', ')', 'disincentivizing', '(', 'spent', 'people', 'enraged', 'covid', 'stay', 'home', 'sure', 'work', 'business', 'I']"
2021-11-22 20:22:45+00:00,1466140734692773897,"During a White House briefing on Wednesday, Dr. Anthony Fauci confirmed that the first U.S. case of the omicron variant has been identified. 

Read more here: https://t.co/8LFkfhuo0d https://t.co/MaaY2TyJSs",en,False,,"['confirmed', 'case', 'identified', 'house', 'omicron', 'dr', 'read', 'anthony', 'white', 'variant', 'briefing', 'fauci', 'wednesday', 'first']"
2021-11-22 20:22:45+00:00,1466140734491435009,"@nypost @nypost 

same admisntration that used a false race based narrative and false covid scare to defame their opponents https://t.co/zxr7RkOLGX",en,False,replied_to,"['false', 'scare', 'admisntration', 'race', 'narrative', 'covid', 'opponent', 'defame', 'used', 'based']"
2021-11-22 20:22:45+00:00,1466140733233008642,"@redsteeze Border crossers don't carry Covid, it's a well known Fauci-Fact

Fauci=science https://t.co/aEnrDEwFE4",en,False,replied_to,"['known', 'fauci', 'fauci=science', 'covid', 'fact', 'crossers', 'well', 'carry', 'border']"
2021-11-22 20:22:44+00:00,1466140732951969792,"@bennyjohnson @PressSec is a liar.  

Represents the worst @POTUS @WhiteHouse in history.

Facts are Facts.

What about the wide open border?  Hundreds of thousands of illegal aliens every month with NO CovID restrictions? Testing?",en,False,replied_to,"['?', 'thousand', 'testing', 'worst', 'represents', 'liar', 'open', 'wide', 'history', 'every', 'month', 'illegal', 'covid', 'restriction', 'alien', 'fact', 'border', 'hundred']"
2021-11-22 20:22:44+00:00,1466140732754903044,"@kmrd17 Claro, claro...lo mejor es fiarse de los papers controlados por la farmafia ¿eh? No voy ahora a sacar los centenares de artículos que validan mi suplementación. Pero uno de ellos, la vitamina D3, mira por dónde, juega un rol importante contra el Covid https://t.co/4Cts11jB5g",es,False,replied_to,"['?', 'mejor', 'eh', 'farmafia', 'uno', 'mira', 'por', 'lo', 'centenares', 'sacar', 'validan', 'mi', 'rol', 'importante', 'donde', 'd3', 'juega', 'el', 'un', 'controlados', 'ahora', 'suplementacion', 'la', 'vitamina', 'fiarse', 'claro', 'contra', 'que', 'covid', 'ellos', 'de', 'articulos', 'voy', 'los', 'e', 'paper', 'pero']"
2021-11-22 20:22:44+00:00,1466140731953795074,"@JuliaHB1 I agree, Julia- absolutely disgusting. How are any anti-vaxxers meant to get their boots smoked by COVID if this ends up happening",en,False,replied_to,"['agree', 'meant', 'boot', 'anti', 'vaxxers', 'get', 'absolutely', 'covid', 'happening', 'smoked', 'end', 'disgusting', 'julia']"
2021-11-22 20:22:44+00:00,1466140731505061888,TRUMP ALMOST GAVE MY DADDY COVID I AM FUCKING OUTRAGED ABOUT IT!!! # Biden with Covid,en,False,,"['gave', 'biden', 'outraged', '!', 'trump', 'fucking', '#', 'daddy', 'covid', 'it', 'almost']"
2021-11-22 20:22:44+00:00,1466140731022663681,"Hallelujah#1
#Corona #Covid #Omikron
https://t.co/kNEXoqH3X5",in,False,,['hallelujah']
2021-11-22 20:22:44+00:00,1466140730103984131,"@QuickDCapital One day before sleepy is supposed to outline is covid plan, this “pandemic” couldn’t be more FAKE!",en,False,replied_to,"['!', 'outline', 'could', 'covid', 'pandemic', 'one', 'day', 'supposed', 'fake', 'plan', 'sleepy']"
2021-11-22 20:22:44+00:00,1466140730011774978,"@edwinmv8 @GoalNews Ya. Covid is overblown. And it doesn't caused heart issues. 🙄

https://t.co/3vSELla49a",en,False,replied_to,"['overblown', 'ya', 'heart', 'issue', 'covid', 'caused']"
