lang,tweet_id,possibly_sensitive,created_at,text,type,clean_tweet
en,1466155229972504582,False,2021-11-28 21:20:21+00:00,"@DarDjc81 @DanRather YES, WE WILL CONTINUE TO TAKE HIM AT HIS WORD! HE CALLED COVID A HOAX OVER AND OVER AND AT HIS RALLIES!!! MOCKING MASK WEARING!  I SAY HES  RESPONSIBLE FOR 800,000 DEATHS IN AMERICA!! WAKE UP!!",replied_to,"['covid', 'word', 'responsible', 'yes', 'america', 'take', 'death', '800', 'mocking', 'wearing', '!', 'wake', 'up', 'he', '000', 'rally', 'called', 'hoax', 'continue', 'mask', 'say']"
de,1466155229804703754,False,2021-11-28 21:20:21+00:00,@_richtig_falsch an und mit Covid gestorben,replied_to,"['und', 'covid', '@', 'falsch', 'gestorben', 'mit', 'richtig']"
es,1466155229196402690,False,2021-11-28 21:20:21+00:00,"Hagamos estas fiestas con consciencia.
Recuerda que 1 de cada 2 mexicanos no está vacunado, sobre todo los menores de edad.
Sigue cuidándote del COVID-19 
Aún alcanzas a vacunarte, regístrate:
https://t.co/0ncTCMqpzR

¡Navidad sin contagios! https://t.co/xQWxBgp4jv",,"['covid', 'registrate', 'que', 'sigue', 'hagamos', 'menores', 'sin', '1', '2', 'estas', 'mexicano', 'esta', 'fiesta', 'todo', 'sobre', 'contagios', 'cada', 'aun', 'con', 'los', '!', 'recuerda', 'edad', 'navidad', 'vacunarte', 'de', 'vacunado', 'del', '19', 'alcanzas', 'cuidandote', 'consciencia']"
en,1466155228781326337,False,2021-11-28 21:20:21+00:00,I danced so much last night and it’s the first time since pre Covid I’ve danced with strangers and DAMN it felt good.,,"['covid', 'last', 'since', 'I', 'first', 'good', 'pre', 'stranger', 'time', 'damn', 'much', 'felt', 'danced', 'night']"
en,1466155227900526609,False,2021-11-28 21:20:20+00:00,"Rory James Nairn: 26-Year-Old Dies 12 Days After Receiving Pfizer COVID-19 Vaccine, Fiancee Speaks Out : The COVID World https://t.co/FIzMq3jM6Q",,"['rory', 'nairn', 'covid', 'day', 'dy', '26', 'old', 'receiving', '12', 'speaks', 'world', 'vaccine', 'fiancee', '19', 'james', 'pfizer', 'year']"
en,1466155225182474242,False,2021-11-28 21:20:20+00:00,Fauci says COVID-19 diverted resources from fight against AIDS https://t.co/OXBAR0l6va https://t.co/4rmkPgMvsS,,"['covid', 'resource', 'diverted', 'fauci', 'aid', 'fight', '19', 'say']"
es,1466155224394092544,False,2021-11-28 21:20:19+00:00,"#ULTIMAHORA 
Detectan primer caso de la variante #Omicron de #COVID19 en #California #USA 😱😱
@CDCgov @WhiteHouse 
#Covid_19 #OmicronVariant #OmicronAlert 
https://t.co/WheNDxlzoM",,"['de', 'variante', 'detectan', 'en', 'la', 'caso', '19', 'primer']"
pt,1466155223542546449,False,2021-11-28 21:20:19+00:00,e vamos a caminho de dois anos de covid,,"['covid', 'doi', 'de', 'vamos', 'ano', 'e', 'caminho']"
en,1466155222900875265,False,2021-11-28 21:20:19+00:00,“When one kid in the class catches covid we don’t deem anyone else in the room as being a close contact”. https://t.co/boBZzvYGio,,"['covid', 'one', 'class', 'room', 'deem', 'close', 'contact', 'anyone', 'catch', 'else', 'kid']"
en,1466155222783438853,False,2021-11-28 21:20:19+00:00,"@BakerJe08261575 @CassyWearsHeels Nobody. Nobody said that the vaccine was a 100% guarantee against getting COVID. And you think it would be different for the latest variant?

We have these variants because so many people are not vaccinated. And then you act like the vaccine is useless.

https://t.co/LllmNO2WpO",replied_to,"['covid', 'act', '?', 'people', 'latest', 'guarantee', 'different', 'like', 'vaccinated', 'nobody', 'many', '100', 'useless', 'variant', 'vaccine', 'getting', 'think', 'variant', 'would', '%', 'said']"
und,1466155222544404490,False,2021-11-28 21:20:19+00:00,https://t.co/pppvexTASa,replied_to,[]
cs,1466155222175256578,False,2021-11-28 21:20:19+00:00,"@MichaelRomancov Taky vůbec nechápu, proč není vseobecný bojkot  olympiady teď v Číně, už jen za ten Covid, nemluvě o dalších věcech..",replied_to,"['za', 'covid', 'vubec', 'dalsich', 'ten', 'nechapu', 'bojkot', 'v', 'nemluve', 'vecech', 'olympiady', 'ted', 'jen', 'cine', 'taky', 'vseobecny', 'uz', 'proc', 'neni']"
nl,1466155221160189964,False,2021-11-28 21:20:19+00:00,"De lijn van Van Haga is op het covid dossier over het algemeen heel goed. Geen complotgekheid, geen angstzaaien, maar gewoon feitelijk en nuchter. Super! https://t.co/2cxmiL99ti",quoted,"['covid', 'feitelijk', 'het', 'dossier', 'goed', 'angstzaaien', 'op', 'super', 'geen', 'haga', 'algemeen', 'complotgekheid', '!', 'maar', 'lijn', 'gewoon', 'de', 'heel', 'en', 'nuchter', 'van']"
und,1466155220531040266,False,2021-11-28 21:20:19+00:00,https://t.co/IhDyJFHmr2,,[]
fr,1466155219700658178,False,2021-11-28 21:20:18+00:00,"Vaccination contre le Covid-19 : ""Il y a des doses en quantités adéquates et une organisation qui monte en puissance"", assure Alain Fischer

https://t.co/6H5RMng8v1 https://t.co/H0s277nPep",,"['de', 'covid', 'alain', 'adequates', 'quantites', 'organisation', 'contre', 'monte', 'qui', 'puissance', 'vaccination', 'et', 'une', 'assure', 'fischer', 'dos', 'le', 'il', 'en', '19']"
en,1466155219352317952,False,2021-11-28 21:20:18+00:00,"I don’t think anyone should be speaking about covid in Australia until we actually get hit with COVID In Australia - let’s talk about it in 6 months time , this is the same talk that was going on in 2020 when people thought it was going to fizzle and we would open by jan 21 😳",,"['covid', 'australia', 'get', 'open', 'jan', '2020', 'people', 'fizzle', 'speaking', 'actually', '21', 'talk', 'anyone', 'think', 'let', 'hit', 'thought', 'month', 'would', 'time', 'going', 'u', '6']"
pt,1466155219176329220,False,2021-11-28 21:20:18+00:00,@randolfeap É só não tomar vacina anti covid. 🙆‍♂️🤦🏻,replied_to,"['vacina', 'covid', 'anti', 'nao', 'e', 'tomar']"
fr,1466155218979147777,False,2021-11-28 21:20:18+00:00,"Malgre "" l'echec Covid "", #Sanofi persiste dans sa recherche sur l [ https://t.co/FwmIvrhGfV ] Il y a 12heures Le laboratoire francais precise egalement qu'il va acquerir la #Biotech autrichienne Origimm #Biotechnology, pour un montant non devoile. https://t.co/mboS5z2mqe",,"['dans', 'covid', '[', ""l'echec"", 'recherche', 'persiste', 'malgre', 'l', 'sa', 'sur']"
en,1466155217146290185,False,2021-11-28 21:20:18+00:00,"Just because public schools are failing doesn’t mean this is the answer. Education in America is dying and very quickly becoming one of our country’s biggest problems. 

Why I’m Backing Charter Schools by @MikeBloomberg https://t.co/HvuvLXjHO9",,"['one', 'mean', 'biggest', 'I', 'public', 'failing', 'school', 'education', 'america', 'dying', 'quickly', 'country', 'charter', ""'s"", 'problem', 'backing', 'answer', 'becoming']"
fr,1466155216127070225,False,2021-11-28 21:20:18+00:00,@ArnaudLucho 🤜🤛 j ai retenu COVID,replied_to,"['ai', 'retenu', 'j', 'covid']"
en,1466155215992803328,False,2021-11-28 21:20:17+00:00,"@whiter069 @nytimes #PutinsPuppet was in charge as it exploded last year. Turns out Covid-19 didn't disappear in April 2020 with the warm weather like magic,  and the number of cases didn't drop from 15 to 0 in a few days.",replied_to,"['covid', 'magic', 'warm', '2020', 'like', '15', 'day', 'exploded', '0', 'weather', 'last', 'turn', 'drop', 'case', 'charge', 'number', 'year', 'disappear', 'april', '19']"
en,1466155215803977730,False,2021-11-28 21:20:17+00:00,@LBJAY__ Don’t know but it looks like some shady shit is going on. Could be about his Covid diagnosis and a possible false positive. 🤨👀,replied_to,"['could', 'covid', 'possible', 'positive', 'shit', 'shady', 'look', 'false', 'going', 'diagnosis', 'know', 'like']"
en,1466155215254663175,False,2021-11-28 21:20:17+00:00,"@luffdee @keith_keithsafc @LCFC Neither do you 

Flu is proven 

Covid isn't",replied_to,"['covid', 'neither', 'proven', 'flu', 'keithsafc']"
en,1466155215103664140,False,2021-11-28 21:20:17+00:00,Retweet selected by the https://t.co/11ojAZA3Wf team | Moscow rolls out Sputnik V Covid shot tmost exposed #world_news https://t.co/AiBnkgQ4GF https://t.co/LY5SfpybAw,,"['retweet', 'selected']"
et,1466155214281613320,False,2021-11-28 21:20:17+00:00,"Balina Bodinaku mungoi mbrënë në ‘Big Brother VIP’, rezulton pozivit me COVID https://t.co/agxkljBD8C",,"['mbrene', 'covid', 'vip', ""'big"", 'rezulton', 'balina', ""'"", 'ne', 'bodinaku', 'pozivit', 'mungoi', 'brother']"
it,1466155212213731333,False,2021-11-28 21:20:17+00:00,"Noi non abbiamo alcuna verità:
GRAZIE prof. @MCacciari44 
#covid #vaccini #ottoemezzo l",,"['prof', 'non', 'alcuna', 'grazie', 'l', 'abbiamo', 'noi', 'verita']"
en,1466155209026068482,False,2021-11-28 21:20:16+00:00,"Congrats, how do you get an audition with a dubbing company? Is it easier or harder now with Covid? https://t.co/GKiYbV1L84",quoted,"['covid', 'harder', '?', 'get', 'audition', 'dubbing', 'company', 'easier', 'congrats']"
pt,1466155208984178691,False,2021-11-28 21:20:16+00:00,"Essa checagem é uma produção da Lupa e tem apoio do Google. O material foi produzido a partir do projeto 'Covid eu informo', uma plataforma de combate à desinformação de realização da Lupa em parceria com as rádios comunitárias.",replied_to,"['comunitarias', 'uma', 'foi', 'e', ""'covid"", 'essa', 'projeto', 'checagem', 'lupa', 'com', 'partir', ""'"", 'apoio', 'google', 'informo', 'material', 'plataforma', 'realizacao', 'desinformacao', 'da', 'tem', 'producao', 'combate', 'produzido', 'eu', 'parceria', 'de', 'radio']"
en,1466155208682053633,False,2021-11-28 21:20:16+00:00,Daily Covid Deaths per 1K Population by County For CO   2021-11-29:  Covid Insights From Our Analytics Team and USAFacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #omicron #globalhealth https://t.co/yLKn5WHjpE,,"['covid', 'population', '29', 'per', 'co', '11', 'analytics', '1k', 'usafacts', 'insight', '2021', 'county', 'death', 'daily', 'team']"
it,1466155207654621189,False,2021-11-28 21:20:16+00:00,@nonelarena Sarebbe meno contenta se il covid dovesse farle esplodere  il silicone  che ha in bocca.,replied_to,"['farle', 'covid', 'esplodere', 'bocca', 'contenta', 'che', 'meno', 'se', 'il', 'dovesse', 'silicone', 'ha', 'sarebbe']"
fr,1466155207243485190,False,2021-11-28 21:20:15+00:00,Covid-1984 : les données Sentinelles montrent un taux d’incidence à 22/100.000 en semaine 46 ! – Le Libre Penseur https://t.co/sC8j3srGBt,,"['le', 'covid', '22/100', 'libre', '000', 'le', 'semaine', 'sentinelles', 'un', 'taux', 'en', '!', 'penseur', '1984', 'montrent', 'donnees', ""d'incidence"", '46']"
pt,1466155206639591427,False,2021-11-28 21:20:15+00:00,"A narrativa de que ivermectina seria um remédio eficaz no tratamento contra a covid-19 dura até hoje no Brasil e o uso desenfreado do remédio trouxe consequências, inclusive para o combate de parasitoses, como os surtos em Pernambuco.",replied_to,"['covid', 'que', 'surtos', 'e', 'ivermectina', 'dura', 'seria', 'pernambuco', 'eficaz', 'tratamento', 'parasitoses', 'desenfreado', 'ate', 'um', 'remedio', 'inclusive', 'consequencias', 'como', 'combate', 'hoje', 'brasil', 'para', 'o', 'de', 'narrativa', 'contra', '19', 'trouxe', 'uso']"
en,1466155204089364487,False,2021-11-28 21:20:15+00:00,@americanadianTO @chbaker1958 @Acyn @atrupar If you know you have an infectious disease as serious as HIV.  If you do not inform the other person and give it to them by having unprotected sex you should go to jail.  COVID is not as bad as HIV still knowingly risking infecting other people should have consequences.,replied_to,"['covid', 'sex', 'serious', 'bad', 'knowingly', 'unprotected', 'inform', 'people', 'go', 'give', 'infectious', 'hiv', 'risking', 'person', 'still', 'jail', 'infecting', 'consequence', 'disease', 'know']"
en,1466155203644821514,False,2021-11-28 21:20:15+00:00,"@SuperMikhail1 What a satire.
https://t.co/VXtcVXeuQw",replied_to,['satire']
fr,1466155203233828873,False,2021-11-28 21:20:14+00:00,"@le_Parisien Du mot réanimation ns passons par les mots👉soins critiques
L'art et la manière des journalistes à changer les mots/maux pour ne pas dire👉 tromperies
Dites moi chers journalistes le mot tromperies n'est pas synonyme👉 MENSONGES
94DC dits covid 👉 tests post mortem effectués ??",replied_to,"['effectues', 'de', 'covid', ""n'est"", 'maniere', 'ne', '?', 'post', 'synonyme', 'pour', 'journalistes', 'le', 'moi', 'dites', 'chers', 'mortem', 'dire', 'la', 'mensonges', 'motssoins', ""l'art"", 'n', 'et', '94dc', 'test', 'parisien', 'changer', 'mots/maux', 'critique', 'dit', 'pa', 'passons', 'du', 'le', 'mot', 'tromperies', 'par', 'reanimation']"
en,1466155203011526665,False,2021-11-28 21:20:14+00:00,@PatriotsStan77 So the plenty COVID e come for der you no dey hear anaaa,replied_to,"['covid', 'come', 'plenty', 'dey', 'anaaa', 'hear', 'e', 'der']"
en,1466155202847858695,False,2021-11-28 21:20:14+00:00,@nytimesworld announced that the first case of the Omicron Covid-19 variant was found this week in California #COVID19 #OmicronVarient,,"['case', 'found', 'covid', 'california', 'first', 'variant', 'week', 'omicron', '19', 'announced']"
en,1466155202659201025,False,2021-11-28 21:20:14+00:00,"The media pretend that the uncontainable virus could be contained if only politicians would steal even more freedom.
NYT: ""Today's Headlines""
""A confounding array of Covid rules and lax enforcement of mask wearing may have sent infected passengers on two KLM flights ....""",,"['confounding', 'rule', 'covid', 'infected', 'flight', 'even', 'could', 'nyt', 'virus', 'sent', 'headline', 'contained', 'today', 'klm', 'steal', 'politician', 'array', 'wearing', 'medium', 'uncontainable', 'passenger', ""'s"", 'freedom', 'pretend', 'enforcement', 'may', 'two', 'would', 'mask', 'lax']"
pt,1466155201983918091,False,2021-11-28 21:20:14+00:00,"É FALSO que o Japão substituiu vacinas contra a Covid-19 por ivermectina e casos da doença acabaram.

Duas semanas antes da abertura dos Jogos Olímpicos de Tóquio, no Japão, o país declarou estado de emergência por conta dos altos índices de contaminação e transmissão.",replied_to,"['vacinas', 'covid', 'emergencia', 'que', 'pais', 'e', 'ivermectina', 'index', 'falso', 'alto', 'por', 'do', 'japao', 'ante', 'jogos', 'substituiu', 'abertura', 'doenca', 'casos', 'contaminacao', 'duas', 'olimpicos', 'transmissao', 'da', 'estado', 'acabaram', 'conta', 'de', 'declarou', 'contra', 'toquio', 'semanas', '19']"
pt,1466155197063966726,False,2021-11-28 21:20:13+00:00,‘Nunca mais!’: o grito da OMS para a Covid-19 https://t.co/9skAK8tVoa #notícias,,"['covid', '!', ""'"", 'grito', 'da', ""'nunca"", '19', 'para', 'oms', 'mais']"
en,1466155196921176064,False,2021-11-28 21:20:13+00:00,@AnnastaciaMP Just open the boarders so we can get home covid going to get there no matter what live with it.,replied_to,"['covid', 'matter', 'boarder', 'home', 'get', 'open', 'going', 'live']"
en,1466155196250210316,False,2021-11-28 21:20:13+00:00,"@SVACDems @SenatorTester @DeptVetAffairs @SecVetAffairs 40,000 homeless Vets
250,000 Claims backlog
Goal w/new hires 100,000 2024
80% + Applications Care Givers denied
16,543 Veterans died of Covid",replied_to,"['covid', 'died', 'claim', 'hire', '+', 'backlog', 'homeless', 'care', 'denied', '100', '80', '40', '543', '2024', 'vet', '250', 'veteran', 'application', '000', 'giver', 'goal', 'w/new', '16', '%']"
es,1466155194505433094,False,2021-11-28 21:20:12+00:00,Ómicron pone en evidencia la desigualdad en vacunas COVID-19 https://t.co/rEB6hiN25w,,"['desigualdad', 'vacunas', 'covid', 'pone', 'en', 'la', 'omicron', 'evidencia', '19']"
en,1466155193075126285,False,2021-11-28 21:20:12+00:00,"@Michell52670634 @GaryBarlow @SherylGBTT @Bexhill2011 @LesleyTT4ever Yeah, hope this covid goes away soon x",replied_to,"['covid', 'hope', 'soon', 'away', 'go', 'x', 'yeah']"
pt,1466155192966160384,False,2021-11-28 21:20:12+00:00,"Quarta-feira é o dia em que a Rádio Paulo Freire junto a @agencialupa traz informações checadas e seguras sobre a pandemia da covid-19, aqui no Covid Sem Fake. 

É FALSO que os vacinados contra a Covid-19 são perigosos e devem ser isolados. + https://t.co/YpSFaZd9SO",,"['covid', 'checadas', 'que', 'quarta', 'isolados', 'e', '+', 'freire', 'falso', 'vacinados', 'junto', 'pandemia', 'devem', 'informacoes', 'sobre', 'sem', 'seguras', 'radio', 'traz', 'paulo', 'da', 'dia', 'aqui', 'o', 'fake', 'sao', 'contra', 'feira', 'perigosos', '19', 'ser']"
en,1466155192286539777,False,2021-11-28 21:20:12+00:00,"Omicron Is Here. Will We Use Our New Covid Drugs
Wisely?   https://t.co/75PkUTpsil   #Hindi",,"['covid', 'use', '?', 'omicron', 'wisely', 'new', 'drug']"
und,1466155191959539724,False,2021-11-28 21:20:12+00:00,https://t.co/WNjR8eFtsf,,[]
en,1466155191250599938,False,2021-11-28 21:20:12+00:00,"@athepub @kevinduffy999 @SkyNews I like how every time a person who has died of the shot is dismissed as a “so what, more have died of covid” when the numbers for “how many died from a shot” have been requested multiple times and never been produced…",replied_to,"['covid', 'died', 'multiple', 'person', 'time', 'every', 'shot', 'produced', 'dismissed', 'time', 'requested', 'many', 'number', 'never', 'like']"
en,1466155190755762188,False,2021-11-28 21:20:11+00:00,UK speeds up Covid booster jabs to buy time against Omicron variant https://t.co/lao1JZxC4m,,"['covid', 'uk', 'buy', 'speed', 'variant', 'time', 'omicron', 'jab', 'booster']"
de,1466155190004989955,False,2021-11-28 21:20:11+00:00,"@Trude_Dosenkohl @BILD Ich bin doppelt geimpft, hab mich zwei Monate später trotzdem infiziert, war anderthalb Wochen mit schweren Verlauf im KH und hab jetzt Long Covid, also erzähl mir nichts von ""Impfen macht frei""!",replied_to,"['covid', 'also', 'von', 'mir', 'zwei', 'erzahl', 'mit', 'ich', 'verlauf', 'hab', 'spater', 'und', 'doppelt', 'kh', 'wochen', 'nichts', 'war', '!', 'monate', 'dosenkohl', 'trotzdem', 'infiziert', 'anderthalb', 'jetzt', 'bin', 'macht', 'frei', 'impfen', 'schweren', 'mich', 'I', 'long', 'geimpft']"
pl,1466155189677826051,False,2021-11-28 21:20:11+00:00,"@tvp_info Ale dopiero jak znajdziemy kolejnego przekupnego ...
Żeby mieć głos, ten jeden głos do utrzymania nędznego trwania przy korycie, przy 570 zgonach na COVID-19 i strachu przed foliarstwem.",replied_to,"['covid', 'jak', 'dopiero', 'trwania', 'info', 'ale', 'kolejnego', 'zeby', 'ten', 'znajdziemy', 'utrzymania', 'przekupnego', 'jeden', 'przy', 'glos', 'przed', 'strachu', 'nedznego', 'miec', 'na', 'foliarstwem', 'zgonach', '19', 'korycie', '570']"
en,1466155189182808074,False,2021-11-28 21:20:11+00:00,China's efficient dynamic zero-COVID policy: epidemic control within one incubation period https://t.co/K7zPtlGQSL https://t.co/44QAX7iAod,,"['covid', 'one', 'period', 'efficient', 'control', 'within', 'incubation', ""'s"", 'dynamic', 'policy', 'epidemic', 'zero', 'china']"
it,1466155189161897987,False,2021-11-28 21:20:11+00:00,"Covid. Roma, da sabato mascherine all'aperto - https://t.co/o3fxWzM3aI
#MascherineAll039aperto https://t.co/VcjfvRN4Hw",,"['covid', ""all'aperto"", 'rom', 'da', 'mascherine', 'sabato']"
en,1466155189082017792,False,2021-11-28 21:20:11+00:00,I cannot express how completely unimpressed and unworried I am about this new strain of Covid. I have a life to live. #OmicronVarient,,"['covid', 'life', 'unworried', 'unimpressed', 'strain', 'not', 'express', 'new', 'live', 'completely', 'can']"
en,1466155187802980355,False,2021-11-28 21:20:11+00:00,"@Jimmyrealdeal @Watchdogsniffer @therecount Not 100% vaccinated, few COVID deaths, infection numbers dropping:

https://t.co/MXz08j2CIb",replied_to,"['100', 'vaccinated', 'covid', 'infection', 'dropping', '%', 'number', 'death']"
en,1466155186423054345,False,2021-11-28 21:20:10+00:00,"A day after Maharashtra introduced stringent air travel curbs in the backdrop of rising concerns over the Omicron variant of Covid, the Centre pointed out that the restrictions were “in divergence” with guidelines from the Union health ministry and... https://t.co/ZYMp0TTVwr",,"['introduced', 'rising', 'covid', 'curb', 'maharashtra', 'backdrop', 'travel', 'omicron', 'air', 'divergence', 'restriction', 'health', 'guideline', 'pointed', 'variant', 'centre', 'union', 'concern', 'stringent', 'ministry', 'day']"
en,1466155186167197702,False,2021-11-28 21:20:10+00:00,"Republicans: Let People Die of COVID or So Help Us We’ll Shut Down the Government — Vanity Fair Republicans blame Biden for not stopping the pandemic, and then turn around and threaten to shut down the government to prevent the most effective... https://t.co/fCdcJdh2M2",,"['covid', 'vanity', 'effective', 'government', 'die', 'republican', 'threaten', 'fair', 'shut', 'people', 'stopping', 'pandemic', 'help', 'blame', 'biden', 'around', 'let', 'turn', 'prevent', 'u']"
en,1466155185584152581,False,2021-11-28 21:20:10+00:00,"The United States has confirmed its first case of the Omicron variant. The patient was diagnosed after traveling from South Africa to San Francisco and is experiencing mild symptoms
https://t.co/PF4g0nQiVW by .nationalgeographic.com",,"['case', 'traveling', 'south', 'africa', 'patient', 'united', 'first', 'diagnosed', 'experiencing', 'variant', 'mild', 'symptom', 'omicron', 'san', 'confirmed', 'state', 'francisco']"
en,1466155185005334536,False,2021-11-28 21:20:10+00:00,Horowitz: Studies show an aggressive vitamin D campaign could have prevented nearly all COVID deaths https://t.co/Nw2QPZw3Xa 🙏🙏🙏🙏🙏,,"['could', 'prevented', 'covid', 'vitamin', 'nearly', 'horowitz', 'study', 'aggressive', 'show', 'death', 'campaign']"
en,1466155184745172993,False,2021-11-28 21:20:10+00:00,Next thing you know COVID's finna have their own fraternities.,,"['covid', 'fixing', ""'s"", 'fraternity', 'next', 'thing', 'know']"
en,1466155181926723587,False,2021-11-28 21:20:09+00:00,‘Omicron’ Variant Drives “Worrying” Surge In South Africa’s Covid Cases – NewsEverything World https://t.co/J4YVPunaae,,"[""'omicron"", 'surge', 'africa', 'covid', 'worrying', ""'"", 'case', 'variant', 'world', ""'s"", 'drive', 'south', 'newseverything']"
en,1466155181587017735,False,2021-11-28 21:20:09+00:00,am i the only one who didnt get pregnant or get covid througout this whole pandemic? 🙃,,"['whole', 'covid', 'pandemic', 'one', 'througout', '?', 'get', 'pregnant']"
en,1466155180752355330,False,2021-11-28 21:20:09+00:00,"“For now, the scientists who research this intersection of mental health and the immune system want the public to know that mental health disorders can be whole-body disorders.”

https://t.co/gTGkwYmIHc",,"['body', 'whole', 'health', 'system', 'immune', 'public', 'disorder', 'research', 'mental', 'want', 'scientist', 'intersection', 'know']"
en,1466155180219682827,False,2021-11-28 21:20:09+00:00,@ABC FROM DEADLY BAD VACCINES TO MORE DEADLY VACCINES TO NOW VACCINES TO INFECT KIDS TOO SINCE THAY HAVE THE STRONGEST IMMUNITIES &amp;  DO NOT CATCH COVID EVEN MASKLESS. WTF ARE YOU SAYING BIDEN ?! Our DIVINE HUMAN IMMUNITY HAS SAVED US WHILE BAD VACCINES ARE SPREADING COVID KILLING LIFE,replied_to,"['covid', 'saved', '&', 'life', 'divine', 'strongest', 'bad', 'maskless', '?', 'even', 'saying', 'vaccine', 'kid', 'spreading', 'since', 'immunity', 'catch', 'amp', 'killing', '!', 'immunity', 'biden', 'infect', 'wtf', 'thay', 'human', 'deadly', 'u']"
en,1466155180173541386,False,2021-11-28 21:20:09+00:00,"Everyone's talking about Georgia right now, but for more 2022 talk: I'm surprised that Cook Political Report has the Connecticut governor's race as safe D. Is this because of people generally liking his handling of COVID?",,"['liking', 'race', 'covid', '2022', '?', 'talking', 'report', 'right', 'people', 'everyone', 'safe', 'connecticut', 'handling', 'georgia', 'generally', ""'s"", 'talk', 'surprised', 'cook', 'governor', 'political', 'I']"
en,1466155179665989637,False,2021-11-28 21:20:09+00:00,"New post: ""A Top Official Says the Fed Will ‘Grapple’ With a Faster Bond-Buying Taper"" https://t.co/bPApICdzFu",,"['taper', 'top', 'faster', ""'"", 'fed', 'bond', 'post', ""'grapple"", 'new', 'official', 'buying', 'say']"
en,1466155179200417794,False,2021-11-28 21:20:09+00:00,@pete_tonkin You are seriously telling me you've never seen those terms or Build Back Better?   Every world leader and Prince Charles saying Covid is the opp for the Great Reset?,replied_to,"['opp', 'covid', 'prince', 'term', '?', 'great', 'reset', 'leader', 'saying', 'tonkin', 'seriously', 'world', 'every', 'seen', 'back', 'better', 'charles', 'telling', 'build', 'never']"
pt,1466155177728258049,False,2021-11-28 21:20:08+00:00,SC chega a 20 mil mortes causadas pela Covid-19; veja as duas cidades sem óbitos https://t.co/rEBUcacfon via @ND_mais_,,"['veja', 'duas', 'covid', 'cidades', 'obitos', 'mortes', 'causadas', 'pela', 'sc', '20', 'chega', '19', 'sem', 'mil']"
